observed_date,deputy_id,deputy_name,party_reported,caucus_reported,alignment_reported,profile_url,source_type
2026-09-02,803,René Alinco Bustos,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=803,camara_snapshot
2026-09-02,815,Sergio Bobadilla Muñoz,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=815,camara_snapshot
2026-09-02,843,René Manuel García García,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=843,camara_snapshot
2026-09-02,872,Jaime Mulet Martínez,Federación Regionalista Verde Social,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=872,camara_snapshot
2026-09-02,915,Germán Verdugo Soto,Partido Nacional Libertario,Comité Partido Nacional Libertarios,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=915,camara_snapshot
2026-09-02,986,Marcela Hernando Pérez,Partido Radical de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=986,camara_snapshot
2026-09-02,1009,Jorge Alessandri Vergara,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1009,camara_snapshot
2026-09-02,1012,Boris Barrera Moreno,Partido Comunista,Comité Comunista e Independientes,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1012,camara_snapshot
2026-09-02,1013,Alejandro Bernales Maldonado,Partido Liberal de Chile,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1013,camara_snapshot
2026-09-02,1015,Jorge Brito Hasbún,Frente Amplio,Frente Amplio,oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1015,camara_snapshot
2026-09-02,1017,Álvaro Carter Fernández,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1017,camara_snapshot
2026-09-02,1021,Andrés Celis Montt,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1021,camara_snapshot
2026-09-02,1025,Catalina Del Real Mihovilovic,Partido Republicano,Comité Partido Republicano,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1025,camara_snapshot
2026-09-02,1028,Eduardo Durán Salinas,Renovación Nacional,"Renovación Nacional, Evopoli e Independientes",oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1028,camara_snapshot
2026-09-02,1038,Marcos Ilabaca Cerda,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1038,camara_snapshot
2026-09-02,1039,Pamela Jiles Moreno,Partido de la Gente,Comité Partido de la Gente,no_alineado,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1039,camara_snapshot
2026-09-02,1044,Raúl Leiva Carvajal,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1044,camara_snapshot
2026-09-02,1054,Francesca Muñoz González,Partido Social Cristiano,Por definir,oficialismo,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1054,camara_snapshot
