deputy_id,deputy_name,caucus_at_term_start,basis,confidence,source_url_primary,source_url_validation,source_note,electoral_party_slot,party_at_term_start,validation_bucket
803,René Alinco Bustos,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",independent_electoral_slot_plus_current_caucus_plus_size_closure,medium,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,"Independiente: cupo electoral, bancada actual y cierre exacto de tamaños institucionales apuntan al mismo comité inicial.",FEDERACION REGIONALISTA VERDE SOCIAL,Independientes,institutional_reconstruction
815,Sergio Bobadilla Muñoz,Unión Demócrata Independiente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,UNION DEMOCRATA INDEPENDIENTE,Unión Demócrata Independiente,institutional_reconstruction
843,René Manuel García García,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
872,Jaime Mulet Martínez,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FEDERACION REGIONALISTA VERDE SOCIAL,Federación Regionalista Verde Social,institutional_reconstruction
915,Germán Verdugo Soto,Comité Partido Nacional Libertarios,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO NACIONAL LIBERTARIO,Partido Nacional Libertario,institutional_reconstruction
986,Marcela Hernando Pérez,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO RADICAL DE CHILE,Partido Radical de Chile,institutional_reconstruction
1009,Jorge Alessandri Vergara,Unión Demócrata Independiente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,UNION DEMOCRATA INDEPENDIENTE,Unión Demócrata Independiente,institutional_reconstruction
1012,Boris Barrera Moreno,Comité Comunista e Independientes,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO COMUNISTA DE CHILE,Partido Comunista,institutional_reconstruction
1013,Alejandro Bernales Maldonado,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO LIBERAL DE CHILE,Partido Liberal de Chile,institutional_reconstruction
1015,Jorge Brito Hasbún,Frente Amplio,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,FRENTE AMPLIO,Frente Amplio,institutional_reconstruction
1017,Álvaro Carter Fernández,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1021,Andrés Celis Montt,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1025,Catalina Del Real Mihovilovic,Comité Partido Republicano,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO REPUBLICANO DE CHILE,Partido Republicano,institutional_reconstruction
1028,Eduardo Durán Salinas,"Renovación Nacional, Evopoli e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,RENOVACION NACIONAL,Renovación Nacional,institutional_reconstruction
1038,Marcos Ilabaca Cerda,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
1039,Pamela Jiles Moreno,Comité Partido de la Gente,party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO DE LA GENTE,Partido de la Gente,institutional_reconstruction
1044,Raúl Leiva Carvajal,"Socialista, Liberal, Radical e Independientes",party_to_caucus_plus_official_structure,high,https://www.bcn.cl/laborparlamentaria/participacion?idParticipacion=2610607,https://www.camara.cl/verDoc.aspx?prmid=4771&prmtipo=DOCUMENTOTABLA,Partido de inicio determina el comité; estructura y tamaño validados con documentos de Sala de marzo de 2026.,PARTIDO SOCIALISTA DE CHILE,Partido Socialista,institutional_reconstruction
