deputy_id,deputy_name,district,servel_candidate_code,servel_candidate_name,electoral_party,electoral_pact,electoral_subpact,source_url,match_method,match_score,match_confidence
803,René Alinco Bustos,27,66027051,RENE ALINCO BUSTOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
815,Sergio Bobadilla Muñoz,20,66020094,SERGIO BOBADILLA MUÑOZ,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
843,René Manuel García García,23,66023096,RENE MANUEL GARCIA GARCIA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
872,Jaime Mulet Martínez,4,66004051,JAIME MULET MARTINEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
915,Germán Verdugo Soto,17,66017085,GERMAN VERDUGO SOTO,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
986,Marcela Hernando Pérez,3,66003060,MARCELA HERNANDO PEREZ,PARTIDO RADICAL DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1009,Jorge Alessandri Vergara,10,66010104,JORGE ALESSANDRI VERGARA,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1012,Boris Barrera Moreno,9,66009060,BORIS BARRERA MORENO,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1013,Alejandro Bernales Maldonado,26,66026062,ALEJANDRO JAVIER BERNALES MALDONADO,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8875,medium
1015,Jorge Brito Hasbún,7,66007061,JORGE BRITO HASBUN,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1017,Álvaro Carter Fernández,12,66012103,ALVARO CARTER FERNANDEZ,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1021,Andrés Celis Montt,7,66007088,ANDRES CELIS MONTT,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1025,Catalina Del Real Mihovilovic,11,66011089,CATALINA DEL REAL MIHOVILOVIC,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1028,Eduardo Durán Salinas,13,66013077,EDUARDO DURAN SALINAS,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1038,Marcos Ilabaca Cerda,24,66024057,MARCOS ILABACA CERDA,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1039,Pamela Jiles Moreno,12,66012081,PAMELA JILES MORENO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1044,Raúl Leiva Carvajal,14,66014058,RAUL LEIVA CARVAJAL,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1054,Francesca Muñoz González,20,66020103,FRANCESCA MUÑOZ GONZALEZ,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1056,Emilia Nuyado Ancapichun,25,66025060,EMILIA  NUYADO ANCAPICHUN,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1059,Ximena Ossandón Irarrázabal,12,66012088,XIMENA OSSANDON IRARRAZABAL,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1060,Luis Pardo Sáinz,6,66006078,LUIS PARDO SAINZ,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1061,Andrea Parra Sauterel,22,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1062,Joanna Pérez Olea,21,66021073,JOANNA PEREZ OLEA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1065,Guillermo Ramírez Diez,9,66009088,GUILLERMO RAMIREZ DIEZ,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1073,Juan Santana Castillo,4,66004061,JUAN SANTANA CASTILLO,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1074,Marisela Santibáñez Novoa,14,66014060,MARISELA SANTIBAÑEZ NOVOA,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1075,Diego Schalper Sepúlveda,11,66011083,DIEGO SCHALPER SEPULVEDA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1077,Raúl Soto Mardones,15,66015057,RAUL SOTO MARDONES,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1082,Cristóbal Urruticoechea Ríos,21,66021079,CRISTOBAL URRUTICOECHEA RIOS,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1086,Gonzalo Winter Etcheberry,10,66010060,GONZALO WINTER ETCHEBERRY,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1087,Gael Yeomans Araya,13,66013057,GAEL YEOMANS ARAYA,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
