deputy_id,deputy_name,district,electoral_party_slot,electoral_pact,current_party_camara,current_caucus_camara,comparison_status,has_documented_2026_event,event_dates,baseline_action,review_priority
803,René Alinco Bustos,27,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1074,Marisela Santibáñez Novoa,14,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,Independientes,Comité Comunista e Independientes,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1099,Jaime Araya Guerrero,3,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Independientes,Partido Por la Democracia e Independientes,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1102,Roberto Arroyo Muñoz,20,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,Independientes,Comité Partido de la Gente,actual_independiente_en_cupo_partidario,1,2026-08-17,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1116,Felipe Camaño Cárdenas,19,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,Independientes,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1157,Marlene Pérez Cartes,20,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Independientes,Unión Demócrata Independiente,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1166,Natalia Romero Talguia,15,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Independientes,Unión Demócrata Independiente,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1175,Cristián Tapia Ramos,4,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Independientes,Partido Por la Democracia e Independientes,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1176,Hotuiti Teao Drago,7,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,Independientes,Unión Demócrata Independiente,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
1178,Héctor Ulloa Aguilera,26,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,Independientes,Partido Por la Democracia e Independientes,actual_independiente_en_cupo_partidario,0,,verificar_independencia_en_eleccion_o_fecha_de_salida,alta
