deputy_id,deputy_name,term_start,party_at_term_start,electoral_party_slot,electoral_pact,basis,confidence,source_url_primary,source_url_secondary,source_note,frozen_on
803,René Alinco Bustos,2026-03-11,Independientes,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",bcn_biografia,high,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Ren%C3%A9_Alinco_Bustos,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,BCN: electo en 2025 como independiente en cupo FRVS.,2026-09-02
815,Sergio Bobadilla Muñoz,2026-03-11,Unión Demócrata Independiente,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=815,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
843,René Manuel García García,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=843,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
872,Jaime Mulet Martínez,2026-03-11,Federación Regionalista Verde Social,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=872,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
915,Germán Verdugo Soto,2026-03-11,Partido Nacional Libertario,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=915,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
986,Marcela Hernando Pérez,2026-03-11,Partido Radical de Chile,PARTIDO RADICAL DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=986,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1009,Jorge Alessandri Vergara,2026-03-11,Unión Demócrata Independiente,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1009,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1012,Boris Barrera Moreno,2026-03-11,Partido Comunista,PARTIDO COMUNISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1012,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1013,Alejandro Bernales Maldonado,2026-03-11,Partido Liberal de Chile,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1013,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1015,Jorge Brito Hasbún,2026-03-11,Frente Amplio,FRENTE AMPLIO,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1015,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1017,Álvaro Carter Fernández,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1017,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1021,Andrés Celis Montt,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1021,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1025,Catalina Del Real Mihovilovic,2026-03-11,Partido Republicano,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1025,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1028,Eduardo Durán Salinas,2026-03-11,Renovación Nacional,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1028,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
1038,Marcos Ilabaca Cerda,2026-03-11,Partido Socialista,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,servel_slot_camara_snapshot_concordance,medium,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1038,Cupo electoral Servel 2025 y partido reportado por la Cámara el 02-09-2026 coinciden. Estado de inicio congelado con confianza media hasta verificación biográfica directa.,2026-09-02
