deputy_id,deputy_name,party_at_term_start,source_url,source_type,confidence,note
803,René Alinco Bustos,Independientes,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Ren%C3%A9_Alinco_Bustos,bcn_biografia,high,"BCN: electo en 2025 como independiente en cupo FRVS."
1074,Marisela Santibáñez Novoa,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santib%C3%A1%C3%B1ez_Novoa,bcn_biografia,high,"BCN: reelecta en 2025 como independiente en cupo PC; sin afiliación política desde 2024."
1099,Jaime Araya Guerrero,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Araya_Guerrero,bcn_biografia,high,"BCN: reelecto en 2025 como independiente en cupo PPD."
1102,Roberto Arroyo Muñoz,Partido Social Cristiano,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Roberto_Arroyo_Mu%C3%B1oz,bcn_biografia,high,"BCN: reelecto y asume el período 2026-2030 representando al Partido Social Cristiano."
1116,Felipe Camaño Cárdenas,Independientes,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Felipe_Cama%C3%B1o_C%C3%A1rdenas,bcn_biografia,high,"BCN: reelecto en 2025 y asume el 11-03-2026 en calidad de independiente, en cupo DC."
1157,Marlene Pérez Cartes,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marlene_P%C3%A9rez_Cartes,bcn_biografia,high,"BCN: reelecta en 2025 como independiente en cupo UDI."
1166,Natalia Romero Talguia,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Natalia_Romero_Talguia,bcn_biografia,high,"BCN: reelecta y asume el 11-03-2026 como independiente, en cupo UDI."
1175,Cristián Tapia Ramos,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristi%C3%A1n_Tapia_Ramos,bcn_biografia,high,"BCN: reelecto en 2025 como independiente en cupo PPD."
1176,Hotuiti Teao Drago,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hotuiti_Teao_Drago,bcn_biografia,high,"BCN: reelecto y asume el 11-03-2026 como independiente, en cupo UDI."
1178,Héctor Ulloa Aguilera,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/H%C3%A9ctor_Ulloa_Aguilera,bcn_biografia,high,"BCN: reelecto y asume el 11-03-2026 como independiente, en cupo PPD."
1180,Consuelo Veloso Ávila,Frente Amplio,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Consuelo_Veloso_%C3%81vila,bcn_servel_militancia,high,"BCN cita registros Servel: militante del Frente Amplio desde 11-02-2026, antes del inicio del período; fue electa en 2025 como independiente en cupo Radical."
1182,Sebastián Videla Castillo,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebasti%C3%A1n_Videla_Castillo,bcn_biografia,high,"BCN: reelecto y asume el 11-03-2026 como independiente, en cupo Liberal."
