boletin,author_order,author_id,author_name,author_chamber
18131-06,0,1157,Marlene Pérez Cartes,Diputado
18132-04,0,1157,Marlene Pérez Cartes,Diputado
18133-07,0,1200,Cristian Contreras Radovic,Diputado
18134-11,0,1326,Juan Luis Castro González,Senador
18134-11,0,1331,Sergio Gahona Salazar,Senador
18134-11,0,1450,Paulina Vodanovic Rojas,Senador
18134-11,0,1504,Karol Cariola Oliva,Senador
18134-11,0,1511,Enrique Lee Flores,Senador
18135-06,0,1200,Cristian Contreras Radovic,Diputado
18136-11,0,1200,Cristian Contreras Radovic,Diputado
18138-07,0,1200,Cristian Contreras Radovic,Diputado
18139-07,0,1513,Vlado Mirosevic Verdugo,Senador
18140-07,0,1200,Cristian Contreras Radovic,Diputado
18141-07,0,1200,Cristian Contreras Radovic,Diputado
18142-35,0,1117,Iván Moreira Barros,Senador
18142-35,0,1215,Yasna Provoste Campillay,Senador
18142-35,0,1327,Luciano Cruz-Coke Carvallo,Senador
18142-35,0,1337,Paulina Núñez Urrutia,Senador
18142-35,0,1338,Claudia Pascual Grau,Senador
18143-07,0,1200,Cristian Contreras Radovic,Diputado
18144-07,0,1117,Iván Moreira Barros,Senador
18144-07,0,1330,Iván Flores García,Senador
18144-07,0,1337,Paulina Núñez Urrutia,Senador
18144-07,0,1339,Gastón Saavedra Chandía,Senador
18144-07,0,911,Carlos Ignacio Kuschel Silva,Senador
18145-07,0,1038,Marcos Ilabaca Cerda,Diputado
18145-07,0,1127,Lorena Fries Monleón,Diputado
18145-07,0,1148,Javiera Morales Alvarado,Diputado
18145-07,0,1171,Emilia Schneider Videla,Diputado
18145-07,0,1209,Matías Fernández Hartwig,Diputado
18145-07,0,1210,Gustavo Gatica Villarroel,Diputado
18145-07,0,1222,Andrea Macías Palma,Diputado
18146-07,0,1061,Andrea Parra Sauterel,Diputado
18146-07,0,1077,Raúl Soto Mardones,Diputado
18146-07,0,1099,Jaime Araya Guerrero,Diputado
18146-07,0,1110,Carlos Bianchi Chelech,Diputado
18146-07,0,1175,Cristián Tapia Ramos,Diputado
18146-07,0,1178,Héctor Ulloa Aguilera,Diputado
18146-07,0,1195,Carlos Carvajal Gallardo,Diputado
18146-07,0,1205,Carlos Cuadrado Prats,Diputado
18146-07,0,1226,José Montalva Feuerhake,Diputado
18146-07,0,1264,Fernando Zamorano Peralta,Diputado
18147-07,0,1120,Manuel José Ossandón Irarrázabal,Senador
18147-07,0,1330,Iván Flores García,Senador
18147-07,0,1334,Alejandro Kusanovic Glusevic,Senador
18147-07,0,1337,Paulina Núñez Urrutia,Senador
18147-07,0,1339,Gastón Saavedra Chandía,Senador
18148-07,0,1120,Manuel José Ossandón Irarrázabal,Senador
18148-07,0,1330,Iván Flores García,Senador
18148-07,0,1334,Alejandro Kusanovic Glusevic,Senador
18148-07,0,1337,Paulina Núñez Urrutia,Senador
18148-07,0,1339,Gastón Saavedra Chandía,Senador
18149-07,0,1105,Héctor Barría Angulo,Diputado
18149-07,0,1224,Cristian Mella Andaur,Diputado
18149-07,0,1238,Álvaro Ortiz Vera,Diputado
18149-07,0,1241,Patricio Pinilla Valencia,Diputado
18150-07,0,1116,Felipe Camaño Cárdenas,Diputado
18150-07,0,1127,Lorena Fries Monleón,Diputado
18150-07,0,1224,Cristian Mella Andaur,Diputado
18150-07,0,872,Jaime Mulet Martínez,Diputado
18151-24,0,1200,Cristian Contreras Radovic,Diputado
18152-07,0,1200,Cristian Contreras Radovic,Diputado
18153-24,0,1200,Cristian Contreras Radovic,Diputado
18154-25,0,1059,Ximena Ossandón Irarrázabal,Diputado
18157-33,0,1258,Guillermo Valdés Carmona,Diputado
18158-13,0,1107,María Francisca Bello Campos,Diputado
18158-13,0,1116,Felipe Camaño Cárdenas,Diputado
18158-13,0,1178,Héctor Ulloa Aguilera,Diputado
18158-13,0,1196,Priscilla Castillo Gerli,Diputado
18158-13,0,1208,Jorge Díaz Ibarra,Diputado
18158-13,0,1241,Patricio Pinilla Valencia,Diputado
18159-11,0,1224,Ximena Ordenes Neira,Senador
18159-11,0,1326,Juan Luis Castro González,Senador
18159-11,0,1331,Sergio Gahona Salazar,Senador
18159-11,0,1504,Karol Cariola Oliva,Senador
18159-11,0,1511,Enrique Lee Flores,Senador
18160-07,0,1061,Andrea Parra Sauterel,Diputado
18160-07,0,1077,Raúl Soto Mardones,Diputado
18160-07,0,1099,Jaime Araya Guerrero,Diputado
18160-07,0,1110,Carlos Bianchi Chelech,Diputado
18160-07,0,1175,Cristián Tapia Ramos,Diputado
18160-07,0,1178,Héctor Ulloa Aguilera,Diputado
18160-07,0,1195,Carlos Carvajal Gallardo,Diputado
18160-07,0,1205,Carlos Cuadrado Prats,Diputado
18160-07,0,1226,José Montalva Feuerhake,Diputado
18160-07,0,1264,Fernando Zamorano Peralta,Diputado
18161-07,0,1039,Pamela Jiles Moreno,Diputado
18161-07,0,1192,Lilian Betancurt Delgado,Diputado
18161-07,0,1236,Paula Olmos Contreras,Diputado
18161-07,0,1255,Eileen Urqueta Rojas,Diputado
18162-07,0,1110,Pedro Araya Guerrero,Senador
18162-07,0,1324,Karim Bianchi Retamales,Senador
18162-07,0,1330,Iván Flores García,Senador
18162-07,0,1337,Paulina Núñez Urrutia,Senador
18162-07,0,1450,Paulina Vodanovic Rojas,Senador
18163-14,0,1013,Alejandro Bernales Maldonado,Diputado
18163-14,0,1141,Luis Malla Valenzuela,Diputado
18163-14,0,986,Marcela Hernando Pérez,Diputado
18164-17,0,1327,Luciano Cruz-Coke Carvallo,Senador
18164-17,0,1340,Gustavo Sanhueza Dueñas,Senador
18164-17,0,1501,Andrea Balladares Letelier,Senador
18164-17,0,1512,Andrés Longton Herrera,Senador
18164-17,0,1516,Renzo Trisotti Martínez,Senador
18165-07,0,1115,Alfonso De Urresti Longton,Senador
18165-07,0,1329,Fidel Espinoza Sandoval,Senador
18165-07,0,1336,Daniel Núñez Arancibia,Senador
18165-07,0,1339,Gastón Saavedra Chandía,Senador
18165-07,0,1341,Alejandra Sepúlveda Orbenes,Senador
18166-24,0,1013,Alejandro Bernales Maldonado,Diputado
18166-24,0,1141,Luis Malla Valenzuela,Diputado
18166-24,0,1182,Sebastián Videla Castillo,Diputado
18166-24,0,986,Marcela Hernando Pérez,Diputado
18167-11,0,1102,Roberto Arroyo Muñoz,Diputado
18168-03,0,1102,Roberto Arroyo Muñoz,Diputado
18169-07,0,1059,Ximena Ossandón Irarrázabal,Diputado
18170-13,0,1028,Eduardo Durán Salinas,Diputado
18170-13,0,1059,Ximena Ossandón Irarrázabal,Diputado
18170-13,0,1108,Juan Carlos Beltrán Silva,Diputado
18170-13,0,1197,Carlos Chandía Alarcón,Diputado
18170-13,0,1242,Rodrigo Ramírez Parra,Diputado
18171-13,0,1028,Eduardo Durán Salinas,Diputado
18171-13,0,1059,Ximena Ossandón Irarrázabal,Diputado
18171-13,0,1108,Juan Carlos Beltrán Silva,Diputado
18171-13,0,1197,Carlos Chandía Alarcón,Diputado
18171-13,0,1242,Rodrigo Ramírez Parra,Diputado
18172-21,0,1330,Iván Flores García,Senador
18172-21,0,1334,Alejandro Kusanovic Glusevic,Senador
18172-21,0,1336,Daniel Núñez Arancibia,Senador
18172-21,0,1344,Matías Walker Prieto,Senador
18172-21,0,1503,Miguel Ángel Calisto Águila,Senador
18173-21,0,1329,Fidel Espinoza Sandoval,Senador
18173-21,0,1333,Sebastián Keitel Bianchi,Senador
18173-21,0,1335,Javier Macaya Danús,Senador
18173-21,0,1339,Gastón Saavedra Chandía,Senador
18173-21,0,1342,Enrique Van Rysselberghe Herrera,Senador
18174-07,0,1061,Andrea Parra Sauterel,Diputado
18174-07,0,1077,Raúl Soto Mardones,Diputado
18174-07,0,1099,Jaime Araya Guerrero,Diputado
18174-07,0,1110,Carlos Bianchi Chelech,Diputado
18174-07,0,1175,Cristián Tapia Ramos,Diputado
18174-07,0,1178,Héctor Ulloa Aguilera,Diputado
18174-07,0,1195,Carlos Carvajal Gallardo,Diputado
18174-07,0,1205,Carlos Cuadrado Prats,Diputado
18174-07,0,1226,José Montalva Feuerhake,Diputado
18174-07,0,1264,Fernando Zamorano Peralta,Diputado
18175-02,0,1061,Andrea Parra Sauterel,Diputado
18175-02,0,1077,Raúl Soto Mardones,Diputado
18175-02,0,1099,Jaime Araya Guerrero,Diputado
18175-02,0,1110,Carlos Bianchi Chelech,Diputado
18175-02,0,1175,Cristián Tapia Ramos,Diputado
18175-02,0,1178,Héctor Ulloa Aguilera,Diputado
18175-02,0,1195,Carlos Carvajal Gallardo,Diputado
18175-02,0,1205,Carlos Cuadrado Prats,Diputado
18175-02,0,1226,José Montalva Feuerhake,Diputado
18175-02,0,1264,Fernando Zamorano Peralta,Diputado
18176-35,0,1325,Fabiola Campillai Rojas,Senador
18177-01,0,1141,Luis Malla Valenzuela,Diputado
18179-18,0,1028,Eduardo Durán Salinas,Diputado
18179-18,0,1054,Francesca Muñoz González,Diputado
18179-18,0,1119,Sara Concha Smith,Diputado
18179-18,0,1133,Juan Irarrázaval Rossel,Diputado
18179-18,0,1217,Pier Karlezi Hazleby,Diputado
18179-18,0,1231,Ximena Naranjo Pinto,Diputado
18179-18,0,1236,Paula Olmos Contreras,Diputado
18180-13,0,1021,Andrés Celis Montt,Diputado
18180-13,0,1028,Eduardo Durán Salinas,Diputado
18180-13,0,1059,Ximena Ossandón Irarrázabal,Diputado
18180-13,0,1197,Carlos Chandía Alarcón,Diputado
18180-13,0,1242,Rodrigo Ramírez Parra,Diputado
18180-13,0,843,René Manuel García García,Diputado
18181-13,0,1021,Andrés Celis Montt,Diputado
18181-13,0,1028,Eduardo Durán Salinas,Diputado
18181-13,0,1059,Ximena Ossandón Irarrázabal,Diputado
18181-13,0,1253,Fernando Ugarte Tejeda,Diputado
18182-07,0,1505,Rodolfo Carter Fernández,Senador
18182-07,0,1515,Arturo Squella Ovalle,Senador
18182-07,0,1516,Renzo Trisotti Martínez,Senador
18182-07,0,1517,Ignacio Urrutia Bonilla,Senador
18182-07,0,1518,Cristian Vial Maceratta,Senador
18183-07,0,1505,Rodolfo Carter Fernández,Senador
18183-07,0,1515,Arturo Squella Ovalle,Senador
18183-07,0,1516,Renzo Trisotti Martínez,Senador
18183-07,0,1517,Ignacio Urrutia Bonilla,Senador
18183-07,0,1518,Cristian Vial Maceratta,Senador
18184-07,0,1505,Rodolfo Carter Fernández,Senador
18184-07,0,1515,Arturo Squella Ovalle,Senador
18184-07,0,1516,Renzo Trisotti Martínez,Senador
18184-07,0,1517,Ignacio Urrutia Bonilla,Senador
18184-07,0,1518,Cristian Vial Maceratta,Senador
18185-07,0,1505,Rodolfo Carter Fernández,Senador
18185-07,0,1515,Arturo Squella Ovalle,Senador
18185-07,0,1516,Renzo Trisotti Martínez,Senador
18185-07,0,1517,Ignacio Urrutia Bonilla,Senador
18185-07,0,1518,Cristian Vial Maceratta,Senador
18186-07,0,1505,Rodolfo Carter Fernández,Senador
18186-07,0,1515,Arturo Squella Ovalle,Senador
18186-07,0,1516,Renzo Trisotti Martínez,Senador
18186-07,0,1517,Ignacio Urrutia Bonilla,Senador
18186-07,0,1518,Cristian Vial Maceratta,Senador
18187-07,0,1505,Rodolfo Carter Fernández,Senador
18187-07,0,1515,Arturo Squella Ovalle,Senador
18187-07,0,1516,Renzo Trisotti Martínez,Senador
18187-07,0,1517,Ignacio Urrutia Bonilla,Senador
18187-07,0,1518,Cristian Vial Maceratta,Senador
18188-07,0,1505,Rodolfo Carter Fernández,Senador
18188-07,0,1515,Arturo Squella Ovalle,Senador
18188-07,0,1516,Renzo Trisotti Martínez,Senador
18188-07,0,1517,Ignacio Urrutia Bonilla,Senador
18188-07,0,1518,Cristian Vial Maceratta,Senador
18189-14,0,1108,Juan Carlos Beltrán Silva,Diputado
18189-14,0,1116,Felipe Camaño Cárdenas,Diputado
18189-14,0,1196,Priscilla Castillo Gerli,Diputado
18189-14,0,1208,Jorge Díaz Ibarra,Diputado
18189-14,0,1229,Javier Muñoz Riquelme,Diputado
18189-14,0,1238,Álvaro Ortiz Vera,Diputado
18189-14,0,1241,Patricio Pinilla Valencia,Diputado
18189-14,0,872,Jaime Mulet Martínez,Diputado
18190-11,0,1013,Alejandro Bernales Maldonado,Diputado
18190-11,0,1061,Andrea Parra Sauterel,Diputado
18190-11,0,1141,Luis Malla Valenzuela,Diputado
18190-11,0,1182,Sebastián Videla Castillo,Diputado
18190-11,0,1259,Juan Marcelo Valenzuela Henríquez,Diputado
18190-11,0,986,Marcela Hernando Pérez,Diputado
18191-37,0,1115,Alfonso De Urresti Longton,Senador
18191-37,0,1224,Ximena Ordenes Neira,Senador
18191-37,0,1333,Sebastián Keitel Bianchi,Senador
18191-37,0,1511,Enrique Lee Flores,Senador
18191-37,0,1514,Beatriz Sánchez Muñoz,Senador
18192-25,0,1117,Iván Moreira Barros,Senador
18192-25,0,1324,Karim Bianchi Retamales,Senador
18192-25,0,1334,Alejandro Kusanovic Glusevic,Senador
18192-25,0,1337,Paulina Núñez Urrutia,Senador
18192-25,0,1339,Gastón Saavedra Chandía,Senador
18193-06,0,1117,Iván Moreira Barros,Senador
18193-06,0,1337,Paulina Núñez Urrutia,Senador
18193-06,0,1339,Gastón Saavedra Chandía,Senador
18193-06,0,1344,Matías Walker Prieto,Senador
18193-06,0,911,Carlos Ignacio Kuschel Silva,Senador
18194-08,0,1117,Iván Moreira Barros,Senador
18194-08,0,1330,Iván Flores García,Senador
18194-08,0,1337,Paulina Núñez Urrutia,Senador
18194-08,0,1339,Gastón Saavedra Chandía,Senador
18194-08,0,1503,Miguel Ángel Calisto Águila,Senador
18195-07,0,1507,Daniella Cicardini Milla,Senador
18196-04,0,1082,Cristóbal Urruticoechea Ríos,Diputado
18196-04,0,1152,Gloria Naveillan Arriagada,Diputado
18196-04,0,1212,Erich Grohs Marín,Diputado
18196-04,0,1215,Álvaro Jofré Cáceres,Diputado
18196-04,0,1217,Pier Karlezi Hazleby,Diputado
18196-04,0,1223,Hans Marowski Cuevas,Diputado
18196-04,0,1228,Paulina Muñoz Minte,Diputado
18196-04,0,915,Germán Verdugo Soto,Diputado
18197-04,0,1117,Nathalie Castillo Rojas,Diputado
18197-04,0,1128,Ana María Gazmuri Vieira,Diputado
18197-04,0,1159,Lorena Pizarro Sierra,Diputado
18197-04,0,1177,Carolina Tello Rojas,Diputado
18198-15,0,1013,Alejandro Bernales Maldonado,Diputado
18198-15,0,1075,Diego Schalper Sepúlveda,Diputado
18198-15,0,1131,Mauro González Villarroel,Diputado
18198-15,0,1132,Jorge Guzmán Zepeda,Diputado
18198-15,0,1177,Carolina Tello Rojas,Diputado
18198-15,0,1184,Roberto Celedón Fernández,Diputado
18198-15,0,1219,Tomás Kast Sommerhoff,Diputado
18198-15,0,1258,Guillermo Valdés Carmona,Diputado
18199-12,0,1065,Guillermo Ramírez Diez,Diputado
18199-12,0,1140,Daniel Lilayu Vivanco,Diputado
18199-12,0,1143,Cristóbal Martínez Ramírez,Diputado
18199-12,0,1157,Marlene Pérez Cartes,Diputado
18199-12,0,1174,Marco Antonio Sulantay Olivares,Diputado
18199-12,0,1183,Flor Weisse Novoa,Diputado
18199-12,0,1231,Ximena Naranjo Pinto,Diputado
18199-12,0,1233,Ricardo Neumann Bertín,Diputado
18199-12,0,1249,Omar Sabat Guzmán,Diputado
18199-12,0,1257,Alejandra Valdebenito Torres,Diputado
18200-06,0,1143,Cristóbal Martínez Ramírez,Diputado
18200-06,0,1157,Marlene Pérez Cartes,Diputado
18200-06,0,1174,Marco Antonio Sulantay Olivares,Diputado
18200-06,0,1176,Hotuiti Teao Drago,Diputado
18200-06,0,1199,Jaime Coloma Álamos,Diputado
18200-06,0,1231,Ximena Naranjo Pinto,Diputado
18200-06,0,1234,Mario Olavarría Rodríguez,Diputado
18200-06,0,1249,Omar Sabat Guzmán,Diputado
18200-06,0,1257,Alejandra Valdebenito Torres,Diputado
18200-06,0,815,Sergio Bobadilla Muñoz,Diputado
18201-06,0,1128,Ana María Gazmuri Vieira,Diputado
18202-06,0,1128,Ana María Gazmuri Vieira,Diputado
18203-06,0,1128,Ana María Gazmuri Vieira,Diputado
18204-06,0,1128,Ana María Gazmuri Vieira,Diputado
18205-29,0,1015,Jorge Brito Hasbún,Diputado
18205-29,0,1074,Marisela Santibáñez Novoa,Diputado
18205-29,0,1107,María Francisca Bello Campos,Diputado
18205-29,0,1122,Luis Alberto Cuello Peña y Lillo,Diputado
18205-29,0,1176,Hotuiti Teao Drago,Diputado
18205-29,0,1189,Jaime Bassa Mercado,Diputado
18205-29,0,1195,Carlos Carvajal Gallardo,Diputado
18205-29,0,1209,Matías Fernández Hartwig,Diputado
18205-29,0,1224,Cristian Mella Andaur,Diputado
18205-29,0,1263,Sebastián Zamora Soto,Diputado
18206-13,0,1021,Andrés Celis Montt,Diputado
18206-13,0,1028,Eduardo Durán Salinas,Diputado
18206-13,0,1059,Ximena Ossandón Irarrázabal,Diputado
18207-06,0,1128,Ana María Gazmuri Vieira,Diputado
18209-04,0,1105,Héctor Barría Angulo,Diputado
18209-04,0,1128,Ana María Gazmuri Vieira,Diputado
18209-04,0,1171,Emilia Schneider Videla,Diputado
18209-04,0,1178,Héctor Ulloa Aguilera,Diputado
18209-04,0,1188,Marcos Barraza Gómez,Diputado
18209-04,0,1206,Carolina Cucumides Calderón,Diputado
18209-04,0,1210,Gustavo Gatica Villarroel,Diputado
18209-04,0,1250,Bernardo Salinas Maya,Diputado
18210-06,0,1062,Joanna Pérez Olea,Diputado
18210-06,0,1074,Marisela Santibáñez Novoa,Diputado
18210-06,0,1082,Cristóbal Urruticoechea Ríos,Diputado
18210-06,0,1177,Carolina Tello Rojas,Diputado
18210-06,0,1215,Álvaro Jofré Cáceres,Diputado
18210-06,0,1217,Pier Karlezi Hazleby,Diputado
18210-06,0,1223,Hans Marowski Cuevas,Diputado
18210-06,0,1235,Javier Olivares Avendaño,Diputado
18210-06,0,1238,Álvaro Ortiz Vera,Diputado
18210-06,0,1249,Omar Sabat Guzmán,Diputado
18211-25,0,1193,Patricio Briones Moller,Diputado
18211-25,0,1235,Javier Olivares Avendaño,Diputado
18211-25,0,1236,Paula Olmos Contreras,Diputado
18211-25,0,1243,Tamara Ramírez Ramírez,Diputado
18211-25,0,1258,Guillermo Valdés Carmona,Diputado
18211-25,0,1259,Juan Marcelo Valenzuela Henríquez,Diputado
18212-07,0,1193,Patricio Briones Moller,Diputado
18212-07,0,1217,Pier Karlezi Hazleby,Diputado
18212-07,0,1235,Javier Olivares Avendaño,Diputado
