source_id,source_name,source_chamber,target_id,target_name,target_chamber,shared_bills,first_shared_bill_date,last_shared_bill_date
1117,Iván Moreira Barros,Senador,1337,Paulina Núñez Urrutia,Senador,28,2026-03-24,2026-08-13
1337,Paulina Núñez Urrutia,Senador,1339,Gastón Saavedra Chandía,Senador,19,2026-03-25,2026-08-13
1028,Eduardo Durán Salinas,Diputado,1059,Ximena Ossandón Irarrázabal,Diputado,17,2026-04-09,2026-08-10
1330,Iván Flores García,Senador,1337,Paulina Núñez Urrutia,Senador,17,2026-03-25,2026-08-05
1324,Karim Bianchi Retamales,Senador,1337,Paulina Núñez Urrutia,Senador,14,2026-04-08,2026-07-08
1337,Paulina Núñez Urrutia,Senador,1450,Paulina Vodanovic Rojas,Senador,14,2026-04-08,2026-08-13
1157,Marlene Pérez Cartes,Diputado,1249,Omar Sabat Guzmán,Diputado,13,2026-04-20,2026-08-11
1059,Ximena Ossandón Irarrázabal,Diputado,1075,Diego Schalper Sepúlveda,Diputado,13,2026-05-05,2026-08-10
1013,Alejandro Bernales Maldonado,Diputado,1141,Luis Malla Valenzuela,Diputado,12,2026-04-08,2026-08-11
1013,Alejandro Bernales Maldonado,Diputado,986,Marcela Hernando Pérez,Diputado,12,2026-04-08,2026-08-11
1013,Alejandro Bernales Maldonado,Diputado,1182,Sebastián Videla Castillo,Diputado,12,2026-04-08,2026-08-11
1061,Andrea Parra Sauterel,Diputado,1195,Carlos Carvajal Gallardo,Diputado,12,2026-03-25,2026-08-11
1021,Andrés Celis Montt,Diputado,1028,Eduardo Durán Salinas,Diputado,12,2026-04-14,2026-08-04
1028,Eduardo Durán Salinas,Diputado,1227,Claudia Mora Vega,Diputado,12,2026-05-05,2026-08-10
1141,Luis Malla Valenzuela,Diputado,986,Marcela Hernando Pérez,Diputado,12,2026-04-08,2026-08-11
1157,Marlene Pérez Cartes,Diputado,1231,Ximena Naranjo Pinto,Diputado,12,2026-04-20,2026-07-14
1061,Andrea Parra Sauterel,Diputado,1205,Carlos Cuadrado Prats,Diputado,11,2026-03-25,2026-08-11
1061,Andrea Parra Sauterel,Diputado,1226,José Montalva Feuerhake,Diputado,11,2026-03-25,2026-08-11
1021,Andrés Celis Montt,Diputado,1059,Ximena Ossandón Irarrázabal,Diputado,11,2026-04-14,2026-08-04
1515,Arturo Squella Ovalle,Senador,1518,Cristian Vial Maceratta,Senador,11,2026-04-14,2026-07-14
1195,Carlos Carvajal Gallardo,Diputado,1226,José Montalva Feuerhake,Diputado,11,2026-03-25,2026-08-11
1143,Cristóbal Martínez Ramírez,Diputado,1257,Alejandra Valdebenito Torres,Diputado,11,2026-04-20,2026-08-04
1143,Cristóbal Martínez Ramírez,Diputado,1157,Marlene Pérez Cartes,Diputado,11,2026-04-20,2026-07-29
1140,Daniel Lilayu Vivanco,Diputado,1257,Alejandra Valdebenito Torres,Diputado,11,2026-04-20,2026-06-05
1075,Diego Schalper Sepúlveda,Diputado,1131,Mauro González Villarroel,Diputado,11,2026-04-15,2026-08-10
1028,Eduardo Durán Salinas,Diputado,1075,Diego Schalper Sepúlveda,Diputado,11,2026-05-05,2026-08-10
1028,Eduardo Durán Salinas,Diputado,1108,Juan Carlos Beltrán Silva,Diputado,11,2026-04-09,2026-08-10
1178,Héctor Ulloa Aguilera,Diputado,1205,Carlos Cuadrado Prats,Diputado,11,2026-03-25,2026-08-11
1517,Ignacio Urrutia Bonilla,Senador,1518,Cristian Vial Maceratta,Senador,11,2026-04-14,2026-07-15
1117,Iván Moreira Barros,Senador,1339,Gastón Saavedra Chandía,Senador,11,2026-03-25,2026-07-07
1141,Luis Malla Valenzuela,Diputado,1182,Sebastián Videla Castillo,Diputado,11,2026-04-08,2026-08-11
1060,Luis Pardo Sáinz,Diputado,1075,Diego Schalper Sepúlveda,Diputado,11,2026-06-04,2026-08-10
1505,Rodolfo Carter Fernández,Senador,1518,Cristian Vial Maceratta,Senador,11,2026-04-14,2026-07-15
1182,Sebastián Videla Castillo,Diputado,986,Marcela Hernando Pérez,Diputado,11,2026-04-08,2026-08-11
1231,Ximena Naranjo Pinto,Diputado,1257,Alejandra Valdebenito Torres,Diputado,11,2026-04-20,2026-08-04
1059,Ximena Ossandón Irarrázabal,Diputado,1227,Claudia Mora Vega,Diputado,11,2026-05-05,2026-08-10
1061,Andrea Parra Sauterel,Diputado,1110,Carlos Bianchi Chelech,Diputado,10,2026-03-25,2026-08-11
1061,Andrea Parra Sauterel,Diputado,1264,Fernando Zamorano Peralta,Diputado,10,2026-03-25,2026-08-11
1061,Andrea Parra Sauterel,Diputado,1178,Héctor Ulloa Aguilera,Diputado,10,2026-03-25,2026-08-11
1110,Carlos Bianchi Chelech,Diputado,1195,Carlos Carvajal Gallardo,Diputado,10,2026-03-25,2026-08-11
1110,Carlos Bianchi Chelech,Diputado,1205,Carlos Cuadrado Prats,Diputado,10,2026-03-25,2026-08-11
1195,Carlos Carvajal Gallardo,Diputado,1205,Carlos Cuadrado Prats,Diputado,10,2026-03-25,2026-08-11
1195,Carlos Carvajal Gallardo,Diputado,1264,Fernando Zamorano Peralta,Diputado,10,2026-03-25,2026-08-11
1205,Carlos Cuadrado Prats,Diputado,1226,José Montalva Feuerhake,Diputado,10,2026-03-25,2026-08-11
1143,Cristóbal Martínez Ramírez,Diputado,1234,Mario Olavarría Rodríguez,Diputado,10,2026-04-20,2026-07-29
1143,Cristóbal Martínez Ramírez,Diputado,1231,Ximena Naranjo Pinto,Diputado,10,2026-04-20,2026-08-04
1075,Diego Schalper Sepúlveda,Diputado,1237,Francisco Orrego Gutiérrez,Diputado,10,2026-05-05,2026-08-07
1028,Eduardo Durán Salinas,Diputado,1197,Carlos Chandía Alarcón,Diputado,10,2026-04-09,2026-08-10
1116,Felipe Camaño Cárdenas,Diputado,1208,Jorge Díaz Ibarra,Diputado,10,2026-04-06,2026-07-24
1223,Hans Marowski Cuevas,Diputado,1235,Javier Olivares Avendaño,Diputado,10,2026-04-21,2026-07-29
1178,Héctor Ulloa Aguilera,Diputado,1195,Carlos Carvajal Gallardo,Diputado,10,2026-03-25,2026-08-11
1178,Héctor Ulloa Aguilera,Diputado,1264,Fernando Zamorano Peralta,Diputado,10,2026-03-25,2026-08-11
1178,Héctor Ulloa Aguilera,Diputado,1226,José Montalva Feuerhake,Diputado,10,2026-03-25,2026-08-11
