author_id,author_name,author_chamber,authored_bills,coauthored_bills,solo_bills,unique_coauthors,weighted_degree
1165,Agustín Romero Leiva,Diputado,6,6,0,26,37
1257,Alejandra Valdebenito Torres,Diputado,18,18,0,40,157
1013,Alejandro Bernales Maldonado,Diputado,17,17,0,45,92
1245,Alejandro Riquelme Ducci,Diputado,5,5,0,33,44
1230,Alex Nahuelquin Nahuelquin,Diputado,13,12,1,33,71
1128,Ana María Gazmuri Vieira,Diputado,27,21,6,71,137
1222,Andrea Macías Palma,Diputado,9,9,0,47,71
1061,Andrea Parra Sauterel,Diputado,20,20,0,49,142
1021,Andrés Celis Montt,Diputado,24,24,0,60,154
1221,Benjamín Lorca Inzunza,Diputado,2,2,0,12,12
1150,Benjamín Moreno Bascur,Diputado,5,4,1,28,36
1250,Bernardo Salinas Maya,Diputado,11,11,0,41,81
1012,Boris Barrera Moreno,Diputado,3,3,0,16,24
1187,Carlo Arqueros Pizarro,Diputado,4,3,1,22,24
1110,Carlos Bianchi Chelech,Diputado,15,15,0,41,116
1195,Carlos Carvajal Gallardo,Diputado,20,20,0,51,156
1197,Carlos Chandía Alarcón,Diputado,18,18,0,46,122
1205,Carlos Cuadrado Prats,Diputado,21,21,0,61,160
1206,Carolina Cucumides Calderón,Diputado,15,15,0,48,88
1177,Carolina Tello Rojas,Diputado,15,15,0,60,102
1025,Catalina Del Real Mihovilovic,Diputado,8,8,0,37,47
1104,Chiara Barchiesi Chávez,Diputado,7,7,0,45,54
1227,Claudia Mora Vega,Diputado,23,23,0,66,171
1244,Claudia Reyes Larenas,Diputado,7,7,0,42,55
1153,Coca Ericka Ñanco Vásquez,Diputado,9,9,0,28,66
1214,Constanza Hube Portus,Diputado,4,4,0,19,29
1252,Constanza Schonhaut Soto,Diputado,7,7,0,35,54
1180,Consuelo Veloso Ávila,Diputado,17,17,0,57,117
1200,Cristian Contreras Radovic,Diputado,12,1,11,1,1
1224,Cristian Mella Andaur,Diputado,18,18,0,64,122
1225,Cristian Menchaca Pinochet,Diputado,2,2,0,11,11
