vote_id,fecha,boletin,group_type,group_name,group_size,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,n_binary,participation_substantive_pct,yes_share_binary,minority_share_binary,rice_index,modal_position,modal_count,modal_agreement_pct,modal_tie,formal_group,rice_eligible,modal_eligible,chamber_affirmative,chamber_against,chamber_abstention,chamber_no_vote,chamber_excused,chamber_binary_minority_share
88442,2026-03-18,16944-25,caucus,Comité Comunista e Independientes,12,11,0,0,1,0,11,11,91.6667,1.000000,0.000000,1.000000,Afirmativo,11,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",10,9,0,0,1,0,9,9,90.0000,1.000000,0.000000,1.000000,Afirmativo,9,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Comité Partido Nacional Libertarios,8,8,0,0,0,0,8,8,100.0000,1.000000,0.000000,1.000000,Afirmativo,8,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Comité Partido Republicano,31,30,0,0,1,0,30,30,96.7742,1.000000,0.000000,1.000000,Afirmativo,30,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Comité Partido de la Gente,14,14,0,0,0,0,14,14,100.0000,1.000000,0.000000,1.000000,Afirmativo,14,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Frente Amplio,18,15,0,0,3,0,15,15,83.3333,1.000000,0.000000,1.000000,Afirmativo,15,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Partido Por la Democracia e Independientes,10,8,0,1,1,0,9,8,90.0000,1.000000,0.000000,1.000000,Afirmativo,8,88.8889,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Por definir,3,3,0,0,0,0,3,3,100.0000,1.000000,0.000000,1.000000,Afirmativo,3,100.0000,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,"Renovación Nacional, Evopoli e Independientes",16,15,0,0,1,0,15,15,93.7500,1.000000,0.000000,1.000000,Afirmativo,15,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,"Socialista, Liberal, Radical e Independientes",15,13,0,0,2,0,13,13,86.6667,1.000000,0.000000,1.000000,Afirmativo,13,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,caucus,Unión Demócrata Independiente,18,16,0,0,2,0,16,16,88.8889,1.000000,0.000000,1.000000,Afirmativo,16,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Evolución Política,2,1,0,0,1,0,1,1,50.0000,1.000000,0.000000,1.000000,Afirmativo,1,100.0000,0,1,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Federación Regionalista Verde Social,1,0,0,0,1,0,0,0,0.0000,,,,,0,,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Frente Amplio,16,13,0,0,3,0,13,13,81.2500,1.000000,0.000000,1.000000,Afirmativo,13,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Independientes,25,22,0,0,3,0,22,22,88.0000,1.000000,0.000000,1.000000,Afirmativo,22,100.0000,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Acción Humanista,1,1,0,0,0,0,1,1,100.0000,1.000000,0.000000,1.000000,Afirmativo,1,100.0000,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Comunista,8,8,0,0,0,0,8,8,100.0000,1.000000,0.000000,1.000000,Afirmativo,8,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Demócrata Cristiano,7,7,0,0,0,0,7,7,100.0000,1.000000,0.000000,1.000000,Afirmativo,7,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Demócratas Chile,1,1,0,0,0,0,1,1,100.0000,1.000000,0.000000,1.000000,Afirmativo,1,100.0000,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Liberal de Chile,2,2,0,0,0,0,2,2,100.0000,1.000000,0.000000,1.000000,Afirmativo,2,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Nacional Libertario,8,8,0,0,0,0,8,8,100.0000,1.000000,0.000000,1.000000,Afirmativo,8,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Por la Democracia,4,3,0,1,0,0,4,3,100.0000,1.000000,0.000000,1.000000,Afirmativo,3,75.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Radical de Chile,1,1,0,0,0,0,1,1,100.0000,1.000000,0.000000,1.000000,Afirmativo,1,100.0000,0,0,0,0,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Republicano,28,27,0,0,1,0,27,27,96.4286,1.000000,0.000000,1.000000,Afirmativo,27,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Social Cristiano,3,3,0,0,0,0,3,3,100.0000,1.000000,0.000000,1.000000,Afirmativo,3,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido Socialista,10,9,0,0,1,0,9,9,90.0000,1.000000,0.000000,1.000000,Afirmativo,9,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Partido de la Gente,14,14,0,0,0,0,14,14,100.0000,1.000000,0.000000,1.000000,Afirmativo,14,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Renovación Nacional,11,11,0,0,0,0,11,11,100.0000,1.000000,0.000000,1.000000,Afirmativo,11,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88442,2026-03-18,16944-25,party,Unión Demócrata Independiente,13,11,0,0,2,0,11,11,84.6154,1.000000,0.000000,1.000000,Afirmativo,11,100.0000,0,1,1,1,142,0,1,12,0,0.000000
88450,2026-03-23,15347-07,caucus,Comité Comunista e Independientes,12,0,11,0,1,0,11,11,91.6667,0.000000,0.000000,1.000000,En Contra,11,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",10,8,0,0,2,0,8,8,80.0000,1.000000,0.000000,1.000000,Afirmativo,8,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Comité Partido Nacional Libertarios,8,7,0,0,1,0,7,7,87.5000,1.000000,0.000000,1.000000,Afirmativo,7,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Comité Partido Republicano,31,31,0,0,0,0,31,31,100.0000,1.000000,0.000000,1.000000,Afirmativo,31,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Comité Partido de la Gente,14,13,0,0,1,0,13,13,92.8571,1.000000,0.000000,1.000000,Afirmativo,13,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Frente Amplio,18,15,0,0,3,0,15,15,83.3333,1.000000,0.000000,1.000000,Afirmativo,15,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Partido Por la Democracia e Independientes,10,9,0,0,1,0,9,9,90.0000,1.000000,0.000000,1.000000,Afirmativo,9,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,Por definir,3,3,0,0,0,0,3,3,100.0000,1.000000,0.000000,1.000000,Afirmativo,3,100.0000,0,0,0,0,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,"Renovación Nacional, Evopoli e Independientes",16,15,0,0,1,0,15,15,93.7500,1.000000,0.000000,1.000000,Afirmativo,15,100.0000,0,1,1,1,130,12,0,13,0,0.084507
88450,2026-03-23,15347-07,caucus,"Socialista, Liberal, Radical e Independientes",15,13,1,0,1,0,14,14,93.3333,0.928571,0.071429,0.857143,Afirmativo,13,92.8571,0,1,1,1,130,12,0,13,0,0.084507
