diputado_id,diputado_nombre,unique_coauthors,recurrent_coauthors,one_off_coauthors,strongest_tie_shared_motions
803,René Alinco Bustos,16,0,16,1
815,Sergio Bobadilla Muñoz,44,18,26,9
843,René Manuel García García,50,23,27,6
872,Jaime Mulet Martínez,57,21,36,8
915,Germán Verdugo Soto,24,2,22,2
986,Marcela Hernando Pérez,54,15,39,12
1009,Jorge Alessandri Vergara,36,12,24,3
1012,Boris Barrera Moreno,16,6,10,3
1013,Alejandro Bernales Maldonado,45,14,31,12
1015,Jorge Brito Hasbún,29,7,22,3
1017,Álvaro Carter Fernández,19,11,8,4
1021,Andrés Celis Montt,60,34,26,12
1025,Catalina Del Real Mihovilovic,37,5,32,4
1028,Eduardo Durán Salinas,59,29,30,17
1038,Marcos Ilabaca Cerda,23,8,15,3
1039,Pamela Jiles Moreno,41,14,27,5
1044,Raúl Leiva Carvajal,46,14,32,5
1054,Francesca Muñoz González,49,16,33,8
1056,Emilia Nuyado Ancapichun,38,12,26,4
1059,Ximena Ossandón Irarrázabal,74,35,39,17
1060,Luis Pardo Sáinz,41,24,17,11
1061,Andrea Parra Sauterel,49,18,31,12
1062,Joanna Pérez Olea,68,27,41,6
1065,Guillermo Ramírez Diez,32,16,16,6
1073,Juan Santana Castillo,37,10,27,4
1074,Marisela Santibáñez Novoa,73,39,34,5
1075,Diego Schalper Sepúlveda,67,31,36,13
1077,Raúl Soto Mardones,31,13,18,9
1082,Cristóbal Urruticoechea Ríos,43,14,29,7
1086,Gonzalo Winter Etcheberry,39,11,28,4
1087,Gael Yeomans Araya,69,40,29,7
1099,Jaime Araya Guerrero,63,26,37,9
1100,Cristián Araya Lerdo de Tejada,58,20,38,5
1102,Roberto Arroyo Muñoz,57,30,27,9
1104,Chiara Barchiesi Chávez,45,8,37,3
1105,Héctor Barría Angulo,48,15,33,7
1107,María Francisca Bello Campos,54,16,38,5
1108,Juan Carlos Beltrán Silva,41,21,20,11
1110,Carlos Bianchi Chelech,41,13,28,10
1114,Félix Bugueño Sotelo,56,19,37,4
1116,Felipe Camaño Cárdenas,62,21,41,10
