diputado_id,diputado_nombre,authored_motions,coauthored_motions,solo_motions
803,René Alinco Bustos,2,2,0
815,Sergio Bobadilla Muñoz,16,16,0
843,René Manuel García García,15,15,0
872,Jaime Mulet Martínez,16,16,0
915,Germán Verdugo Soto,4,4,0
986,Marcela Hernando Pérez,19,19,0
1009,Jorge Alessandri Vergara,7,7,0
1012,Boris Barrera Moreno,3,3,0
1013,Alejandro Bernales Maldonado,17,17,0
1015,Jorge Brito Hasbún,5,5,0
1017,Álvaro Carter Fernández,6,6,0
1021,Andrés Celis Montt,24,24,0
1025,Catalina Del Real Mihovilovic,8,8,0
1028,Eduardo Durán Salinas,31,31,0
1038,Marcos Ilabaca Cerda,5,5,0
1039,Pamela Jiles Moreno,10,10,0
1044,Raúl Leiva Carvajal,8,8,0
1054,Francesca Muñoz González,11,11,0
1056,Emilia Nuyado Ancapichun,9,9,0
1059,Ximena Ossandón Irarrázabal,36,34,2
1060,Luis Pardo Sáinz,14,14,0
1061,Andrea Parra Sauterel,20,20,0
1062,Joanna Pérez Olea,16,16,0
1065,Guillermo Ramírez Diez,8,8,0
1073,Juan Santana Castillo,7,7,0
1074,Marisela Santibáñez Novoa,16,16,0
1075,Diego Schalper Sepúlveda,24,24,0
1077,Raúl Soto Mardones,12,12,0
1082,Cristóbal Urruticoechea Ríos,11,11,0
1086,Gonzalo Winter Etcheberry,7,7,0
1087,Gael Yeomans Araya,21,21,0
1099,Jaime Araya Guerrero,20,20,0
1100,Cristián Araya Lerdo de Tejada,11,11,0
1102,Roberto Arroyo Muñoz,26,22,4
1104,Chiara Barchiesi Chávez,7,7,0
1105,Héctor Barría Angulo,12,12,0
1107,María Francisca Bello Campos,10,10,0
1108,Juan Carlos Beltrán Silva,18,18,0
1110,Carlos Bianchi Chelech,15,15,0
1114,Félix Bugueño Sotelo,12,12,0
1116,Felipe Camaño Cárdenas,24,24,0
1117,Nathalie Castillo Rojas,12,12,0
1119,Sara Concha Smith,12,12,0
1122,Luis Alberto Cuello Peña y Lillo,15,15,0
1127,Lorena Fries Monleón,8,8,0
1128,Ana María Gazmuri Vieira,27,21,6
1131,Mauro González Villarroel,15,15,0
1132,Jorge Guzmán Zepeda,16,16,0
1133,Juan Irarrázaval Rossel,7,7,0
1140,Daniel Lilayu Vivanco,14,14,0
1141,Luis Malla Valenzuela,21,20,1
1142,Daniel Manouchehri Lobos,6,6,0
1143,Cristóbal Martínez Ramírez,17,17,0
1146,José Carlos Meza Pereira,3,3,0
1148,Javiera Morales Alvarado,3,3,0
1150,Benjamín Moreno Bascur,5,4,1
1152,Gloria Naveillan Arriagada,8,8,0
1153,Coca Ericka Ñanco Vásquez,9,9,0
1157,Marlene Pérez Cartes,20,18,2
1159,Lorena Pizarro Sierra,6,6,0
1165,Agustín Romero Leiva,6,6,0
1166,Natalia Romero Talguia,13,13,0
1170,Luis Sánchez Ossa,5,5,0
1171,Emilia Schneider Videla,7,7,0
1172,Stephan Schubert Rubio,1,1,0
1173,Daniela Serrano Salazar,8,8,0
1174,Marco Antonio Sulantay Olivares,15,15,0
1175,Cristián Tapia Ramos,15,15,0
1176,Hotuiti Teao Drago,11,11,0
1177,Carolina Tello Rojas,15,15,0
1178,Héctor Ulloa Aguilera,24,24,0
1180,Consuelo Veloso Ávila,17,17,0
1181,Nelson Venegas Salazar,8,8,0
1182,Sebastián Videla Castillo,19,19,0
1183,Flor Weisse Novoa,10,10,0
