diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
803,René Alinco Bustos,caucus,all,0.00,307,232,75,75.5700,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_05,0.05,238,174,64,73.1092,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_10,0.10,230,166,64,72.1739,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_20,0.20,217,154,63,70.9677,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,party,all,0.00,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_05,0.05,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_10,0.10,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_20,0.20,0,0,0,,Independientes
815,Sergio Bobadilla Muñoz,caucus,all,0.00,348,341,7,97.9885,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_05,0.05,260,253,7,97.3077,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_10,0.10,249,242,7,97.1888,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_20,0.20,230,223,7,96.9565,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,all,0.00,346,340,6,98.2659,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_05,0.05,258,252,6,97.6744,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_10,0.10,248,242,6,97.5806,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_20,0.20,229,223,6,97.3799,Unión Demócrata Independiente
843,René Manuel García García,caucus,all,0.00,310,290,20,93.5484,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_05,0.05,223,205,18,91.9283,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_10,0.10,215,198,17,92.0930,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_20,0.20,199,183,16,91.9598,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,party,all,0.00,309,289,20,93.5275,Renovación Nacional
843,René Manuel García García,party,minority_ge_05,0.05,222,204,18,91.8919,Renovación Nacional
843,René Manuel García García,party,minority_ge_10,0.10,214,197,17,92.0561,Renovación Nacional
843,René Manuel García García,party,minority_ge_20,0.20,198,182,16,91.9192,Renovación Nacional
872,Jaime Mulet Martínez,caucus,all,0.00,332,292,40,87.9518,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,caucus,minority_ge_05,0.05,251,213,38,84.8606,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,caucus,minority_ge_10,0.10,240,202,38,84.1667,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
