diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
803,René Alinco Bustos,caucus,all,0.00,305,228,77,74.7541,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_05,0.05,236,170,66,72.0339,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_10,0.10,228,162,66,71.0526,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,caucus,minority_ge_20,0.20,215,150,65,69.7674,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
803,René Alinco Bustos,party,all,0.00,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_05,0.05,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_10,0.10,0,0,0,,Independientes
803,René Alinco Bustos,party,minority_ge_20,0.20,0,0,0,,Independientes
815,Sergio Bobadilla Muñoz,caucus,all,0.00,347,340,7,97.9827,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_05,0.05,259,252,7,97.2973,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_10,0.10,248,241,7,97.1774,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,caucus,minority_ge_20,0.20,229,222,7,96.9432,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,all,0.00,347,339,8,97.6945,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_05,0.05,259,251,8,96.9112,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_10,0.10,248,241,7,97.1774,Unión Demócrata Independiente
815,Sergio Bobadilla Muñoz,party,minority_ge_20,0.20,230,223,7,96.9565,Unión Demócrata Independiente
843,René Manuel García García,caucus,all,0.00,312,289,23,92.6282,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_05,0.05,225,204,21,90.6667,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_10,0.10,216,197,19,91.2037,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,caucus,minority_ge_20,0.20,199,182,17,91.4573,"Renovación Nacional, Evopoli e Independientes"
843,René Manuel García García,party,all,0.00,312,288,24,92.3077,Renovación Nacional
843,René Manuel García García,party,minority_ge_05,0.05,225,203,22,90.2222,Renovación Nacional
843,René Manuel García García,party,minority_ge_10,0.10,216,196,20,90.7407,Renovación Nacional
843,René Manuel García García,party,minority_ge_20,0.20,200,182,18,91.0000,Renovación Nacional
872,Jaime Mulet Martínez,caucus,all,0.00,331,289,42,87.3112,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,caucus,minority_ge_05,0.05,250,210,40,84.0000,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,caucus,minority_ge_10,0.10,239,199,40,83.2636,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,caucus,minority_ge_20,0.20,220,181,39,82.2727,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes"
872,Jaime Mulet Martínez,party,all,0.00,0,0,0,,Federación Regionalista Verde Social
872,Jaime Mulet Martínez,party,minority_ge_05,0.05,0,0,0,,Federación Regionalista Verde Social
872,Jaime Mulet Martínez,party,minority_ge_10,0.10,0,0,0,,Federación Regionalista Verde Social
872,Jaime Mulet Martínez,party,minority_ge_20,0.20,0,0,0,,Federación Regionalista Verde Social
915,Germán Verdugo Soto,caucus,all,0.00,344,329,15,95.6395,Comité Partido Nacional Libertarios
915,Germán Verdugo Soto,caucus,minority_ge_05,0.05,255,244,11,95.6863,Comité Partido Nacional Libertarios
915,Germán Verdugo Soto,caucus,minority_ge_10,0.10,244,235,9,96.3115,Comité Partido Nacional Libertarios
915,Germán Verdugo Soto,caucus,minority_ge_20,0.20,225,219,6,97.3333,Comité Partido Nacional Libertarios
915,Germán Verdugo Soto,party,all,0.00,344,329,15,95.6395,Partido Nacional Libertario
915,Germán Verdugo Soto,party,minority_ge_05,0.05,255,244,11,95.6863,Partido Nacional Libertario
915,Germán Verdugo Soto,party,minority_ge_10,0.10,244,235,9,96.3115,Partido Nacional Libertario
915,Germán Verdugo Soto,party,minority_ge_20,0.20,225,219,6,97.3333,Partido Nacional Libertario
986,Marcela Hernando Pérez,caucus,all,0.00,318,254,64,79.8742,"Socialista, Liberal, Radical e Independientes"
986,Marcela Hernando Pérez,caucus,minority_ge_05,0.05,235,175,60,74.4681,"Socialista, Liberal, Radical e Independientes"
986,Marcela Hernando Pérez,caucus,minority_ge_10,0.10,226,169,57,74.7788,"Socialista, Liberal, Radical e Independientes"
986,Marcela Hernando Pérez,caucus,minority_ge_20,0.20,207,152,55,73.4300,"Socialista, Liberal, Radical e Independientes"
986,Marcela Hernando Pérez,party,all,0.00,0,0,0,,Partido Radical de Chile
986,Marcela Hernando Pérez,party,minority_ge_05,0.05,0,0,0,,Partido Radical de Chile
986,Marcela Hernando Pérez,party,minority_ge_10,0.10,0,0,0,,Partido Radical de Chile
986,Marcela Hernando Pérez,party,minority_ge_20,0.20,0,0,0,,Partido Radical de Chile
1009,Jorge Alessandri Vergara,caucus,all,0.00,326,320,6,98.1595,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,caucus,minority_ge_05,0.05,248,242,6,97.5806,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,caucus,minority_ge_10,0.10,238,232,6,97.4790,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,caucus,minority_ge_20,0.20,226,220,6,97.3451,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,party,all,0.00,326,318,8,97.5460,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,party,minority_ge_05,0.05,248,240,8,96.7742,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,party,minority_ge_10,0.10,238,231,7,97.0588,Unión Demócrata Independiente
1009,Jorge Alessandri Vergara,party,minority_ge_20,0.20,227,220,7,96.9163,Unión Demócrata Independiente
1012,Boris Barrera Moreno,caucus,all,0.00,364,363,1,99.7253,Comité Comunista e Independientes
1012,Boris Barrera Moreno,caucus,minority_ge_05,0.05,269,269,0,100.0000,Comité Comunista e Independientes
1012,Boris Barrera Moreno,caucus,minority_ge_10,0.10,258,258,0,100.0000,Comité Comunista e Independientes
1012,Boris Barrera Moreno,caucus,minority_ge_20,0.20,239,239,0,100.0000,Comité Comunista e Independientes
1012,Boris Barrera Moreno,party,all,0.00,364,363,1,99.7253,Partido Comunista
1012,Boris Barrera Moreno,party,minority_ge_05,0.05,269,269,0,100.0000,Partido Comunista
1012,Boris Barrera Moreno,party,minority_ge_10,0.10,258,258,0,100.0000,Partido Comunista
1012,Boris Barrera Moreno,party,minority_ge_20,0.20,239,239,0,100.0000,Partido Comunista
1013,Alejandro Bernales Maldonado,caucus,all,0.00,340,256,84,75.2941,"Socialista, Liberal, Radical e Independientes"
1013,Alejandro Bernales Maldonado,caucus,minority_ge_05,0.05,260,181,79,69.6154,"Socialista, Liberal, Radical e Independientes"
1013,Alejandro Bernales Maldonado,caucus,minority_ge_10,0.10,250,173,77,69.2000,"Socialista, Liberal, Radical e Independientes"
1013,Alejandro Bernales Maldonado,caucus,minority_ge_20,0.20,231,155,76,67.0996,"Socialista, Liberal, Radical e Independientes"
1013,Alejandro Bernales Maldonado,party,all,0.00,0,0,0,,Partido Liberal de Chile
1013,Alejandro Bernales Maldonado,party,minority_ge_05,0.05,0,0,0,,Partido Liberal de Chile
1013,Alejandro Bernales Maldonado,party,minority_ge_10,0.10,0,0,0,,Partido Liberal de Chile
1013,Alejandro Bernales Maldonado,party,minority_ge_20,0.20,0,0,0,,Partido Liberal de Chile
1015,Jorge Brito Hasbún,caucus,all,0.00,315,309,6,98.0952,Frente Amplio
1015,Jorge Brito Hasbún,caucus,minority_ge_05,0.05,235,230,5,97.8723,Frente Amplio
1015,Jorge Brito Hasbún,caucus,minority_ge_10,0.10,225,220,5,97.7778,Frente Amplio
1015,Jorge Brito Hasbún,caucus,minority_ge_20,0.20,211,209,2,99.0521,Frente Amplio
1015,Jorge Brito Hasbún,party,all,0.00,315,309,6,98.0952,Frente Amplio
1015,Jorge Brito Hasbún,party,minority_ge_05,0.05,235,230,5,97.8723,Frente Amplio
1015,Jorge Brito Hasbún,party,minority_ge_10,0.10,225,220,5,97.7778,Frente Amplio
1015,Jorge Brito Hasbún,party,minority_ge_20,0.20,210,208,2,99.0476,Frente Amplio
1017,Álvaro Carter Fernández,caucus,all,0.00,344,344,0,100.0000,Comité Partido Republicano
1017,Álvaro Carter Fernández,caucus,minority_ge_05,0.05,253,253,0,100.0000,Comité Partido Republicano
1017,Álvaro Carter Fernández,caucus,minority_ge_10,0.10,242,242,0,100.0000,Comité Partido Republicano
1017,Álvaro Carter Fernández,caucus,minority_ge_20,0.20,223,223,0,100.0000,Comité Partido Republicano
1017,Álvaro Carter Fernández,party,all,0.00,344,344,0,100.0000,Partido Republicano
1017,Álvaro Carter Fernández,party,minority_ge_05,0.05,253,253,0,100.0000,Partido Republicano
1017,Álvaro Carter Fernández,party,minority_ge_10,0.10,242,242,0,100.0000,Partido Republicano
1017,Álvaro Carter Fernández,party,minority_ge_20,0.20,223,223,0,100.0000,Partido Republicano
1021,Andrés Celis Montt,caucus,all,0.00,320,310,10,96.8750,"Renovación Nacional, Evopoli e Independientes"
1021,Andrés Celis Montt,caucus,minority_ge_05,0.05,241,231,10,95.8506,"Renovación Nacional, Evopoli e Independientes"
1021,Andrés Celis Montt,caucus,minority_ge_10,0.10,232,223,9,96.1207,"Renovación Nacional, Evopoli e Independientes"
1021,Andrés Celis Montt,caucus,minority_ge_20,0.20,217,211,6,97.2350,"Renovación Nacional, Evopoli e Independientes"
1021,Andrés Celis Montt,party,all,0.00,320,309,11,96.5625,Renovación Nacional
1021,Andrés Celis Montt,party,minority_ge_05,0.05,241,230,11,95.4357,Renovación Nacional
1021,Andrés Celis Montt,party,minority_ge_10,0.10,231,221,10,95.6710,Renovación Nacional
1021,Andrés Celis Montt,party,minority_ge_20,0.20,216,209,7,96.7593,Renovación Nacional
1025,Catalina Del Real Mihovilovic,caucus,all,0.00,305,305,0,100.0000,Comité Partido Republicano
1025,Catalina Del Real Mihovilovic,caucus,minority_ge_05,0.05,224,224,0,100.0000,Comité Partido Republicano
1025,Catalina Del Real Mihovilovic,caucus,minority_ge_10,0.10,213,213,0,100.0000,Comité Partido Republicano
1025,Catalina Del Real Mihovilovic,caucus,minority_ge_20,0.20,194,194,0,100.0000,Comité Partido Republicano
1025,Catalina Del Real Mihovilovic,party,all,0.00,305,305,0,100.0000,Partido Republicano
1025,Catalina Del Real Mihovilovic,party,minority_ge_05,0.05,224,224,0,100.0000,Partido Republicano
1025,Catalina Del Real Mihovilovic,party,minority_ge_10,0.10,213,213,0,100.0000,Partido Republicano
1025,Catalina Del Real Mihovilovic,party,minority_ge_20,0.20,194,194,0,100.0000,Partido Republicano
1028,Eduardo Durán Salinas,caucus,all,0.00,345,339,6,98.2609,"Renovación Nacional, Evopoli e Independientes"
1028,Eduardo Durán Salinas,caucus,minority_ge_05,0.05,258,252,6,97.6744,"Renovación Nacional, Evopoli e Independientes"
1028,Eduardo Durán Salinas,caucus,minority_ge_10,0.10,250,244,6,97.6000,"Renovación Nacional, Evopoli e Independientes"
1028,Eduardo Durán Salinas,caucus,minority_ge_20,0.20,232,229,3,98.7069,"Renovación Nacional, Evopoli e Independientes"
1028,Eduardo Durán Salinas,party,all,0.00,346,339,7,97.9769,Renovación Nacional
1028,Eduardo Durán Salinas,party,minority_ge_05,0.05,259,252,7,97.2973,Renovación Nacional
1028,Eduardo Durán Salinas,party,minority_ge_10,0.10,250,243,7,97.2000,Renovación Nacional
1028,Eduardo Durán Salinas,party,minority_ge_20,0.20,231,228,3,98.7013,Renovación Nacional
1038,Marcos Ilabaca Cerda,caucus,all,0.00,305,297,8,97.3770,"Socialista, Liberal, Radical e Independientes"
1038,Marcos Ilabaca Cerda,caucus,minority_ge_05,0.05,222,214,8,96.3964,"Socialista, Liberal, Radical e Independientes"
1038,Marcos Ilabaca Cerda,caucus,minority_ge_10,0.10,214,206,8,96.2617,"Socialista, Liberal, Radical e Independientes"
1038,Marcos Ilabaca Cerda,caucus,minority_ge_20,0.20,196,190,6,96.9388,"Socialista, Liberal, Radical e Independientes"
1038,Marcos Ilabaca Cerda,party,all,0.00,310,297,13,95.8065,Partido Socialista
