diputado_id,diputado_nombre,opportunity_rollcalls,rollcalls_total,first_opportunity_date,last_opportunity_date,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_substantive,substantive_participation_pct,n_binary,binary_participation_pct
803,René Alinco Bustos,364,364,2026-03-18,2026-09-01,169,107,33,55,0,309,84.8901,276,75.8242
815,Sergio Bobadilla Muñoz,364,364,2026-03-18,2026-09-01,253,95,0,16,0,348,95.6044,348,95.6044
843,René Manuel García García,364,364,2026-03-18,2026-09-01,233,72,8,50,1,313,85.9890,305,83.7912
872,Jaime Mulet Martínez,364,364,2026-03-18,2026-09-01,229,91,14,30,0,334,91.7582,320,87.9121
915,Germán Verdugo Soto,364,364,2026-03-18,2026-09-01,243,95,7,19,0,345,94.7802,338,92.8571
986,Marcela Hernando Pérez,364,364,2026-03-18,2026-09-01,223,64,33,44,0,320,87.9121,287,78.8462
1009,Jorge Alessandri Vergara,364,364,2026-03-18,2026-09-01,229,93,5,37,0,327,89.8352,322,88.4615
1012,Boris Barrera Moreno,364,364,2026-03-18,2026-09-01,189,158,17,0,0,364,100.0000,347,95.3297
1013,Alejandro Bernales Maldonado,364,364,2026-03-18,2026-09-01,245,70,27,22,0,342,93.9560,315,86.5385
1015,Jorge Brito Hasbún,364,364,2026-03-18,2026-09-01,173,133,11,47,0,317,87.0879,306,84.0659
1017,Álvaro Carter Fernández,364,364,2026-03-18,2026-09-01,240,95,9,20,0,344,94.5055,335,92.0330
1021,Andrés Celis Montt,364,364,2026-03-18,2026-09-01,227,87,8,42,0,322,88.4615,314,86.2637
1025,Catalina Del Real Mihovilovic,364,364,2026-03-18,2026-09-01,221,77,7,59,0,305,83.7912,298,81.8681
1028,Eduardo Durán Salinas,364,364,2026-03-18,2026-09-01,246,89,14,15,0,349,95.8791,335,92.0330
1038,Marcos Ilabaca Cerda,364,364,2026-03-18,2026-09-01,178,123,10,53,0,311,85.4396,301,82.6923
1039,Pamela Jiles Moreno,364,364,2026-03-18,2026-09-01,195,136,15,18,0,346,95.0549,331,90.9341
1044,Raúl Leiva Carvajal,364,364,2026-03-18,2026-09-01,182,115,15,52,0,312,85.7143,297,81.5934
1054,Francesca Muñoz González,364,364,2026-03-18,2026-09-01,257,80,20,7,0,357,98.0769,337,92.5824
1056,Emilia Nuyado Ancapichun,364,364,2026-03-18,2026-09-01,207,146,10,1,0,363,99.7253,353,96.9780
1059,Ximena Ossandón Irarrázabal,364,364,2026-03-18,2026-09-01,248,91,15,4,6,354,97.2527,339,93.1319
1060,Luis Pardo Sáinz,364,364,2026-03-18,2026-09-01,251,94,8,11,0,353,96.9780,345,94.7802
1061,Andrea Parra Sauterel,364,364,2026-03-18,2026-09-01,226,104,21,13,0,351,96.4286,330,90.6593
1062,Joanna Pérez Olea,364,364,2026-03-18,2026-09-01,222,64,25,53,0,311,85.4396,286,78.5714
1065,Guillermo Ramírez Diez,364,364,2026-03-18,2026-09-01,215,90,12,47,0,317,87.0879,305,83.7912
1073,Juan Santana Castillo,364,364,2026-03-18,2026-09-01,172,141,9,42,0,322,88.4615,313,85.9890
1074,Marisela Santibáñez Novoa,364,364,2026-03-18,2026-09-01,164,139,17,44,0,320,87.9121,303,83.2418
1075,Diego Schalper Sepúlveda,364,364,2026-03-18,2026-09-01,234,86,10,34,0,330,90.6593,320,87.9121
1077,Raúl Soto Mardones,364,364,2026-03-18,2026-09-01,210,103,20,31,0,333,91.4835,313,85.9890
1082,Cristóbal Urruticoechea Ríos,364,364,2026-03-18,2026-09-01,198,94,3,69,0,295,81.0440,292,80.2198
1086,Gonzalo Winter Etcheberry,364,364,2026-03-18,2026-09-01,167,136,13,48,0,316,86.8132,303,83.2418
