boletin,fecha,sesion,etapa,subetapa,documento_url,fuente
18131-06,2026-03-17,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18360&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18794&prmBOLETIN=18131-06
18132-04,2026-03-17,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18361&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18795&prmBOLETIN=18132-04
18132-04,2026-03-18,,Primer trámite constitucional / C. Diputados,Oficio N°21.091 a la Corte Suprema,https://www.camara.cl/verDoc.aspx?prmID=35940&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18795&prmBOLETIN=18132-04
18133-07,2026-03-17,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18363&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18797&prmBOLETIN=18133-07
18134-11,2026-03-18,,Primer trámite constitucional / Senado,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18362&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18796&prmBOLETIN=18134-11
18134-11,2026-09-01,53ª / 374,Primer trámite constitucional / Senado,Cuenta del Mensaje 288-374 que retira y hace presente la urgencia Simple,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18796&prmBOLETIN=18134-11
18135-06,2026-03-17,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18364&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18798&prmBOLETIN=18135-06
18136-11,2026-03-17,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18365&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18799&prmBOLETIN=18136-11
18137-05,2026-03-24,4ª / 374,Primer trámite constitucional / C. Diputados,Cuenta del Mensaje 19-374 que hace presente la urgencia Discusión inmediata,,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
18137-05,2026-03-24,,Primer trámite constitucional / C. Diputados,Ingreso de proyecto. Incluye IF N° 74/23.03.2026.,https://www.camara.cl/verDoc.aspx?prmID=18366&prmTIPO=INICIATIVA,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
18137-05,2026-03-24,,Primer trámite constitucional / C. Diputados,Oficio de ley a Cámara Revisora,https://www.camara.cl/verDoc.aspx?prmID=35952&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
18137-05,2026-03-24,,Primer trámite constitucional / C. Diputados,"Oficio del Presidente de la República (N°4-374), mediante el cual formula indicaciones al proyecto. Se adjunta informe financiero N° 75/24.03.2026.",https://www.camara.cl/verDoc.aspx?prmID=35951&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
18137-05,2026-03-24,,Primer trámite constitucional / C. Diputados,Texto del Mensaje.,https://www.camara.cl/verDoc.aspx?prmID=35949&prmTIPO=OFICIOPLEY,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
