boletin,ministerio_id,ministerio
18137-05,2,Ministerio de Hacienda
18155-25,167,Ministerio de Justicia y de Derechos Humanos
18155-25,226,Ministerio de Seguridad Pública
18156-04,167,Ministerio de Justicia y de Derechos Humanos
18156-04,226,Ministerio de Seguridad Pública
18156-04,3,Ministerio de Educación
18178-10,51,Ministerio de Relaciones Exteriores
18208-25,167,Ministerio de Justicia y de Derechos Humanos
18208-25,226,Ministerio de Seguridad Pública
18215-10,51,Ministerio de Relaciones Exteriores
18216-05,2,Ministerio de Hacienda
18230-13,2,Ministerio de Hacienda
18230-13,56,Ministerio de Trabajo y Previsión Social
18231-35,165,Ministerio de Desarrollo Social y Famili
18232-25,226,Ministerio de Seguridad Pública
18255-31,2,Ministerio de Hacienda
18255-31,56,Ministerio de Trabajo y Previsión Social
18256-10,51,Ministerio de Relaciones Exteriores
18257-10,51,Ministerio de Relaciones Exteriores
18258-07,167,Ministerio de Justicia y de Derechos Humanos
18258-07,225,Ministerio del Interior
18258-07,226,Ministerio de Seguridad Pública
18258-07,46,Ministerio de Defensa Nacional
18259-08,2,Ministerio de Hacienda
18259-08,48,Ministerio de Minería
18279-10,51,Ministerio de Relaciones Exteriores
18286-03,1,"Ministerio de Economía, Fomento y Turism"
18286-03,167,Ministerio de Justicia y de Derechos Humanos
18286-03,2,Ministerio de Hacienda
18296-05,2,Ministerio de Hacienda
18301-10,51,Ministerio de Relaciones Exteriores
18301-10,7,Ministerio de Transporte y Telecomunicaciones
18314-07,167,Ministerio de Justicia y de Derechos Humanos
18314-07,225,Ministerio del Interior
18314-07,226,Ministerio de Seguridad Pública
18315-07,167,Ministerio de Justicia y de Derechos Humanos
18315-07,225,Ministerio del Interior
18315-07,226,Ministerio de Seguridad Pública
18334-10,51,Ministerio de Relaciones Exteriores
18341-25,165,Ministerio de Desarrollo Social y Famili
18341-25,167,Ministerio de Justicia y de Derechos Humanos
18341-25,2,Ministerio de Hacienda
18341-25,225,Ministerio del Interior
18341-25,226,Ministerio de Seguridad Pública
18378-18,167,Ministerio de Justicia y de Derechos Humanos
18384-08,144,Ministerio de Energía
18384-08,2,Ministerio de Hacienda
18389-04,2,Ministerio de Hacienda
18389-04,3,Ministerio de Educación
18401-31,165,Ministerio de Desarrollo Social y Famili
18401-31,2,Ministerio de Hacienda
18401-31,56,Ministerio de Trabajo y Previsión Social
18428-10,51,Ministerio de Relaciones Exteriores
18428-10,7,Ministerio de Transporte y Telecomunicaciones
18429-10,167,Ministerio de Justicia y de Derechos Humanos
18429-10,51,Ministerio de Relaciones Exteriores
18431-31,165,Ministerio de Desarrollo Social y Famili
18436-15,225,Ministerio del Interior
18436-15,44,Ministerio de Bienes Nacionales
18436-15,49,Ministerio de Obras Públicas
18436-15,54,Ministerio de Vivienda y Urbanismo
18436-15,7,Ministerio de Transporte y Telecomunicaciones
18464-14,167,Ministerio de Justicia y de Derechos Humanos
18464-14,2,Ministerio de Hacienda
18464-14,225,Ministerio del Interior
18464-14,226,Ministerio de Seguridad Pública
18464-14,44,Ministerio de Bienes Nacionales
18464-14,54,Ministerio de Vivienda y Urbanismo
18478-13,1,"Ministerio de Economía, Fomento y Turism"
18478-13,56,Ministerio de Trabajo y Previsión Social
18501-10,2,Ministerio de Hacienda
18501-10,51,Ministerio de Relaciones Exteriores
18521-07,225,Ministerio del Interior
18521-07,58,Ministerio Secretaría General de la Presidencia
18522-10,51,Ministerio de Relaciones Exteriores
18522-10,7,Ministerio de Transporte y Telecomunicaciones
18524-05,2,Ministerio de Hacienda
18525-06,226,Ministerio de Seguridad Pública
18551-04,2,Ministerio de Hacienda
18551-04,3,Ministerio de Educación
18584-25,167,Ministerio de Justicia y de Derechos Humanos
18584-25,226,Ministerio de Seguridad Pública
18585-25,167,Ministerio de Justicia y de Derechos Humanos
18585-25,226,Ministerio de Seguridad Pública
18597-07,225,Ministerio del Interior
18597-07,226,Ministerio de Seguridad Pública
18597-07,46,Ministerio de Defensa Nacional
18597-07,58,Ministerio Secretaría General de la Presidencia
18621-34,167,Ministerio de Justicia y de Derechos Humanos
18621-34,5,Ministerio de la Mujer y Equidad de Género
18623-07,1,"Ministerio de Economía, Fomento y Turism"
18623-07,2,Ministerio de Hacienda
18623-07,58,Ministerio Secretaría General de la Presidencia
18627-02,46,Ministerio de Defensa Nacional
18627-02,51,Ministerio de Relaciones Exteriores
18628-10,183,"Ministerio de la Cultura, las Artes y el Patrimonio"
18628-10,51,Ministerio de Relaciones Exteriores
