project_id,boletin,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,tipo_iniciativa_codigo,camara_origen,camara_origen_codigo,admisible,estado_actual,source_url,updated_at
18794,18131-06,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18794&prmBOLETIN=18131-06,2026-09-02T15:25:58Z
18795,18132-04,"Modifica la ley Nº 20.370, General de Educación, para sancionar a padres y apoderados cuyos hijos o pupilos participen en hechos constitutivos de acoso escolar",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18795&prmBOLETIN=18132-04,2026-09-02T15:25:56Z
18797,18133-07,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18797&prmBOLETIN=18133-07,2026-09-02T15:25:56Z
18798,18135-06,"Modifica la ley N° 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para resguardar la soberanía nacional en la ejecución de políticas públicas",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18798&prmBOLETIN=18135-06,2026-09-02T15:25:56Z
18799,18136-11,Modifica el Código Sanitario para exigir que el etiquetado de medicamentos y vacunas contenga información sobre precauciones y efectos adversos,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18799&prmBOLETIN=18136-11,2026-09-02T15:25:56Z
18803,18138-07,Modifica la Carta Fundamental para reconocer el derecho de todas las personas a la autodeterminación en materia de inmunización,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18803&prmBOLETIN=18138-07,2026-09-02T15:25:56Z
18804,18140-07,Modifica la Carta Fundamental para garantizar la autonomía estratégica en inversiones relevantes,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18804&prmBOLETIN=18140-07,2026-09-02T15:25:56Z
18805,18141-07,Modifica la Carta Fundamental para establecer un Proyecto Educativo Nacional,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18805&prmBOLETIN=18141-07,2026-09-02T15:25:56Z
18806,18143-07,Modifica la Carta Fundamental para habilitar la convocatoria a plebiscito con el objeto de restituir la pena de muerte en los casos que indica,2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18806&prmBOLETIN=18143-07,2026-09-02T15:25:56Z
18816,18151-24,"Modifica la ley N° 19.132, que crea empresa Televisión Nacional de Chile, con el objeto de modernizar su misión y estrategia de gobernanza",2026-03-17,parlamentario,Moción,2,Cámara de Diputados,1,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18816&prmBOLETIN=18151-24,2026-09-02T15:25:56Z
18796,18134-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, para exigir a los establecimientos que expendan alimentos preparados para el consumo humano, que informen si contienen o han sido elaborados con alguno de los ingredientes que indica",2026-03-18,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18796&prmBOLETIN=18134-11,2026-09-02T15:25:56Z
18800,18137-05,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",2026-03-24,ejecutivo,Mensaje,1,Cámara de Diputados,1,true,Tramitación terminada (Ley N° 21.811 - D.Oficial 26/03/2026),https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05,2026-09-02T15:25:57Z
18801,18139-07,"Modifica la Carta Fundamental, para eliminar la atribución presidencial  de otorgar indultos particulares",2026-03-24,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18801&prmBOLETIN=18139-07,2026-09-02T15:25:57Z
18802,18142-35,"Establece el reconocimiento y protección integral de los derechos de las personas con síndrome de Down, y modifica el Código del Trabajo, del modo que indica",2026-03-24,parlamentario,Moción,2,Senado,2,true,Primer trámite constitucional,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18802&prmBOLETIN=18142-35,2026-09-02T15:25:57Z
