boletin,titulo,origin_initiative,topic_primary,topic_source_layer,all_rollcalls,nonunanimous_rollcalls,eligible_lop_0025,eligible_lop_0050,eligible_lop_0100,share_lop_0025,share_lop_0050,share_lop_0100,general_rollcalls,particular_rollcalls,other_stage_rollcalls
18216-05,Para la reconstrucción nacional y el desarrollo económico y social,ejecutivo,Economía y hacienda,period_project,120,117,116,114,109,0.420290,0.423792,0.422481,2,88,30
18156-04,"Establece medidas de seguridad, orden y respeto para la comunidad educativa",ejecutivo,Educación,period_project,31,31,31,31,31,0.112319,0.115242,0.120155,1,27,3
18384-08,Ley de protección tarifaria eléctrica,ejecutivo,Minería y energía,period_project,16,16,13,12,12,0.047101,0.044610,0.046512,1,14,1
16743-04,"Modifica diversos cuerpos legales, con el objeto de facilitar la creación de nuevos establecimientos educacionales",parlamentario,Educación,inherited_rollcall_project,11,11,11,11,11,0.039855,0.040892,0.042636,2,9,0
16857-07,"Modifica el Código Penal para autorizar el uso de agentes encubiertos en Internet para la persecución de delitos sexuales contra niños, niñas y adolescentes",parlamentario,Seguridad,inherited_rollcall_project,9,6,6,6,6,0.021739,0.022305,0.023256,1,8,0
16836-06,Modifica la ley N° 21.325 para perfeccionar el procedimiento de expulsión administrativa,ejecutivo,Gobierno interior y descentralización,inherited_rollcall_project,8,7,6,6,6,0.021739,0.022305,0.023256,0,0,8
15347-07,"Modifica la ley N° 20.000, que sustituye la ley Nº 19.366, que sanciona el tráfico ilícito de estupefacientes y sustancias sicotrópicas, con el objeto de incorporar las circunstancias agravantes que se indican.",parlamentario,Seguridad,inherited_rollcall_project,7,7,6,6,5,0.021739,0.022305,0.019380,1,6,0
10634-29,"Modifica la ley N° 20.019, que Regula las Sociedades Anónimas Deportivas Profesionales, en materia de fiscalización, de conflictos de interés, y de fomento de la participación de los hinchas en la propiedad de las mismas",parlamentario,Deportes,inherited_rollcall_project,7,5,5,5,3,0.018116,0.018587,0.011628,0,0,7
18230-13,"Reajusta el monto del ingreso mínimo mensual, así como de la asignación familiar y maternal y del subsidio familiar",ejecutivo,Trabajo y seguridad social,period_project,6,6,5,4,4,0.018116,0.014870,0.015504,2,4,0
14767-03,"Modifica la ley N°17.336, sobre Propiedad Intelectual, con el objeto de regular las medidas tecnológicas de protección",ejecutivo,"Economía, comercio y consumidores",inherited_rollcall_project,5,4,4,3,3,0.014493,0.011152,0.011628,1,4,0
18389-04,Faculta a los establecimientos educacionales a implementar un mecanismo de elección mutua en el proceso de admisión escolar,ejecutivo,Educación,period_project,4,4,4,4,4,0.014493,0.014870,0.015504,1,3,0
17012-14,"Modifica la ley N° 21.442, que aprueba nueva ley de copropiedad inmobiliaria, con el objeto de implementar sistemas de seguridad adicionales para impedir caídas accidentales desde edificaciones en altura",parlamentario,Vivienda y territorio,inherited_rollcall_project,5,3,3,3,2,0.010870,0.011152,0.007752,1,4,0
17818-24,Modifica diversos cuerpos legales para reconocer y promover el circo tradicional chileno,parlamentario,Cultura y comunicaciones,inherited_rollcall_project,4,3,3,3,3,0.010870,0.011152,0.011628,1,3,0
16300-07,"Modifica el Código Penal para extender la legítima defensa privilegiada al funcionario militar o policial que actúe en defensa de su persona o derechos, o de los de un tercero, encontrándose en calidad de franco",parlamentario,Seguridad,inherited_rollcall_project,3,3,3,3,3,0.010870,0.011152,0.011628,1,2,0
17662-07,Aumenta sanciones aplicables al delito de atentado contra la autoridad cometido contra miembros de las Fuerzas de Orden y Seguridad Pública,parlamentario,Seguridad,inherited_rollcall_project,3,3,3,3,3,0.010870,0.011152,0.011628,1,2,0
18258-07,"Modifica la ley N°18.415, orgánica constitucional de los estados de excepción, en materia de control de identidad y otros",ejecutivo,Seguridad,period_project,3,3,3,3,3,0.010870,0.011152,0.011628,1,2,0
18296-05,Autoriza mayor endeudamiento del gobierno central durante el año 2026,ejecutivo,Economía y hacienda,period_project,3,3,3,3,3,0.010870,0.011152,0.011628,1,2,0
18137-05,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",ejecutivo,Minería y energía,period_project,9,4,2,1,1,0.007246,0.003717,0.003876,1,5,3
14309-04,Establece un sistema de subvenciones para la modalidad educativa de reingreso,ejecutivo,Educación,inherited_rollcall_project,4,2,2,2,2,0.007246,0.007435,0.007752,0,0,4
18525-06,"Modifica la ley N° 21.802, que fortalece la institucionalidad municipal en materia de seguridad pública y prevención del delito",ejecutivo,Gobierno interior y descentralización,period_project,4,4,2,2,2,0.007246,0.007435,0.007752,2,2,0
17170-07,Modifica el Código Penal para agravar la pena y agregar una nueva circunstancia en el delito de robo en lugar no habitado,parlamentario,Seguridad,inherited_rollcall_project,3,3,2,2,0,0.007246,0.007435,0.000000,1,2,0
18189-14,"Modifica la ley N° 20.898, con el objeto de ampliar el régimen excepcional de regularización de viviendas y actualizar la fecha de su aplicación",parlamentario,Vivienda y territorio,period_project,3,2,2,2,2,0.007246,0.007435,0.007752,1,2,0
12786-12,"Modifica la ley N°20.380, sobre Protección de los animales, para regular las carreras de perros",parlamentario,Medio ambiente,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,2,0,0
17381-03,Prohíbe subcontratar servicios de teleoperadores que funcionen fuera del territorio nacional,parlamentario,"Economía, comercio y consumidores",inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
17474-06,"Modifica la ley Nº 21.325, de Migración y Extranjería, para restringir el acceso de inmigrantes en situación irregular a beneficios de cargo fiscal",parlamentario,Gobierno interior y descentralización,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
17522-12,Aumenta sanciones aplicables a la incineración de basura y promueve la educación ambiental en manejo de residuos,parlamentario,Medio ambiente,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,2,0,0
17872-33,"Modifica la ley N° 18.902, que crea la Superintendencia de Servicios Sanitarios, para establecer un estándar mínimo de reducción de aguas no facturadas",parlamentario,Agua y recursos hídricos,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
17914-13,Modifica el Código del Trabajo para calificar el uso indebido de licencias médicas como falta de probidad del trabajador en el desempeño de sus funciones,parlamentario,Trabajo y seguridad social,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
18030-12,"Modifica la ley N° 21.600, que crea el Servicio de Biodiversidad y Áreas Protegidas y el Sistema Nacional de Áreas Protegidas, para impedir el establecimiento de nuevos sitios prioritarios mientras no se dicte el reglamento que señala",parlamentario,Medio ambiente,inherited_rollcall_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
18155-25,Modifica el Código Penal para establecer nuevas agravantes por delitos cometidos contra la comunidad educativa y en recintos educacionales,ejecutivo,Seguridad,period_project,2,2,2,2,2,0.007246,0.007435,0.007752,1,1,0
15936-18,Modifica cuerpos legales que indica para prohibir el porte y tenencia de armas de fuego a personas procesadas o condenadas por violencia intrafamiliar,parlamentario,"Familia, infancia y adolescencia",inherited_rollcall_project,5,2,1,0,0,0.003623,0.000000,0.000000,0,0,5
18401-31,Entrega un bono extraordinario de apoyo a la niñez,ejecutivo,Desarrollo social,period_project,4,3,1,1,1,0.003623,0.003717,0.003876,1,3,0
16851-14,"Modifica la ley N° 21.450 para autorizar la adquisición de terrenos, destinados a viviendas para familias vulnerables, emplazados en comunas distintas de aquellas que registran mayor demanda de estos grupos",parlamentario,Vivienda y territorio,inherited_rollcall_project,3,1,1,1,1,0.003623,0.003717,0.003876,1,2,0
17912-25,Modifica la ley N° 19.913 para incorporar los delitos contra la propiedad industrial al catálogo de precedentes de lavado de activos,parlamentario,Seguridad,inherited_rollcall_project,3,1,1,1,1,0.003623,0.003717,0.003876,1,2,0
18399-06,Declara feriado regional el 10 de agosto de los años 2026 y 2027 en reemplazo de los feriados que indica,parlamentario,Gobierno interior y descentralización,period_project,3,1,1,1,1,0.003623,0.003717,0.003876,1,2,0
15258-25,"Modifica la ley N°20.931, para permitir la aplicación de medidas de control de identidad preventivo en zonas fronterizas, instalaciones estratégicas y sus inmediaciones",parlamentario,Seguridad,inherited_rollcall_project,2,2,1,1,1,0.003623,0.003717,0.003876,1,1,0
16569-25,"Amplía la penalización dispuesta en el artículo 304 bis del Código Penal, para fortalecer la seguridad perimetral de los recintos penales",parlamentario,Seguridad,inherited_rollcall_project,2,1,1,1,1,0.003623,0.003717,0.003876,0,0,2
16725-06,Modifica cuerpos legales que indica para derogar el feriado en días de elecciones y plebiscitos,parlamentario,Gobierno interior y descentralización,inherited_rollcall_project,2,1,1,1,1,0.003623,0.003717,0.003876,2,0,0
16808-25,Modifica la ley N° 19.913 para prevenir y sancionar con mayor rigurosidad el lavado de activos asociado al comercio ilegal,parlamentario,Seguridad,inherited_rollcall_project,2,1,1,1,1,0.003623,0.003717,0.003876,1,1,0
18431-31,"Modifica la ley N° 21.805, que reconoce el derecho al cuidado y crea el Sistema Nacional de Apoyos y Cuidados, y otros cuerpos normativos que indica",ejecutivo,Desarrollo social,period_project,2,1,1,1,1,0.003623,0.003717,0.003876,1,1,0
15295-07,"Modifica el decreto ley N°321, de 1925, a fin de restringir los requisitos necesarios para acceder al beneficio de libertad condicional",parlamentario,Seguridad,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
15387-12,"Modifica la ley N°21.020, sobre tenencia responsable de mascotas y animales de compañía, para prohibir y sancionar las carreras de perros",parlamentario,Medio ambiente,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
16487-12,"Modifica la ley N° 20.920, que establece marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje, para prohibir temporalmente la importación de plásticos que indica, que sean destinados a la elaboración de productos de un solo uso",parlamentario,Medio ambiente,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,0,1,0
17112-19,"Establece límites al desarrollo de la inteligencia artificial, en resguardo de los derechos humanos fundamentales",parlamentario,Ciencia y tecnología,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17287-14,Modifica textos legales que indica para agilizar la obtención de permisos de urbanización y edificación,parlamentario,Vivienda y territorio,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,0,0,1
17324-33,"Modifica el Código de Aguas para garantizar la participación de comités y cooperativas de agua potable rural, prestadoras de servicios sanitarios rurales, en los directorios de las comunidades de agua",parlamentario,Agua y recursos hídricos,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17354-37,"Autoriza erigir un monumento en memoria del ex Presidente de la República, señor Sebastián Piñera Echenique",parlamentario,"Cultura, patrimonio y deporte",inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17405-07,"Regula la prestación de servicios de cuidado de vehículos y limpieza de parabrisas en la vía pública, y sanciona el ejercicio no autorizado de dichas actividades",parlamentario,Seguridad,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17471-07,Modifica la ley N° 18.119 para tipificar los delitos de robo y receptación de medidores de agua potable,parlamentario,Agua y recursos hídricos,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
17690-07,Modifica el Código Penal para disponer la intervención de la fiscalía militar en la investigación del delito de espionaje,parlamentario,Constitución y justicia,inherited_rollcall_project,1,1,1,1,1,0.003623,0.003717,0.003876,1,0,0
