vote_id,fecha,boletin,descripcion,affirmative,against,abstention,no_vote,dispensed,other_missing,binary_votes,missing_for_spatial_model,minority_count,minority_share_binary,binary_participation_share,unanimous_binary,eligible_lop_0025,eligible_lop_0050,eligible_lop_0100
88442,2026-03-18,16944-25,Boletín N°16944-25,142,0,1,12,0,0,142,13,0,0.000000,0.916129,1,0,0,0
88450,2026-03-23,15347-07,Boletín N°15347-07,130,12,0,13,0,0,142,13,12,0.084507,0.916129,0,1,1,0
88451,2026-03-23,15347-07,Boletín N°15347-07,112,28,4,11,0,0,140,15,28,0.200000,0.903226,0,1,1,1
88452,2026-03-23,15347-07,Boletín N°15347-07,116,26,1,12,0,0,142,13,26,0.183099,0.916129,0,1,1,1
88453,2026-03-23,15347-07,Boletín N°15347-07,116,25,2,12,0,0,141,14,25,0.177305,0.909677,0,1,1,1
88454,2026-03-23,15347-07,Boletín N°15347-07,115,27,1,12,0,0,142,13,27,0.190141,0.916129,0,1,1,1
88455,2026-03-23,15347-07,Boletín N°15347-07,118,25,0,12,0,0,143,12,25,0.174825,0.922581,0,1,1,1
88456,2026-03-23,15347-07,Boletín N°15347-07,142,1,0,12,0,0,143,12,1,0.006993,0.922581,0,0,0,0
88472,2026-03-24,17737-14,Boletín N°17737-14,149,0,1,5,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88474,2026-03-24,17474-06,Boletín N°17474-06,95,48,7,5,0,0,143,12,48,0.335664,0.922581,0,1,1,1
88475,2026-03-24,17474-06,Boletín N°17474-06,83,45,22,5,0,0,128,27,45,0.351562,0.825806,0,1,1,1
88476,2026-03-24,16985-06,Boletín N°16985-06,150,0,0,5,0,0,150,5,0,0.000000,0.967742,1,0,0,0
88477,2026-03-24,16487-12,Boletín N°16487-12,75,71,4,5,0,0,146,9,71,0.486301,0.941935,0,1,1,1
88489,2026-03-24,18137-05,Boletín N°18137-05,109,3,37,6,0,0,112,43,3,0.026786,0.722581,0,1,0,0
88490,2026-03-24,18137-05,Boletín N°18137-05,149,0,0,6,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88491,2026-03-24,18137-05,Boletín N°18137-05,148,1,0,6,0,0,149,6,1,0.006711,0.961290,0,0,0,0
88492,2026-03-24,18137-05,Boletín N°18137-05,149,0,0,6,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88493,2026-03-24,18137-05,Boletín N°18137-05,92,51,6,6,0,0,143,12,51,0.356643,0.922581,0,1,1,1
88494,2026-03-24,18137-05,Boletín N°18137-05,149,0,0,6,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88500,2026-03-25,18003-35,Boletín N°18003-35,149,0,0,6,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88501,2026-03-25,10634-29,Boletín N°10634-29,148,0,1,6,0,0,148,7,0,0.000000,0.954839,1,0,0,0
88502,2026-03-25,10634-29,Boletín N°10634-29,119,19,11,6,0,0,138,17,19,0.137681,0.890323,0,1,1,1
88503,2026-03-25,10634-29,Boletín N°10634-29,125,13,11,6,0,0,138,17,13,0.094203,0.890323,0,1,1,0
88504,2026-03-25,10634-29,Boletín N°10634-29,127,7,15,6,0,0,134,21,7,0.052239,0.864516,0,1,1,0
88505,2026-03-25,10634-29,Boletín N°10634-29,149,0,0,6,0,0,149,6,0,0.000000,0.961290,1,0,0,0
88506,2026-03-25,10634-29,Boletín N°10634-29,126,17,6,6,0,0,143,12,17,0.118881,0.922581,0,1,1,1
88507,2026-03-25,10634-29,Boletín N°10634-29,127,16,6,6,0,0,143,12,16,0.111888,0.922581,0,1,1,1
88517,2026-03-25,18137-05,Boletín N°18137-05,120,1,12,22,0,0,121,34,1,0.008264,0.780645,0,0,0,0
88518,2026-03-25,18137-05,Boletín N°18137-05,133,0,0,22,0,0,133,22,0,0.000000,0.858065,1,0,0,0
88519,2026-03-25,18137-05,Boletín N°18137-05,133,0,0,22,0,0,133,22,0,0.000000,0.858065,1,0,0,0
88544,2026-04-06,16569-25,Boletín N°16569-25,16,124,5,10,0,0,140,15,16,0.114286,0.903226,0,1,1,1
88545,2026-04-06,17234-15,Boletín N°17234-15,140,0,5,10,0,0,140,15,0,0.000000,0.903226,1,0,0,0
88564,2026-04-07,17504-22,Boletín N°17504-22,144,0,0,11,0,0,144,11,0,0.000000,0.929032,1,0,0,0
88594,2026-04-08,17246-15,Boletín N°17246-15,145,0,2,8,0,0,145,10,0,0.000000,0.935484,1,0,0,0
88611,2026-04-13,17880-13,Boletín N°17880-13,140,0,0,15,0,0,140,15,0,0.000000,0.903226,1,0,0,0
88612,2026-04-13,17170-07,Boletín N°17170-07,131,1,8,15,0,0,132,23,1,0.007576,0.851613,0,0,0,0
88613,2026-04-13,17170-07,Boletín N°17170-07,110,8,21,16,0,0,118,37,8,0.067797,0.761290,0,1,1,0
88614,2026-04-13,17170-07,Boletín N°17170-07,110,6,23,16,0,0,116,39,6,0.051724,0.748387,0,1,1,0
88633,2026-04-14,17354-37,Boletín N°17354-37,113,22,9,11,0,0,135,20,22,0.162963,0.870968,0,1,1,1
88634,2026-04-14,17690-07,Boletín N°17690-07,76,63,5,11,0,0,139,16,63,0.453237,0.896774,0,1,1,1
88646,2026-04-15,17757-29,Boletín N°17757-29,104,37,1,13,0,0,141,14,37,0.262411,0.909677,0,1,1,1
88647,2026-04-15,17522-12,Boletín N°17522-12,77,49,12,15,2,0,126,29,49,0.388889,0.812903,0,1,1,1
88648,2026-04-15,17522-12,Boletín N°17522-12,74,54,11,14,2,0,128,27,54,0.421875,0.825806,0,1,1,1
88679,2026-04-21,18043-06,Boletín N°18043-06,116,1,32,6,0,0,117,38,1,0.008547,0.754839,0,0,0,0
88680,2026-04-21,18156-04,Boletín N°18156-04,103,43,3,6,0,0,146,9,43,0.294521,0.941935,0,1,1,1
88681,2026-04-21,18156-04,Boletín N°18156-04,74,74,1,6,0,0,148,7,74,0.500000,0.954839,0,1,1,1
88682,2026-04-21,18156-04,Boletín N°18156-04,89,50,10,6,0,0,139,16,50,0.359712,0.896774,0,1,1,1
88683,2026-04-21,18156-04,Boletín N°18156-04,60,76,13,6,0,0,136,19,60,0.441176,0.877419,0,1,1,1
88684,2026-04-21,18156-04,Boletín N°18156-04,86,49,14,6,0,0,135,20,49,0.362963,0.870968,0,1,1,1
88685,2026-04-21,18156-04,Boletín N°18156-04,58,78,13,6,0,0,136,19,58,0.426471,0.877419,0,1,1,1
88686,2026-04-21,18156-04,Boletín N°18156-04,70,78,0,7,0,0,148,7,70,0.472973,0.954839,0,1,1,1
88687,2026-04-21,18156-04,Boletín N°18156-04,72,77,0,6,0,0,149,6,72,0.483221,0.961290,0,1,1,1
88688,2026-04-21,18156-04,Boletín N°18156-04,39,86,24,6,0,0,125,30,39,0.312000,0.806452,0,1,1,1
88689,2026-04-21,18156-04,Boletín N°18156-04,51,89,9,6,0,0,140,15,51,0.364286,0.903226,0,1,1,1
88690,2026-04-21,18156-04,Boletín N°18156-04,60,89,0,6,0,0,149,6,60,0.402685,0.961290,0,1,1,1
88691,2026-04-21,18156-04,Boletín N°18156-04,57,91,1,6,0,0,148,7,57,0.385135,0.954839,0,1,1,1
88692,2026-04-21,18156-04,Boletín N°18156-04,75,67,7,6,0,0,142,13,67,0.471831,0.916129,0,1,1,1
88693,2026-04-21,18156-04,Boletín N°18156-04,98,47,4,6,0,0,145,10,47,0.324138,0.935484,0,1,1,1
88694,2026-04-21,18156-04,Boletín N°18156-04,52,97,0,6,0,0,149,6,52,0.348993,0.961290,0,1,1,1
88695,2026-04-21,18156-04,Boletín N°18156-04,90,50,9,6,0,0,140,15,50,0.357143,0.903226,0,1,1,1
88696,2026-04-21,18156-04,Boletín N°18156-04,58,91,0,6,0,0,149,6,58,0.389262,0.961290,0,1,1,1
88697,2026-04-21,18156-04,Boletín N°18156-04,59,78,12,6,0,0,137,18,59,0.430657,0.883871,0,1,1,1
88698,2026-04-21,18156-04,Boletín N°18156-04,71,78,0,6,0,0,149,6,71,0.476510,0.961290,0,1,1,1
88699,2026-04-21,18156-04,Boletín N°18156-04,58,91,0,6,0,0,149,6,58,0.389262,0.961290,0,1,1,1
