diputado_id,diputado_nombre,binary_votes,affirmative,against,missing_for_spatial_model,binary_participation_share,binary_votes_lop_0025,eligible_minvotes20_lop_0025,binary_votes_lop_0050,eligible_minvotes20_lop_0050,binary_votes_lop_0100,eligible_minvotes20_lop_0100
803,René Alinco Bustos,276,169,107,88,0.758242,220,1,215,1,207,1
815,Sergio Bobadilla Muñoz,348,253,95,16,0.956044,267,1,260,1,249,1
843,René Manuel García García,305,233,72,59,0.837912,227,1,220,1,211,1
872,Jaime Mulet Martínez,320,229,91,44,0.879121,248,1,242,1,231,1
915,Germán Verdugo Soto,338,243,95,26,0.928571,257,1,250,1,241,1
986,Marcela Hernando Pérez,287,223,64,77,0.788462,212,1,207,1,200,1
1009,Jorge Alessandri Vergara,322,229,93,42,0.884615,251,1,244,1,234,1
1012,Boris Barrera Moreno,347,189,158,17,0.953297,267,1,263,1,254,1
1013,Alejandro Bernales Maldonado,315,245,70,49,0.865385,242,1,238,1,228,1
1015,Jorge Brito Hasbún,306,173,133,58,0.840659,237,1,232,1,222,1
1017,Álvaro Carter Fernández,335,240,95,29,0.920330,255,1,249,1,238,1
1021,Andrés Celis Montt,314,227,87,50,0.862637,241,1,235,1,226,1
1025,Catalina Del Real Mihovilovic,298,221,77,66,0.818681,227,1,222,1,211,1
1028,Eduardo Durán Salinas,335,246,89,29,0.920330,255,1,248,1,240,1
1038,Marcos Ilabaca Cerda,301,178,123,63,0.826923,227,1,222,1,213,1
1039,Pamela Jiles Moreno,331,195,136,33,0.909341,257,1,250,1,239,1
1044,Raúl Leiva Carvajal,297,182,115,67,0.815934,231,1,226,1,217,1
1054,Francesca Muñoz González,337,257,80,27,0.925824,254,1,247,1,236,1
1056,Emilia Nuyado Ancapichun,353,207,146,11,0.969780,269,1,265,1,254,1
1059,Ximena Ossandón Irarrázabal,339,248,91,25,0.931319,253,1,246,1,236,1
1060,Luis Pardo Sáinz,345,251,94,19,0.947802,261,1,254,1,244,1
1061,Andrea Parra Sauterel,330,226,104,34,0.906593,252,1,247,1,236,1
1062,Joanna Pérez Olea,286,222,64,78,0.785714,223,1,218,1,209,1
1065,Guillermo Ramírez Diez,305,215,90,59,0.837912,249,1,243,1,233,1
1073,Juan Santana Castillo,313,172,141,51,0.859890,250,1,246,1,238,1
1074,Marisela Santibáñez Novoa,303,164,139,61,0.832418,238,1,233,1,225,1
1075,Diego Schalper Sepúlveda,320,234,86,44,0.879121,248,1,241,1,231,1
1077,Raúl Soto Mardones,313,210,103,51,0.859890,237,1,231,1,220,1
1082,Cristóbal Urruticoechea Ríos,292,198,94,72,0.802198,239,1,233,1,225,1
1086,Gonzalo Winter Etcheberry,303,167,136,61,0.832418,228,1,224,1,215,1
1087,Gael Yeomans Araya,325,185,140,39,0.892857,253,1,249,1,239,1
1099,Jaime Araya Guerrero,301,195,106,63,0.826923,230,1,223,1,213,1
1100,Cristián Araya Lerdo de Tejada,345,245,100,19,0.947802,268,1,263,1,252,1
1102,Roberto Arroyo Muñoz,297,221,76,67,0.815934,222,1,217,1,206,1
1104,Chiara Barchiesi Chávez,333,236,97,31,0.914835,259,1,253,1,242,1
1105,Héctor Barría Angulo,315,226,89,49,0.865385,247,1,242,1,233,1
1107,María Francisca Bello Campos,0,0,0,364,0.000000,0,0,0,0,0,0
1108,Juan Carlos Beltrán Silva,334,255,79,30,0.917582,251,1,244,1,234,1
1110,Carlos Bianchi Chelech,329,235,94,35,0.903846,251,1,245,1,234,1
1114,Félix Bugueño Sotelo,325,203,122,39,0.892857,244,1,240,1,230,1
1116,Felipe Camaño Cárdenas,329,246,83,35,0.903846,255,1,249,1,238,1
1117,Nathalie Castillo Rojas,281,137,144,83,0.771978,231,1,226,1,220,1
1119,Sara Concha Smith,344,258,86,20,0.945055,262,1,255,1,244,1
