vote_id,fecha,boletin,topic_primary,origin_initiative,topic_source_layer,vote_stage,result,binary_votes,missing_for_spatial_model,minority_count,minority_share_binary,binary_participation_share,unanimous_binary
88442,2026-03-18,16944-25,Seguridad,parlamentario,inherited_rollcall_project,General,Aprobado,142,13,0,0.000000,0.916129,1
88450,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,General,Aprobado,142,13,12,0.084507,0.916129,0
88451,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,140,15,28,0.200000,0.903226,0
88452,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,142,13,26,0.183099,0.916129,0
88453,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,141,14,25,0.177305,0.909677,0
88454,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,142,13,27,0.190141,0.916129,0
88455,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,143,12,25,0.174825,0.922581,0
88456,2026-03-23,15347-07,Seguridad,parlamentario,inherited_rollcall_project,Particular,Aprobado,143,12,1,0.006993,0.922581,0
88472,2026-03-24,17737-14,Vivienda y territorio,parlamentario,inherited_rollcall_project,General,Aprobado,149,6,0,0.000000,0.961290,1
88474,2026-03-24,17474-06,Gobierno interior y descentralización,parlamentario,inherited_rollcall_project,General,Aprobado,143,12,48,0.335664,0.922581,0
88475,2026-03-24,17474-06,Gobierno interior y descentralización,parlamentario,inherited_rollcall_project,Particular,Aprobado,128,27,45,0.351562,0.825806,0
88476,2026-03-24,16985-06,Gobierno interior y descentralización,ejecutivo,inherited_rollcall_project,Única,Aprobado,150,5,0,0.000000,0.967742,1
88477,2026-03-24,16487-12,Medio ambiente,parlamentario,inherited_rollcall_project,Particular,Unánime,146,9,71,0.486301,0.941935,0
88489,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,General,Aprobado,112,43,3,0.026786,0.722581,0
88490,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,Particular,Aprobado,149,6,0,0.000000,0.961290,1
88491,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,Particular,Aprobado,149,6,1,0.006711,0.961290,0
88492,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,Particular,Aprobado,149,6,0,0.000000,0.961290,1
88493,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,Particular,Aprobado,143,12,51,0.356643,0.922581,0
88494,2026-03-24,18137-05,Minería y energía,ejecutivo,period_project,Particular,Aprobado,149,6,0,0.000000,0.961290,1
88500,2026-03-25,18003-35,Personas mayores y discapacidad,parlamentario,inherited_rollcall_project,General,Aprobado,149,6,0,0.000000,0.961290,1
88501,2026-03-25,10634-29,Deportes,parlamentario,inherited_rollcall_project,Única,Aprobado,148,7,0,0.000000,0.954839,1
88502,2026-03-25,10634-29,Deportes,parlamentario,inherited_rollcall_project,Única,Aprobado,138,17,19,0.137681,0.890323,0
