spec_id,minority_share_floor,rollcall_binary_participation_floor,eligible_rollcalls,eligible_share_of_all_rollcalls,eligible_share_of_nonunanimous_rollcalls,binary_observations,missing_observations,mean_rollcall_binary_participation,min_member_binary_participation,median_member_binary_participation,max_member_binary_participation,members_participation_gte_050,members_participation_gte_075,members_participation_gte_090,topics_represented,origins_represented
m000_p050,0.000,0.50,300,0.824176,1.000000,41847,4653,0.899935,0.000000,0.930000,0.986667,153,150,109,18,2
m000_p075,0.000,0.75,282,0.774725,0.940000,39974,3736,0.914528,0.000000,0.946809,1.000000,153,150,116,17,2
m000_p090,0.000,0.90,179,0.491758,0.596667,26444,1301,0.953109,0.000000,0.983240,1.000000,153,150,134,14,2
m025_p050,0.025,0.50,276,0.758242,0.920000,38717,4063,0.905026,0.000000,0.934783,0.996377,153,150,113,17,2
m025_p075,0.025,0.75,261,0.717033,0.870000,37162,3293,0.918601,0.000000,0.950192,1.000000,153,150,119,15,2
m025_p090,0.025,0.90,174,0.478022,0.580000,25710,1260,0.953281,0.000000,0.982759,1.000000,153,150,136,13,2
m050_p050,0.050,0.50,269,0.739011,0.896667,37857,3838,0.907951,0.000000,0.940520,0.996283,153,150,113,16,2
m050_p075,0.050,0.75,257,0.706044,0.856667,36625,3210,0.919418,0.000000,0.949416,1.000000,153,150,119,15,2
m050_p090,0.050,0.90,173,0.475275,0.576667,25565,1250,0.953384,0.000000,0.982659,1.000000,153,150,137,13,2
m100_p050,0.100,0.50,258,0.708791,0.860000,36322,3668,0.908277,0.000000,0.937984,0.996124,153,149,112,16,2
m100_p075,0.100,0.75,247,0.678571,0.823333,35206,3079,0.919577,0.000000,0.951417,1.000000,153,150,118,15,2
m100_p090,0.100,0.90,167,0.458791,0.556667,24675,1210,0.953255,0.000000,0.982036,1.000000,153,150,135,13,2
