spec_id,minority_share_floor,rollcall_binary_participation_floor,dimension_value,all_rollcalls,nonunanimous_rollcalls,eligible_rollcalls,retention_vs_all,retention_vs_nonunanimous
m000_p050,0.000,0.50,ejecutivo,241,212,212,0.879668,1.000000
m000_p050,0.000,0.50,parlamentario,123,88,88,0.715447,1.000000
m000_p075,0.000,0.75,ejecutivo,241,212,205,0.850622,0.966981
m000_p075,0.000,0.75,parlamentario,123,88,77,0.626016,0.875000
m000_p090,0.000,0.90,ejecutivo,241,212,145,0.601660,0.683962
m000_p090,0.000,0.90,parlamentario,123,88,34,0.276423,0.386364
m025_p050,0.025,0.50,ejecutivo,241,212,195,0.809129,0.919811
m025_p050,0.025,0.50,parlamentario,123,88,81,0.658537,0.920455
m025_p075,0.025,0.75,ejecutivo,241,212,190,0.788382,0.896226
m025_p075,0.025,0.75,parlamentario,123,88,71,0.577236,0.806818
m025_p090,0.025,0.90,ejecutivo,241,212,142,0.589212,0.669811
m025_p090,0.025,0.90,parlamentario,123,88,32,0.260163,0.363636
m050_p050,0.050,0.50,ejecutivo,241,212,189,0.784232,0.891509
m050_p050,0.050,0.50,parlamentario,123,88,80,0.650407,0.909091
m050_p075,0.050,0.75,ejecutivo,241,212,186,0.771784,0.877358
m050_p075,0.050,0.75,parlamentario,123,88,71,0.577236,0.806818
m050_p090,0.050,0.90,ejecutivo,241,212,141,0.585062,0.665094
m050_p090,0.050,0.90,parlamentario,123,88,32,0.260163,0.363636
m100_p050,0.100,0.50,ejecutivo,241,212,184,0.763485,0.867925
m100_p050,0.100,0.50,parlamentario,123,88,74,0.601626,0.840909
m100_p075,0.100,0.75,ejecutivo,241,212,181,0.751037,0.853774
m100_p075,0.100,0.75,parlamentario,123,88,66,0.536585,0.750000
m100_p090,0.100,0.90,ejecutivo,241,212,136,0.564315,0.641509
m100_p090,0.100,0.90,parlamentario,123,88,31,0.252033,0.352273
