spec_id,minority_share_floor,rollcall_binary_participation_floor,dimension_value,all_rollcalls,nonunanimous_rollcalls,eligible_rollcalls,retention_vs_all,retention_vs_nonunanimous
m000_p050,0.000,0.50,Agua y recursos hídricos,5,4,4,0.800000,1.000000
m000_p050,0.000,0.50,Ciencia y tecnología,4,3,3,0.750000,1.000000
m000_p050,0.000,0.50,Constitución y justicia,3,3,3,1.000000,1.000000
m000_p050,0.000,0.50,Cultura y comunicaciones,5,3,3,0.600000,1.000000
m000_p050,0.000,0.50,"Cultura, patrimonio y deporte",1,1,1,1.000000,1.000000
m000_p050,0.000,0.50,Deportes,8,6,6,0.750000,1.000000
m000_p050,0.000,0.50,Desarrollo social,6,4,4,0.666667,1.000000
m000_p050,0.000,0.50,Economía y hacienda,124,120,120,0.967742,1.000000
m000_p050,0.000,0.50,"Economía, comercio y consumidores",7,6,6,0.857143,1.000000
m000_p050,0.000,0.50,Educación,50,48,48,0.960000,1.000000
m000_p050,0.000,0.50,Emergencias y desastres,1,0,0,0.000000,
m000_p050,0.000,0.50,"Familia, infancia y adolescencia",5,2,2,0.400000,1.000000
m000_p050,0.000,0.50,Gobierno interior y descentralización,23,16,16,0.695652,1.000000
m000_p050,0.000,0.50,Medio ambiente,8,8,8,1.000000,1.000000
m000_p050,0.000,0.50,Minería y energía,28,22,22,0.785714,1.000000
m000_p050,0.000,0.50,Mujeres y género,1,0,0,0.000000,
m000_p050,0.000,0.50,Personas mayores y discapacidad,1,0,0,0.000000,
m000_p050,0.000,0.50,Relaciones exteriores,10,2,2,0.200000,1.000000
m000_p050,0.000,0.50,Salud,1,0,0,0.000000,
m000_p050,0.000,0.50,Seguridad,45,35,35,0.777778,1.000000
m000_p050,0.000,0.50,Trabajo y seguridad social,11,10,10,0.909091,1.000000
m000_p050,0.000,0.50,Transportes y telecomunicaciones,4,0,0,0.000000,
m000_p050,0.000,0.50,Vivienda y territorio,13,7,7,0.538462,1.000000
m000_p075,0.000,0.75,Agua y recursos hídricos,5,4,3,0.600000,0.750000
m000_p075,0.000,0.75,Ciencia y tecnología,4,3,2,0.500000,0.666667
m000_p075,0.000,0.75,Constitución y justicia,3,3,3,1.000000,1.000000
m000_p075,0.000,0.75,Cultura y comunicaciones,5,3,3,0.600000,1.000000
m000_p075,0.000,0.75,"Cultura, patrimonio y deporte",1,1,1,1.000000,1.000000
m000_p075,0.000,0.75,Deportes,8,6,6,0.750000,1.000000
m000_p075,0.000,0.75,Desarrollo social,6,4,2,0.333333,0.500000
m000_p075,0.000,0.75,Economía y hacienda,124,120,120,0.967742,1.000000
m000_p075,0.000,0.75,"Economía, comercio y consumidores",7,6,5,0.714286,0.833333
