boletin,topic_primary,origin_initiative,eligible_rollcalls,unique_binary_patterns,duplicate_rollcalls,duplicate_share,largest_pattern_multiplicity,largest_pattern_share
18216-05,Economía y hacienda,ejecutivo,116,110,6,0.051724,4,0.034483
18156-04,Educación,ejecutivo,31,30,1,0.032258,2,0.064516
18384-08,Minería y energía,ejecutivo,13,13,0,0.000000,1,0.076923
16743-04,Educación,parlamentario,11,11,0,0.000000,1,0.090909
15347-07,Seguridad,parlamentario,6,6,0,0.000000,1,0.166667
16836-06,Gobierno interior y descentralización,ejecutivo,6,6,0,0.000000,1,0.166667
16857-07,Seguridad,parlamentario,6,6,0,0.000000,1,0.166667
10634-29,Deportes,parlamentario,5,5,0,0.000000,1,0.200000
18230-13,Trabajo y seguridad social,ejecutivo,5,5,0,0.000000,1,0.200000
14767-03,"Economía, comercio y consumidores",ejecutivo,4,4,0,0.000000,1,0.250000
18389-04,Educación,ejecutivo,4,4,0,0.000000,1,0.250000
16300-07,Seguridad,parlamentario,3,3,0,0.000000,1,0.333333
17012-14,Vivienda y territorio,parlamentario,3,3,0,0.000000,1,0.333333
17662-07,Seguridad,parlamentario,3,3,0,0.000000,1,0.333333
17818-24,Cultura y comunicaciones,parlamentario,3,3,0,0.000000,1,0.333333
18258-07,Seguridad,ejecutivo,3,3,0,0.000000,1,0.333333
18296-05,Economía y hacienda,ejecutivo,3,3,0,0.000000,1,0.333333
12786-12,Medio ambiente,parlamentario,2,2,0,0.000000,1,0.500000
14309-04,Educación,ejecutivo,2,2,0,0.000000,1,0.500000
17170-07,Seguridad,parlamentario,2,2,0,0.000000,1,0.500000
17381-03,"Economía, comercio y consumidores",parlamentario,2,2,0,0.000000,1,0.500000
17474-06,Gobierno interior y descentralización,parlamentario,2,2,0,0.000000,1,0.500000
17522-12,Medio ambiente,parlamentario,2,2,0,0.000000,1,0.500000
17872-33,Agua y recursos hídricos,parlamentario,2,2,0,0.000000,1,0.500000
17914-13,Trabajo y seguridad social,parlamentario,2,2,0,0.000000,1,0.500000
18030-12,Medio ambiente,parlamentario,2,2,0,0.000000,1,0.500000
18137-05,Minería y energía,ejecutivo,2,2,0,0.000000,1,0.500000
18155-25,Seguridad,ejecutivo,2,2,0,0.000000,1,0.500000
18189-14,Vivienda y territorio,parlamentario,2,2,0,0.000000,1,0.500000
18525-06,Gobierno interior y descentralización,ejecutivo,2,2,0,0.000000,1,0.500000
15258-25,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
15295-07,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
15387-12,Medio ambiente,parlamentario,1,1,0,0.000000,1,1.000000
15936-18,"Familia, infancia y adolescencia",parlamentario,1,1,0,0.000000,1,1.000000
16487-12,Medio ambiente,parlamentario,1,1,0,0.000000,1,1.000000
16569-25,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
16725-06,Gobierno interior y descentralización,parlamentario,1,1,0,0.000000,1,1.000000
16808-25,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
16851-14,Vivienda y territorio,parlamentario,1,1,0,0.000000,1,1.000000
17112-19,Ciencia y tecnología,parlamentario,1,1,0,0.000000,1,1.000000
17287-14,Vivienda y territorio,parlamentario,1,1,0,0.000000,1,1.000000
17324-33,Agua y recursos hídricos,parlamentario,1,1,0,0.000000,1,1.000000
17354-37,"Cultura, patrimonio y deporte",parlamentario,1,1,0,0.000000,1,1.000000
17405-07,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
17471-07,Agua y recursos hídricos,parlamentario,1,1,0,0.000000,1,1.000000
17690-07,Constitución y justicia,parlamentario,1,1,0,0.000000,1,1.000000
17757-29,Deportes,parlamentario,1,1,0,0.000000,1,1.000000
17837-13,Trabajo y seguridad social,parlamentario,1,1,0,0.000000,1,1.000000
17912-25,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
18016-13,Trabajo y seguridad social,parlamentario,1,1,0,0.000000,1,1.000000
18107-07,Constitución y justicia,parlamentario,1,1,0,0.000000,1,1.000000
18211-25,Seguridad,parlamentario,1,1,0,0.000000,1,1.000000
18399-06,Gobierno interior y descentralización,parlamentario,1,1,0,0.000000,1,1.000000
18401-31,Desarrollo social,ejecutivo,1,1,0,0.000000,1,1.000000
18431-31,Desarrollo social,ejecutivo,1,1,0,0.000000,1,1.000000
