vote_id,boletin,fecha,sesion_id,sesion_numero,descripcion,articulo,total_si,total_no,total_abstencion,total_dispensado,tipo_votacion,tipo_votacion_codigo,resultado,resultado_codigo,quorum,quorum_codigo,tipo_votacion_proyecto,tipo_votacion_proyecto_codigo,tramite_constitucional,tramite_constitucional_codigo,tramite_reglamentario,tramite_reglamentario_codigo,verificado_sala,verification_url
88442,16944-25,2026-03-18,4757,2,Boletín N°16944-25,,142,0,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88442
88450,15347-07,2026-03-23,4758,3,Boletín N°15347-07,,130,12,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88450
88451,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Numeral 1 del artículo único del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por las diputadas Lorena Fries y Ana María Gazmuri, y que consta en las páginas 1 a 3 del comparado.",112,28,4,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88451
88452,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Numeral 2 del artículo único del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por la diputada Ana María Gazmuri, y que consta en las páginas 3 a 4 del comparado.",116,26,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88452
88453,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Numeral 3 del artículo único del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por la diputada Ana María Gazmuri, y que consta en las páginas 4 a 5 del comparado.",116,25,2,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88453
88454,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Numeral 4 del artículo único del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por la diputada Ana María Gazmuri, y que consta en las páginas 5 a 6 del comparado.",115,27,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88454
88455,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Numeral 6 del artículo único del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, que coincide con el texto aprobado por el Senado, cuya votación separada ha sido solicitada por la diputada Ana María Gazmuri, y que consta en las páginas 10 a 12 del comparado.",118,25,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88455
88456,15347-07,2026-03-23,4758,3,Boletín N°15347-07,"Artículo transitorio del proyecto, en los términos propuestos por la Comisión de Seguridad Ciudadana, cuya votación separada ha sido solicitada por la diputada Lorena Fries, y que consta en las páginas 12 a 13 del comparado.",142,1,0,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,Particular,2,Segundo Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88456
88472,17737-14,2026-03-24,4759,4,Boletín N°17737-14,,149,0,1,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88472
88474,17474-06,2026-03-24,4759,4,Boletín N°17474-06,,95,48,7,0,Proyecto de Ley,1,Aprobado,1,Quórum Simple,1,General,1,Primer Trámite,,Primer Informe,,1,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88474
