boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18131-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18794&prmBOLETIN=18131-06
18132-04,1,Educación,Educación,1,0,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 04,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18795&prmBOLETIN=18132-04
18133-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18797&prmBOLETIN=18133-07
18135-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18798&prmBOLETIN=18135-06
18136-11,1,Salud,Salud,1,0,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18799&prmBOLETIN=18136-11
18138-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18803&prmBOLETIN=18138-07
18140-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18804&prmBOLETIN=18140-07
18141-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18805&prmBOLETIN=18141-07
18143-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-17,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18806&prmBOLETIN=18143-07
18151-24,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,0,1,evento_tramitacion,2026-04-07,Primer trámite constitucional / C. Diputados,"Oficio N° 21136. Comunica a la Comisión de Cultura, Artes y Comunicaciones el acuerdo de la Sala, en orden a remitir el proyecto de ley a la Comisión de Constitución, Legislación, Justicia y Reglamento, con posterioridad a su despacho.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18816&prmBOLETIN=18151-24
18151-24,2,"Cultura, Artes y Comunicaciones",Cultura y comunicaciones,1,0,evento_tramitacion,2026-04-07,Primer trámite constitucional / C. Diputados,"Oficio N° 21136. Comunica a la Comisión de Cultura, Artes y Comunicaciones el acuerdo de la Sala, en orden a remitir el proyecto de ley a la Comisión de Constitución, Legislación, Justicia y Reglamento, con posterioridad a su despacho.",https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18816&prmBOLETIN=18151-24
18134-11,1,Salud,Salud,1,0,sufijo_boletin,2026-03-18,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18796&prmBOLETIN=18134-11
18137-05,1,Hacienda,Economía y hacienda,1,1,sufijo_boletin,2026-03-24,destinación inicial,Código de destinación del boletín: 05,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18800&prmBOLETIN=18137-05
18139-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-03-24,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18801&prmBOLETIN=18139-07
