boletin,project_id,fecha_ingreso,origen_iniciativa,titulo,document_type,event_label,source_url,resolved_url,mime_type,extraction_method,pages_total,units_examined,raw_chars,cleaned_chars,text_quality,text_sha256,synced_at
18131-06,18794,2026-03-17,parlamentario,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18360&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18360&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,1378,1378,utilizable,36b9387849eaacf367061511c01f58cd231c2b66509f7359326efb48dc34dcb5,2026-09-02T15:16:08+00:00
18132-04,18795,2026-03-17,parlamentario,"Modifica la ley Nº 20.370, General de Educación, para sancionar a padres y apoderados cuyos hijos o pupilos participen en hechos constitutivos de acoso escolar",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18361&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18361&prmTIPO=INICIATIVA,application/pdf,pdf_text,7,7,1378,1378,utilizable,36b9387849eaacf367061511c01f58cd231c2b66509f7359326efb48dc34dcb5,2026-09-02T15:06:07+00:00
18133-07,18797,2026-03-17,parlamentario,Modifica la Carta Fundamental para asignar a las Fuerzas Armadas un rol coadyuvante en el resguardo del orden público y la seguridad interior del país,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18363&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18363&prmTIPO=INICIATIVA,application/pdf,pdf_text,4,4,5241,5241,rica,d11147661a79c8f99366ddadfb6f944a68573cc7233bfd7cf9b120f580a92c88,2026-09-02T15:06:08+00:00
18134-11,18796,2026-03-18,parlamentario,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, para exigir a los establecimientos que expendan alimentos preparados para el consumo humano, que informen si contienen o han sido elaborados con alguno de los ingredientes que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18362&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18362&prmTIPO=INICIATIVA,application/pdf,pdf_text,2,2,4507,4507,rica,78c5f8e2a29f697f808c82121e283653cdfd220f1b470c46a9f5c63fd2d6f65e,2026-09-02T15:06:54+00:00
18135-06,18798,2026-03-17,parlamentario,"Modifica la ley N° 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para resguardar la soberanía nacional en la ejecución de políticas públicas",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18364&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18364&prmTIPO=INICIATIVA,application/pdf,pdf_text,4,4,3902,3902,rica,f5f187efee271c436f6f4168e596c73b96d006e678146539dd595bb44bd5c0cb,2026-09-02T15:06:49+00:00
18136-11,18799,2026-03-17,parlamentario,Modifica el Código Sanitario para exigir que el etiquetado de medicamentos y vacunas contenga información sobre precauciones y efectos adversos,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18365&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18365&prmTIPO=INICIATIVA,application/pdf,pdf_text,4,4,5131,5131,rica,0e30eab3b45b8b357b5cefcf4e38b8b32922dcc0e70c0e2d19742653d71c5d6f,2026-09-02T15:06:50+00:00
18137-05,18800,2026-03-24,ejecutivo,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",texto_mensaje,Texto del Mensaje.,https://www.camara.cl/verDoc.aspx?prmID=35949&prmTIPO=OFICIOPLEY,https://www.camara.cl/verDoc.aspx?prmID=35949&prmTIPO=OFICIOPLEY,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx_text,0,107,17792,17792,rica,691366abfe03b81bee3e6a40ed91c0675f36788a7224260ed5f0ebe30111947b,2026-09-02T15:06:55+00:00
18138-07,18803,2026-03-17,parlamentario,Modifica la Carta Fundamental para reconocer el derecho de todas las personas a la autodeterminación en materia de inmunización,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18369&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18369&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,6749,6749,rica,12b0b4c9258b3c4fe11d50a2c89039cb3d78520b3f906648f0d3e3032cabce2d,2026-09-02T15:06:50+00:00
18139-07,18801,2026-03-24,parlamentario,"Modifica la Carta Fundamental, para eliminar la atribución presidencial  de otorgar indultos particulares",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18367&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18367&prmTIPO=INICIATIVA,application/pdf,pdf_text,3,3,4627,4627,rica,98e3585f2ef98bdbf096c64daee01338370b0ac96bd00ba77cc4003fa9fe46e5,2026-09-02T15:06:55+00:00
18140-07,18804,2026-03-17,parlamentario,Modifica la Carta Fundamental para garantizar la autonomía estratégica en inversiones relevantes,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18370&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18370&prmTIPO=INICIATIVA,application/pdf,pdf_text,5,5,6268,6268,rica,da85de318bcd98b0f41af116c5fc07a73285386fbeb562549afa87b99c07c280,2026-09-02T15:06:51+00:00
