boletin,topic,role,method,confidence,needs_review,reviewer,taxonomy_version
18131-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18132-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18133-07,Seguridad,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18133-07,Defensa,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18133-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18135-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18136-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18138-07,Salud,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18138-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18140-07,"Economía, comercio y consumidores",principal,revision_semantica,0.89,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18140-07,Relaciones exteriores,secundario,revision_semantica,0.89,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18140-07,Ciencia y tecnología,secundario,revision_semantica,0.89,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18140-07,Minería y energía,secundario,revision_semantica,0.89,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18141-07,Constitución y justicia,principal,hibrido_institucional_texto,0.83,0,,institutional-hybrid-v0.3
18141-07,Educación,secundario,hibrido_institucional_texto,0.83,0,,institutional-hybrid-v0.3
18143-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18151-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18151-24,Constitución y justicia,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18134-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18137-05,Minería y energía,principal,revision_semantica,0.98,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18137-05,Economía y hacienda,secundario,revision_semantica,0.98,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18139-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18142-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18144-07,Seguridad,principal,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18144-07,Constitución y justicia,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18145-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18146-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18147-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18148-07,Defensa,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18148-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18149-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18150-07,Constitución y justicia,principal,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18150-07,Gobierno interior y descentralización,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18157-33,Agua y recursos hídricos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18158-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18152-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18152-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18153-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18154-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18155-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18155-25,Constitución y justicia,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18156-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18159-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18160-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18161-07,Educación,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18161-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18213-07,Minería y energía,principal,hibrido_institucional_texto,0.843,0,,institutional-hybrid-v0.3
18213-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.843,0,,institutional-hybrid-v0.3
18162-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18162-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18163-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18164-17,Derechos humanos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18165-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18166-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18167-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18168-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18172-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18173-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18169-07,Constitución y justicia,principal,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
