boletin,rollcalls,titulo,fecha_ingreso,origen_iniciativa,tipo_iniciativa,camara_origen,codigo_destinacion,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,method,confidence,needs_review,review_reason,evidence,document_url,text_quality,source_url,taxonomy_version
16743-04,11,"Modifica diversos cuerpos legales, con el objeto de facilitar la creación de nuevos establecimientos educacionales",2024-04-09,parlamentario,Moción,Senado,04,Educación,Educación | Hacienda,Educación,Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Educación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17342&prmBOLETIN=16743-04,institutional-hybrid-v0.3
16857-07,9,"Modifica el Código Penal para autorizar el uso de agentes encubiertos en Internet para la persecución de delitos sexuales contra niños, niñas y adolescentes",2024-05-15,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17465&prmBOLETIN=16857-07,institutional-hybrid-v0.3
16836-06,8,Modifica la ley N° 21.325 para perfeccionar el procedimiento de expulsión administrativa,2024-05-13,ejecutivo,Mensaje,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17445&prmBOLETIN=16836-06,institutional-hybrid-v0.3
10634-29,7,"Modifica la ley N° 20.019, que Regula las Sociedades Anónimas Deportivas Profesionales, en materia de fiscalización, de conflictos de interés, y de fomento de la participación de los hinchas en la propiedad de las mismas",2016-05-02,parlamentario,Moción,Cámara de Diputados,29,Deportes y Recreación,Deportes y Recreación | Hacienda,Deportes,Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Deportes y Recreación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=11062&prmBOLETIN=10634-29,institutional-hybrid-v0.3
15347-07,7,"Modifica la ley N° 20.000, que sustituye la ley Nº 19.366, que sanciona el tráfico ilícito de estupefacientes y sustancias sicotrópicas, con el objeto de incorporar las circunstancias agravantes que se indican.",2022-09-13,parlamentario,Moción,Senado,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:13.25 || score_2=Economía, comercio y consumidores:5.25",https://www.camara.cl/verDoc.aspx?prmID=15572&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15863&prmBOLETIN=15347-07,institutional-hybrid-v0.3
14767-03,5,"Modifica la ley N°17.336, sobre Propiedad Intelectual, con el objeto de regular las medidas tecnológicas de protección",2021-12-22,ejecutivo,Mensaje,Cámara de Diputados,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15262&prmBOLETIN=14767-03,institutional-hybrid-v0.3
15936-18,5,Modifica cuerpos legales que indica para prohibir el porte y tenencia de armas de fuego a personas procesadas o condenadas por violencia intrafamiliar,2023-05-15,parlamentario,Moción,Cámara de Diputados,18,"Familia, Infancia y Adolescencia","Familia, Infancia y Adolescencia","Familia, infancia y adolescencia",,institucional_destinacion,0.97,0,,"comision_origen=Familia, Infancia y Adolescencia",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=16474&prmBOLETIN=15936-18,institutional-hybrid-v0.3
17012-14,5,"Modifica la ley N° 21.442, que aprueba nueva ley de copropiedad inmobiliaria, con el objeto de implementar sistemas de seguridad adicionales para impedir caídas accidentales desde edificaciones en altura",2024-07-30,parlamentario,Moción,Senado,14,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17621&prmBOLETIN=17012-14,institutional-hybrid-v0.3
14309-04,4,Establece un sistema de subvenciones para la modalidad educativa de reingreso,2021-06-15,ejecutivo,Mensaje,Cámara de Diputados,04,Educación,Educación | Hacienda,Educación,Economía y hacienda,institucional_destinacion,0.97,0,,comision_origen=Educación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=14891&prmBOLETIN=14309-04,institutional-hybrid-v0.3
17818-24,4,Modifica diversos cuerpos legales para reconocer y promover el circo tradicional chileno,2025-09-01,parlamentario,Moción,Cámara de Diputados,24,"Cultura, Artes y Comunicaciones","Cultura, Artes y Comunicaciones",Cultura y comunicaciones,,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18472&prmBOLETIN=17818-24,institutional-hybrid-v0.3
16300-07,3,"Modifica el Código Penal para extender la legítima defensa privilegiada al funcionario militar o policial que actúe en defensa de su persona o derechos, o de los de un tercero, encontrándose en calidad de franco",2023-09-25,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=16855&prmBOLETIN=16300-07,institutional-hybrid-v0.3
16851-14,3,"Modifica la ley N° 21.450 para autorizar la adquisición de terrenos, destinados a viviendas para familias vulnerables, emplazados en comunas distintas de aquellas que registran mayor demanda de estos grupos",2024-04-22,parlamentario,Moción,Cámara de Diputados,14,"Vivienda, Desarrollo Urbano","Vivienda, Desarrollo Urbano",Vivienda y territorio,,institucional_destinacion,0.97,0,,"comision_origen=Vivienda, Desarrollo Urbano",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17459&prmBOLETIN=16851-14,institutional-hybrid-v0.3
17170-07,3,Modifica el Código Penal para agravar la pena y agregar una nueva circunstancia en el delito de robo en lugar no habitado,2024-10-09,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Agricultura, Silvicultura y Desarrollo Rural | Seguridad Ciudadana",Constitución y justicia,Seguridad,hibrido_institucional_texto,0.746,1,empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || trayectoria=Agricultura, Silvicultura y Desarrollo Rural | Seguridad Ciudadana || score_1=Constitución y justicia:9.00 || score_2=Seguridad:8.75",https://www.camara.cl/verDoc.aspx?prmID=17396&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17793&prmBOLETIN=17170-07,institutional-hybrid-v0.3
17662-07,3,Aumenta sanciones aplicables al delito de atentado contra la autoridad cometido contra miembros de las Fuerzas de Orden y Seguridad Pública,2025-06-30,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento | Seguridad Ciudadana",Seguridad,Constitución y justicia,institucional_trayectoria,0.94,0,,"comision_origen_transversal=Constitución, Legislación, Justicia y Reglamento || comision_sustantiva=Seguridad Ciudadana",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18306&prmBOLETIN=17662-07,institutional-hybrid-v0.3
17912-25,3,Modifica la ley N° 19.913 para incorporar los delitos contra la propiedad industrial al catálogo de precedentes de lavado de activos,2025-10-10,parlamentario,Moción,Cámara de Diputados,25,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18569&prmBOLETIN=17912-25,institutional-hybrid-v0.3
12786-12,2,"Modifica la ley N°20.380, sobre Protección de los animales, para regular las carreras de perros",2019-07-10,parlamentario,Moción,Cámara de Diputados,12,Medio Ambiente y Recursos Naturales,"Medio Ambiente y Recursos Naturales | Agricultura, Silvicultura y Desarrollo Rural",Medio ambiente,Agricultura y mundo rural,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=13328&prmBOLETIN=12786-12,institutional-hybrid-v0.3
15258-25,2,"Modifica la ley N°20.931, para permitir la aplicación de medidas de control de identidad preventivo en zonas fronterizas, instalaciones estratégicas y sus inmediaciones",2022-08-05,parlamentario,Moción,Cámara de Diputados,25,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15769&prmBOLETIN=15258-25,institutional-hybrid-v0.3
16569-25,2,"Amplía la penalización dispuesta en el artículo 304 bis del Código Penal, para fortalecer la seguridad perimetral de los recintos penales",2024-01-15,parlamentario,Moción,Cámara de Diputados,25,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17137&prmBOLETIN=16569-25,institutional-hybrid-v0.3
16686-19,2,Dicta normas sobre transferencia de tecnología y conocimiento,2024-04-01,ejecutivo,Mensaje,Cámara de Diputados,19,Ciencia y Tecnología,Ciencia y Tecnología,Ciencia y tecnología,,institucional_destinacion,0.97,0,,comision_origen=Ciencia y Tecnología,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17258&prmBOLETIN=16686-19,institutional-hybrid-v0.3
16725-06,2,Modifica cuerpos legales que indica para derogar el feriado en días de elecciones y plebiscitos,2024-04-02,parlamentario,Moción,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17299&prmBOLETIN=16725-06,institutional-hybrid-v0.3
16808-25,2,Modifica la ley N° 19.913 para prevenir y sancionar con mayor rigurosidad el lavado de activos asociado al comercio ilegal,2024-04-25,parlamentario,Moción,Cámara de Diputados,25,Seguridad Ciudadana,Seguridad Ciudadana,Seguridad,,institucional_destinacion,0.97,0,,comision_origen=Seguridad Ciudadana,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=17412&prmBOLETIN=16808-25,institutional-hybrid-v0.3
17381-03,2,Prohíbe subcontratar servicios de teleoperadores que funcionen fuera del territorio nacional,2025-01-29,parlamentario,Moción,Cámara de Diputados,03,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",,institucional_destinacion,0.97,0,,"comision_origen=Economía, Fomento, MIPYMES, Consumidores y Turismo",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18016&prmBOLETIN=17381-03,institutional-hybrid-v0.3
17474-06,2,"Modifica la ley Nº 21.325, de Migración y Extranjería, para restringir el acceso de inmigrantes en situación irregular a beneficios de cargo fiscal",2025-04-07,parlamentario,Moción,Cámara de Diputados,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,,institucional_destinacion,0.97,0,,"comision_origen=Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18110&prmBOLETIN=17474-06,institutional-hybrid-v0.3
17522-12,2,Aumenta sanciones aplicables a la incineración de basura y promueve la educación ambiental en manejo de residuos,2025-05-06,parlamentario,Moción,Cámara de Diputados,12,Medio Ambiente y Recursos Naturales,Medio Ambiente y Recursos Naturales,Medio ambiente,,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18162&prmBOLETIN=17522-12,institutional-hybrid-v0.3
17872-33,2,"Modifica la ley N° 18.902, que crea la Superintendencia de Servicios Sanitarios, para establecer un estándar mínimo de reducción de aguas no facturadas",2025-09-25,parlamentario,Moción,Cámara de Diputados,33,Recursos Hídricos y Desertificación,Recursos Hídricos y Desertificación,Agua y recursos hídricos,,institucional_destinacion,0.97,0,,comision_origen=Recursos Hídricos y Desertificación,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18527&prmBOLETIN=17872-33,institutional-hybrid-v0.3
17914-13,2,Modifica el Código del Trabajo para calificar el uso indebido de licencias médicas como falta de probidad del trabajador en el desempeño de sus funciones,2025-10-10,parlamentario,Moción,Cámara de Diputados,13,Trabajo y Seguridad Social,Trabajo y Seguridad Social,Trabajo y seguridad social,,institucional_destinacion,0.97,0,,comision_origen=Trabajo y Seguridad Social,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18571&prmBOLETIN=17914-13,institutional-hybrid-v0.3
18030-12,2,"Modifica la ley N° 21.600, que crea el Servicio de Biodiversidad y Áreas Protegidas y el Sistema Nacional de Áreas Protegidas, para impedir el establecimiento de nuevos sitios prioritarios mientras no se dicte el reglamento que señala",2025-12-09,parlamentario,Moción,Cámara de Diputados,12,Medio Ambiente y Recursos Naturales,"Medio Ambiente y Recursos Naturales | Agricultura, Silvicultura y Desarrollo Rural",Medio ambiente,Agricultura y mundo rural,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=18689&prmBOLETIN=18030-12,institutional-hybrid-v0.3
10986-24,1,"Autoriza erigir un monumento, en la comuna de Lota, en memoria del escritor chileno Baldomero Lillo Figueroa",2016-11-23,parlamentario,Moción,Cámara de Diputados,24,"Cultura, Artes y Comunicaciones","Cultura, Artes y Comunicaciones",Cultura y comunicaciones,,institucional_destinacion,0.97,0,,"comision_origen=Cultura, Artes y Comunicaciones",,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=11502&prmBOLETIN=10986-24,institutional-hybrid-v0.3
15295-07,1,"Modifica el decreto ley N°321, de 1925, a fin de restringir los requisitos necesarios para acceder al beneficio de libertad condicional",2022-08-18,parlamentario,Moción,Cámara de Diputados,07,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Seguridad,Constitución y justicia,hibrido_institucional_texto,0.749,0,,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Seguridad:7.50 || score_2=Defensa:4.50",https://www.camara.cl/verDoc.aspx?prmID=15519&prmTIPO=INICIATIVA,rica,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15808&prmBOLETIN=15295-07,institutional-hybrid-v0.3
15387-12,1,"Modifica la ley N°21.020, sobre tenencia responsable de mascotas y animales de compañía, para prohibir y sancionar las carreras de perros",2021-10-20,parlamentario,Moción,Cámara de Diputados,12,Medio Ambiente y Recursos Naturales,Medio Ambiente y Recursos Naturales,Medio ambiente,,institucional_destinacion,0.97,0,,comision_origen=Medio Ambiente y Recursos Naturales,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=15903&prmBOLETIN=15387-12,institutional-hybrid-v0.3
16397-15,1,"Modifica la ley N° 18.290, de Tránsito, para aumentar las sanciones por no usar sistemas de retención infantil y por trasladar menores de 12 años en asientos delanteros",2023-10-31,parlamentario,Moción,Cámara de Diputados,15,Transportes y Telecomunicaciones,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,,institucional_destinacion,0.97,0,,comision_origen=Transportes y Telecomunicaciones,,no_requerido,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=16958&prmBOLETIN=16397-15,institutional-hybrid-v0.3
