vote_id,boletin,fecha,topic_primary,topic_secondary,topic_method,topic_confidence,topic_source_layer,taxonomy_version,tipo_votacion_proyecto,resultado
88442,16944-25,2026-03-18,Seguridad,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88450,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88451,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88452,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88453,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88454,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88455,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88456,15347-07,2026-03-23,Seguridad,Constitución y justicia,hibrido_institucional_texto,0.92,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88472,17737-14,2026-03-24,Vivienda y territorio,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88474,17474-06,2026-03-24,Gobierno interior y descentralización,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88475,17474-06,2026-03-24,Gobierno interior y descentralización,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Aprobado
88476,16985-06,2026-03-24,Gobierno interior y descentralización,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88477,16487-12,2026-03-24,Medio ambiente,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Unánime
88489,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,General,Aprobado
88490,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88491,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88492,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88493,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88494,18137-05,2026-03-24,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado
88500,18003-35,2026-03-25,Personas mayores y discapacidad,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Aprobado
88501,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88502,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88503,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88504,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88505,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88506,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
88507,10634-29,2026-03-25,Deportes,Economía y hacienda,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado
