boletin,rollcalls,first_vote_date,sample_description,sample_verification_url
16743-04,11,2026-07-07,Boletín N°16743-04,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89302
16857-07,9,2026-06-16,Boletín N°16857-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89153
16836-06,8,2026-07-13,Boletín N°16836-06,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89384
10634-29,7,2026-03-25,Boletín N°10634-29,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88501
15347-07,7,2026-03-23,Boletín N°15347-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88450
14767-03,5,2026-07-07,Boletín N°14767-03,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89313
15936-18,5,2026-06-10,Boletín N°15936-18,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89109
17012-14,5,2026-07-14,Boletín N°17012-14,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89407
14309-04,4,2026-05-11,Boletín N°14309-04,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88810
17818-24,4,2026-09-01,Boletín N°17818-24,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89928
16300-07,3,2026-08-11,Boletín N°16300-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89693
16851-14,3,2026-05-04,Boletín N°16851-14,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88738
17170-07,3,2026-04-13,Boletín N°17170-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=88612
17662-07,3,2026-09-01,Boletín N°17662-07,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89932
17912-25,3,2026-08-17,Boletín N°17912-25,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89779
12786-12,2,2026-08-18,Boletín N°12786-12,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=89843
