boletin,titulo,origen_iniciativa,comision_origen_proxy,comisiones_tramitacion,topic_primary,topic_secondary,confidence,review_reason,evidence,top_scores,text_excerpt
18182-07,"Deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}","Boletín N° 18.182-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 80, que manda publicar en el Diario Oficial y en orden correlativo todos los decretos de que tome razón la Dirección del Tesoro. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpreta"
18184-07,"Deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Transportes y telecomunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0}","Boletín N° 18.184-07 Proyecto de ley, iniciado en Moción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.187, sobre internación de mercaderías por los boquetes de Antuco, Lonquimay, Pucón y Nahuelhuapi. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si est"
18187-07,"Deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}","Boletín N° 18.187-07 Proyecto de ley, iniciado en M oción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.930, que fija la ley de las monedas de un peso y cincuenta centavos. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o no vigente"
18188-07,"Deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indica",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:1.00 || score_2=Cultura y comunicaciones:0.75","{""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Defensa"": 0.0}","Boletín N° 18.188-07 Proyecto de ley, iniciado en M oción d e los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 3.297, que prohíbe la exportación de los metales viejos o usados, que se indican. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas se mantienen o"
18343-16,"Modifica el inciso segundo del artículo 355 del Reglamento de la Cámara de Diputados, con el objeto de aumentar el quorum de los acuerdos adoptados por la Comisión de Ética que apliquen sanciones por faltas a los deberes parlamentarios",parlamentario,Régimen Interno y Administración,Régimen Interno y Administración,Administración parlamentaria,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,origen=Régimen Interno y Administración || score_1=Administración parlamentaria:1.00 || score_2=Cultura y comunicaciones:0.75,"{""Administración parlamentaria"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Constitución y justicia"": 0.0}","ANTECEDENTES La Comisión de Ética y Transparencia (en adelante, “la Comisión”) corresponde a una instancia de gran relevancia en el funcionamiento de la Cámara de Diputados, por cuanto ejerce la potestad disciplinaria respecto de eventuales incumplimientos de deberes parlamentarios tanto en ejercicio del cargo como también en otras actuaciones públicas fuera del ámbito de las funciones legislativas y fiscalizadoras. De acuerdo con lo dispuesto en el artículo 351 del Reglamento de la Corporación (en adelante “el Reglamento”), el procedimiento destinado al conocimiento de posibles vulneraciones al estatuto de obligaciones en materia de ética, probidad y transparencia puede iniciarse por requerimiento de cualquier diputado o de oficio, a petición de algún integrante de la Comisión. La presentación debe contener una relación circunstanciada de los hechos sobre los que se pide pronunciamiento"
18394-16,Modifica el Reglamento de la Cámara de Diputados para permitir el ingreso del Subsecretario General de la Presidencia a las sesiones de Sala,parlamentario,Régimen Interno y Administración,Régimen Interno y Administración,Administración parlamentaria,,0.583,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,origen=Régimen Interno y Administración || score_1=Administración parlamentaria:1.00 || score_2=Constitución y justicia:0.75,"{""Administración parlamentaria"": 1.0, ""Constitución y justicia"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0, ""Cultura y comunicaciones"": 0.0}","Fundamentos El Reglamento de la Cámara de Diputados establece actualmente que los subsecretarios de Estado sólo podrán ingresar a la Sala de Sesiones cuando se encuentre presente el ministro del ramo respectivo y mientras éste permanezca en ella. La mencionada regla responde a la lógica general de la organización administrativa del Poder Ejecutivo, en virtud de la cual los subsecretarios actúan como colaboradores inmediatos de los ministros de Estado y ejercen sus funciones bajo su dependencia. Sin perjuicio de lo ant erior, la aplicación uniforme de esta disposición desconoce la naturaleza singular de la Subsecretaría General de la Presidencia y las funciones específicas que la Constitución, la ley y la práctica institucional le han encomendado en la relación permanente entre el Poder Ejecutivo y el Congreso Nacional. La Subsecretaría General de la Presidencia cumple un rol estratégico "
18183-07,"Deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Infraestructura y obras públicas,Constitución y justicia,0.596,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Infraestructura y obras públicas:1.50 || score_2=Constitución y justicia:1.00","{""Infraestructura y obras públicas"": 1.5, ""Constitución y justicia"": 1.0, ""Cultura y comunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0, ""Ciencia y tecnología"": 0.0}","Boletín N° 18.183-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señores Urrutia, Carter, Squella, Trisotti y Vial, que deroga la ley N° 1.025, que ordena que los conocimientos de naves vengan visados por los cónsules de la República. FUNDAMENTOS Nuestro ordenamiento jurídico ha crecido sostenidamente en el tiempo, dando lugar a que subsistan disposiciones dictadas en contextos que no se corresponden con la realidad actual. Por lo anterior, existen leyes que han caído en desuso o han sido superadas por regulaciones posteriores, generando incertidumbre en cuanto a su vigencia. Esta situación dificulta la adecuada identificación del derecho aplicable y puede dar lugar a interpretaciones divergentes. En particular, la ausencia de una derogación expresa respecto de determinadas normas obliga, en muchos casos, a efectuar ejercicios interpretativos para determinar si estas "
18591-07,"Modifica la ley Nº 19.903, que establece el procedimiento para el otorgamiento de la posesión efectiva de la herencia, para facilitar el acceso de los herederos a activos financieros hereditarios",parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Cultura y comunicaciones,Constitución y justicia,0.596,evidencia_semantica_debil | empate_tematico,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Cultura y comunicaciones:1.50 || score_2=Constitución y justicia:1.00","{""Cultura y comunicaciones"": 1.5, ""Constitución y justicia"": 1.0, ""Familia, infancia y adolescencia"": 0.75, ""Relaciones exteriores"": 0.75, ""Agricultura y mundo rural"": 0.0, ""Agua y recursos hídricos"": 0.0}","ANTECEDENTES 1. La Ley N.º 19.903 estableció un procedimiento administrativo destinado a simplificar y agilizar el reconocimiento de la calidad de heredero en las sucesiones intestadas, entregando al Servicio de Registro Civil e Identificación la facultad de conceder la posesión efectiva de la herencia. 2. Una vez otorgada la posesión efectiva, la ley determina quiénes son los herederos y la proporción en que concurren a la sucesión. Sin embargo, la materialización efectiva de esos derechos suele enfrentar obstáculos prácticos cuando el patrimonio hereditario se compone de depósitos bancarios, acciones, cuotas de fondos de inversión, fondos mutuos u otros instrumentos financieros mantenidos por entidades sujetas a fiscalización financiera. 3. En la práctica es frecuente que uno o más herederos se encuentren inubicables, residan permanentemente en el extranjero, mantengan conflictos famil"
18564-07,Impide temporalmente el alza en el valor del avalúo fiscal de los inmuebles residenciales por la instalación de paneles solares,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.623,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:3.25 || score_2=Minería y energía:3.00","{""Constitución y justicia"": 3.25, ""Minería y energía"": 3.0, ""Economía y hacienda"": 1.5, ""Familia, infancia y adolescencia"": 0.75, ""Transportes y telecomunicaciones"": 0.75, ""Agricultura y mundo rural"": 0.0}","antecedentes expuestos, y con el objeto de incentivar el uso de energías renovables, fortalecer la seguridad energética, disminuir costos para familias y organizaciones comunitarias, así como eliminar desincentivos tributarios al autoconsu mo eléctrico, los diputados que suscriben vienen en someter a la consideración de este Honorable Congreso Nacional el siguiente: 05-08-2026 14:50 4 “PROYECTO DE REFORMA CONSTITUCIONAL” ARTÍCULO ÚNICO. - Agrégase la siguiente disposición transitoria en la Constitución Política de la República: “QUINCUAGÉSIMA SÉPTIMA: Por el plazo de Quince años contado desde la publicación de esta reforma constitucional, la instalación o incorporación de sistemas solares fotovoltaicos destinados al autoconsumo energético residencial o a la inyección de energía al sistema eléctrico no p odrá ser considerada, por sí sola, como causal de aumento del avalúo fiscal de bienes"
18609-07,Con el objeto de consagrar a la persecución de la corrupción como un principio rector para el Estado,parlamentario,"Constitución, Legislación, Justicia y Reglamento","Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,0.636,evidencia_semantica_debil | empate_tematico | solo_comision_transversal,"origen=Constitución, Legislación, Justicia y Reglamento || score_1=Constitución y justicia:4.00 || score_2=Cultura y comunicaciones:3.75","{""Constitución y justicia"": 4.0, ""Cultura y comunicaciones"": 3.75, ""Economía, comercio y consumidores"": 2.25, ""Gobierno interior y descentralización"": 2.25, ""Familia, infancia y adolescencia"": 1.5, ""Vivienda y territorio"": 1.5}","Boletín N° 18.609-07 Proyecto de reforma constitucional, iniciado en Moción de los Honorables Senadores señor Velásquez y señora Sepúlveda, con el objeto de consagrar a la persecución de la corrupción como un principio rector para el Estado. I. FUNDAMENTOS La corrupción constituye una de las amenazas más graves para el funcionamiento del Estado democrático de derecho, por lo tanto, afecta la legitimidad de sus instituciones, compromete la correcta utilización de los recursos públicos, distorsiona los procesos de toma de decisiones y debilita la confianza de la ciudadanía en quienes ejercen funciones públicas. Sus consecuencias exceden, por tanto, la afectación patrimonial inmediata que pueda ocasionar una determinada conducta ¡lícita, proyectándose sobre la calidad de la democracia, la igualdad ante la ley y la capacidad del Estado para cumplir adecuadamente sus fines. Nuestro ordenamien"
