vote_id,boletin,fecha,minority_share_binary,binary_participation_share,spread_1d,midpoint_1d,gmp,apre,cluster_id,resultado,descripcion,url_original,project_title,project_initiative,project_origin_chamber,project_stage,topic_primary_internal,topic_secondary_internal,topic_confidence_internal,topic_validation_status,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_binary,minority_share_binary_observed,alignment_binary_summary,alignment_yes_share_gap,alignment_groups_binary_n3plus,party_binary_summary,party_yes_share_gap,party_groups_binary_n2plus,caucus_binary_summary,caucus_yes_share_gap,caucus_groups_binary_n2plus,abs_spread_1d,spread_1d_display,midpoint_1d_display,d1_display_multiplier,rank_abs_spread_1d,rank_bill_diverse_d1
89937,15295-07,2026-09-01,0.105263,0.735484,1.61616957187653,0.633476972579956,0.945160865783691,0.916666666666667,bill:15295-07,Aprobado,Boletín N°15295-07,,"Modifica el decreto ley N°321, de 1925, a fin de restringir los requisitos necesarios para acceder al beneficio de libertad condicional",,,,Seguridad,Constitución y justicia,0.749,internal_not_external_validated,102,12,30,11,0,114,0.105263,no_alineado: 13S/0N (100.0% S) | oficialismo: 62S/0N (100.0% S) | oposicion: 27S/12N (69.2% S),0.307692,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 0S/11N (0.0% S) | Independientes: 14S/1N (93.3% S) | Partido Cristiano de Chile: 2S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 7S/0N (100.0% S) | Partido Republicano: 27S/0N (100.0% S) | Partido Socialista: 8S/0N (100.0% S) | Partido de la Gente: 6S/0N (100.0% S) | Renovación Nacional: 10S/0N (100.0% S) | Unión Demócrata Independiente: 13S/0N (100.0% S),1.0,12,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 7S/0N (100.0% S) | Comité Partido Republicano: 29S/0N (100.0% S) | Comité Partido de la Gente: 5S/0N (100.0% S) | Frente Amplio: 0S/12N (0.0% S) | Partido Por la Democracia e Independientes: 4S/0N (100.0% S) | Por definir: 2S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 15S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 13S/0N (100.0% S) | Unión Demócrata Independiente: 16S/0N (100.0% S)",1.0,10,1.61616957187653,-1.61616957187653,-0.633476972579956,-1.0,1,1
89113,15936-18,2026-06-10,0.045045,0.716129,-1.60700392723083,-0.900661528110504,0.915386319160461,0.4,bill:15936-18,Aprobado,Boletín N°15936-18,,Modifica cuerpos legales que indica para prohibir el porte y tenencia de armas de fuego a personas procesadas o condenadas por violencia intrafamiliar,,,,"Familia, infancia y adolescencia",,0.97,internal_not_external_validated,106,5,32,12,0,111,0.045045,no_alineado: 15S/5N (75.0% S) | oficialismo: 31S/0N (100.0% S) | oposicion: 60S/0N (100.0% S),0.25,3,Frente Amplio: 13S/0N (100.0% S) | Independientes: 20S/0N (100.0% S) | Partido Comunista: 8S/0N (100.0% S) | Partido Cristiano de Chile: 2S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 1S/5N (16.7% S) | Partido Por la Democracia: 3S/0N (100.0% S) | Partido Socialista: 10S/0N (100.0% S) | Partido de la Gente: 14S/0N (100.0% S) | Renovación Nacional: 9S/0N (100.0% S) | Unión Demócrata Independiente: 12S/0N (100.0% S),0.833333,12,"Comité Comunista e Independientes: 12S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 1S/5N (16.7% S) | Comité Partido de la Gente: 13S/0N (100.0% S) | Frente Amplio: 15S/0N (100.0% S) | Partido Por la Democracia e Independientes: 8S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 11S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 15S/0N (100.0% S) | Unión Demócrata Independiente: 17S/0N (100.0% S)",0.833333,10,1.60700392723083,1.60700392723083,0.900661528110504,-1.0,2,2
88948,18216-05,2026-05-20,0.419118,0.877419,-1.59770464897156,-0.655255377292633,0.962116718292236,0.982456140350877,bill:18216-05,Aprobado,Boletín N°18216-05,,Para la reconstrucción nacional y el desarrollo económico y social,,Cámara de Diputados,,,,,internal_not_external_validated,79,57,17,2,0,136,0.419118,no_alineado: 14S/7N (66.7% S) | oficialismo: 1S/50N (2.0% S) | oposicion: 64S/0N (100.0% S),0.980392,3,Frente Amplio: 15S/0N (100.0% S) | Independientes: 16S/7N (69.6% S) | Partido Comunista: 8S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 1S/7N (12.5% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 0S/28N (0.0% S) | Partido Socialista: 10S/0N (100.0% S) | Partido de la Gente: 13S/0N (100.0% S) | Renovación Nacional: 0S/2N (0.0% S) | Unión Demócrata Independiente: 0S/12N (0.0% S),1.0,12,"Comité Comunista e Independientes: 12S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 1S/7N (12.5% S) | Comité Partido Republicano: 0S/31N (0.0% S) | Comité Partido de la Gente: 12S/0N (100.0% S) | Frente Amplio: 17S/0N (100.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/4N (0.0% S) | Socialista, Liberal, Radical e Independientes: 15S/0N (100.0% S) | Unión Demócrata Independiente: 1S/15N (6.2% S)",1.0,10,1.59770464897156,1.59770464897156,0.655255377292633,-1.0,3,3
88870,18155-25,2026-05-13,0.133333,0.774194,1.59673857688904,0.628217697143555,0.947420656681061,0.6875,bill:18155-25,Aprobado,Boletín N°18155-25,,Modifica el Código Penal para establecer nuevas agravantes por delitos cometidos contra la comunidad educativa y en recintos educacionales,,Cámara de Diputados,,,,,internal_not_external_validated,104,16,22,13,0,120,0.133333,no_alineado: 19S/0N (100.0% S) | oficialismo: 62S/0N (100.0% S) | oposicion: 23S/16N (59.0% S),0.410256,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 1S/1N (50.0% S) | Independientes: 15S/4N (78.9% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 6S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 8S/0N (100.0% S) | Partido Republicano: 28S/0N (100.0% S) | Partido Social Cristiano: 2S/0N (100.0% S) | Partido Socialista: 5S/2N (71.4% S) | Partido de la Gente: 11S/0N (100.0% S) | Renovación Nacional: 9S/0N (100.0% S) | Unión Demócrata Independiente: 11S/0N (100.0% S),1.0,13,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 8S/0N (100.0% S) | Comité Partido Nacional Libertarios: 8S/0N (100.0% S) | Comité Partido Republicano: 31S/0N (100.0% S) | Comité Partido de la Gente: 10S/0N (100.0% S) | Frente Amplio: 1S/1N (50.0% S) | Partido Por la Democracia e Independientes: 5S/0N (100.0% S) | Por definir: 2S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 14S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 9S/3N (75.0% S) | Unión Demócrata Independiente: 15S/0N (100.0% S)",1.0,11,1.59673857688904,-1.59673857688904,-0.628217697143555,-1.0,4,4
88647,17522-12,2026-04-15,0.388889,0.812903,-1.59470152854919,-0.726778388023376,0.953643321990967,0.959183673469388,bill:17522-12,Aprobado,Boletín N°17522-12,,Aumenta sanciones aplicables a la incineración de basura y promueve la educación ambiental en manejo de residuos,,,,Medio ambiente,,0.97,internal_not_external_validated,77,49,12,15,2,126,0.388889,no_alineado: 12S/7N (63.2% S) | oficialismo: 4S/42N (8.7% S) | oposicion: 61S/0N (100.0% S),0.913043,3,Frente Amplio: 14S/0N (100.0% S) | Independientes: 16S/6N (72.7% S) | Partido Comunista: 7S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 0S/7N (0.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 0S/25N (0.0% S) | Partido Social Cristiano: 1S/1N (50.0% S) | Partido Socialista: 9S/0N (100.0% S) | Partido de la Gente: 12S/0N (100.0% S) | Renovación Nacional: 2S/0N (100.0% S) | Unión Demócrata Independiente: 0S/10N (0.0% S),1.0,13,"Comité Comunista e Independientes: 11S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 0S/7N (0.0% S) | Comité Partido Republicano: 0S/28N (0.0% S) | Comité Partido de la Gente: 11S/0N (100.0% S) | Frente Amplio: 16S/0N (100.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 1S/1N (50.0% S) | Renovación Nacional, Evopoli e Independientes: 2S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 14S/0N (100.0% S) | Unión Demócrata Independiente: 1S/13N (7.1% S)",1.0,11,1.59470152854919,1.59470152854919,0.726778388023376,-1.0,5,5
89389,16836-06,2026-07-13,0.425,0.774194,-1.59229731559753,-0.609637498855591,0.972431004047394,1,bill:16836-06,Unánime,Boletín N°16836-06,,Modifica la ley N° 21.325 para perfeccionar el procedimiento de expulsión administrativa,,,,Gobierno interior y descentralización,,0.97,internal_not_external_validated,51,69,19,16,0,120,0.425,no_alineado: 0S/6N (0.0% S) | oficialismo: 0S/63N (0.0% S) | oposicion: 51S/0N (100.0% S),1.0,3,Evolución Política: 0S/2N (0.0% S) | Frente Amplio: 13S/0N (100.0% S) | Independientes: 10S/9N (52.6% S) | Partido Comunista: 6S/0N (100.0% S) | Partido Cristiano de Chile: 0S/2N (0.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Nacional Libertario: 0S/6N (0.0% S) | Partido Por la Democracia: 3S/0N (100.0% S) | Partido Republicano: 0S/28N (0.0% S) | Partido Socialista: 10S/0N (100.0% S) | Renovación Nacional: 0S/9N (0.0% S) | Unión Demócrata Independiente: 0S/11N (0.0% S),1.0,12,"Comité Comunista e Independientes: 10S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 9S/0N (100.0% S) | Comité Partido Nacional Libertarios: 0S/6N (0.0% S) | Comité Partido Republicano: 0S/31N (0.0% S) | Frente Amplio: 15S/0N (100.0% S) | Partido Por la Democracia e Independientes: 6S/0N (100.0% S) | Por definir: 0S/3N (0.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/14N (0.0% S) | Socialista, Liberal, Radical e Independientes: 11S/0N (100.0% S) | Unión Demócrata Independiente: 0S/15N (0.0% S)",1.0,10,1.59229731559753,1.59229731559753,0.609637498855591,-1.0,6,6
88613,17170-07,2026-04-13,0.067797,0.76129,1.59163534641266,0.667725563049316,0.938791275024414,0.5,bill:17170-07,Aprobado,Boletín N°17170-07,,Modifica el Código Penal para agravar la pena y agregar una nueva circunstancia en el delito de robo en lugar no habitado,,,,Seguridad,Constitución y justicia | Agricultura y mundo rural,0.97,internal_not_external_validated,110,8,21,16,0,118,0.067797,no_alineado: 20S/0N (100.0% S) | oficialismo: 62S/0N (100.0% S) | oposicion: 28S/8N (77.8% S),0.222222,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 2S/8N (20.0% S) | Independientes: 20S/0N (100.0% S) | Partido Demócrata Cristiano: 6S/0N (100.0% S) | Partido Nacional Libertario: 6S/0N (100.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 27S/0N (100.0% S) | Partido Social Cristiano: 3S/0N (100.0% S) | Partido Socialista: 3S/0N (100.0% S) | Partido de la Gente: 14S/0N (100.0% S) | Renovación Nacional: 9S/0N (100.0% S) | Unión Demócrata Independiente: 12S/0N (100.0% S),0.8,12,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 8S/0N (100.0% S) | Comité Partido Nacional Libertarios: 6S/0N (100.0% S) | Comité Partido Republicano: 30S/0N (100.0% S) | Comité Partido de la Gente: 13S/0N (100.0% S) | Frente Amplio: 4S/8N (33.3% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 12S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 6S/0N (100.0% S) | Unión Demócrata Independiente: 17S/0N (100.0% S)",0.666667,10,1.59163534641266,-1.59163534641266,-0.667725563049316,-1.0,7,7
89935,17914-13,2026-09-01,0.142857,0.812903,1.58950757980347,0.597347378730774,0.959050714969635,0.944444444444444,bill:17914-13,Aprobado,Boletín N°17914-13,,Modifica el Código del Trabajo para calificar el uso indebido de licencias médicas como falta de probidad del trabajador en el desempeño de sus funciones,,,,Trabajo y seguridad social,,0.97,internal_not_external_validated,108,18,17,12,0,126,0.142857,no_alineado: 21S/0N (100.0% S) | oficialismo: 61S/0N (100.0% S) | oposicion: 26S/18N (59.1% S),0.409091,3,Evolución Política: 2S/0N (100.0% S) | Independientes: 16S/4N (80.0% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Cristiano de Chile: 2S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 7S/0N (100.0% S) | Partido Por la Democracia: 3S/0N (100.0% S) | Partido Republicano: 27S/0N (100.0% S) | Partido Socialista: 3S/4N (42.9% S) | Partido de la Gente: 14S/0N (100.0% S) | Renovación Nacional: 10S/0N (100.0% S) | Unión Demócrata Independiente: 12S/0N (100.0% S),1.0,13,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 7S/0N (100.0% S) | Comité Partido Republicano: 29S/0N (100.0% S) | Comité Partido de la Gente: 13S/0N (100.0% S) | Partido Por la Democracia e Independientes: 9S/0N (100.0% S) | Por definir: 2S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 15S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 7S/5N (58.3% S) | Unión Demócrata Independiente: 15S/0N (100.0% S)",1.0,10,1.58950757980347,-1.58950757980347,-0.597347378730774,-1.0,8,8
89003,17287-14,2026-06-02,0.106383,0.909677,1.58862149715424,0.744175732135773,0.939075708389282,0.6,bill:17287-14,Aprobado,Boletín N°17287-14,,Modifica textos legales que indica para agilizar la obtención de permisos de urbanización y edificación,,,,Vivienda y territorio,,0.97,internal_not_external_validated,126,15,9,5,0,141,0.106383,no_alineado: 21S/0N (100.0% S) | oficialismo: 68S/0N (100.0% S) | oposicion: 37S/15N (71.2% S),0.288462,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 7S/2N (77.8% S) | Independientes: 21S/3N (87.5% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 7S/0N (100.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 28S/0N (100.0% S) | Partido Social Cristiano: 3S/0N (100.0% S) | Partido Socialista: 4S/1N (80.0% S) | Partido de la Gente: 14S/0N (100.0% S) | Renovación Nacional: 11S/0N (100.0% S) | Unión Demócrata Independiente: 13S/0N (100.0% S),1.0,14,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 7S/0N (100.0% S) | Comité Partido Republicano: 31S/0N (100.0% S) | Comité Partido de la Gente: 13S/0N (100.0% S) | Frente Amplio: 8S/2N (80.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 16S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 9S/1N (90.0% S) | Unión Demócrata Independiente: 18S/0N (100.0% S)",1.0,11,1.58862149715424,-1.58862149715424,-0.744175732135773,-1.0,9,9
88477,16487-12,2026-03-24,0.486301,0.941935,-1.58859729766846,-0.655043125152588,0.964416861534119,1,bill:16487-12,Unánime,Boletín N°16487-12,,"Modifica la ley N° 20.920, que establece marco para la gestión de residuos, la responsabilidad extendida del productor y fomento al reciclaje, para prohibir temporalmente la importación de plásticos que indica, que sean destinados a la elaboración de productos de un solo uso",,,,Medio ambiente,,0.97,internal_not_external_validated,75,71,4,5,0,146,0.486301,no_alineado: 14S/8N (63.6% S) | oficialismo: 0S/63N (0.0% S) | oposicion: 61S/0N (100.0% S),1.0,3,Evolución Política: 0S/2N (0.0% S) | Frente Amplio: 14S/0N (100.0% S) | Independientes: 14S/9N (60.9% S) | Partido Comunista: 8S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 0S/8N (0.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 0S/27N (0.0% S) | Partido Social Cristiano: 0S/3N (0.0% S) | Partido Socialista: 9S/0N (100.0% S) | Partido de la Gente: 14S/0N (100.0% S) | Renovación Nacional: 0S/10N (0.0% S) | Unión Demócrata Independiente: 0S/11N (0.0% S),1.0,14,"Comité Comunista e Independientes: 11S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 0S/8N (0.0% S) | Comité Partido Republicano: 0S/30N (0.0% S) | Comité Partido de la Gente: 14S/0N (100.0% S) | Frente Amplio: 16S/0N (100.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 0S/3N (0.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/15N (0.0% S) | Socialista, Liberal, Radical e Independientes: 14S/0N (100.0% S) | Unión Demócrata Independiente: 0S/15N (0.0% S)",1.0,11,1.58859729766846,1.58859729766846,0.655043125152588,-1.0,10,10
