vote_id,boletin,fecha,spec_id,spread_1d,spread_2d,midpoint_1d,midpoint_2d,gmp,apre,weighted_spread_1,weighted_spread_2,relative_dim2_loading,topic_primary,topic_secondary,topic_method,topic_confidence,topic_source_layer,taxonomy_version,tipo_votacion_proyecto,resultado,cluster_id,descripcion,url_original,project_title,project_initiative,project_origin_chamber,project_stage,topic_primary_internal,topic_secondary_internal,topic_confidence_internal,topic_validation_status,special_omnibus,special_omnibus_label,interpretation_unit,omnibus_audit_required,n_affirmative,n_against,n_abstention,n_no_vote,n_excused,n_binary,minority_share_binary_observed,alignment_binary_summary,alignment_yes_share_gap,alignment_groups_binary_n3plus,party_binary_summary,party_yes_share_gap,party_groups_binary_n2plus,caucus_binary_summary,caucus_yes_share_gap,caucus_groups_binary_n2plus,midpoint_1_display,spread_1_display,d1_display_multiplier,rank_relative_dim2_loading,rank_bill_diverse_d2,rank_non_omnibus_bill_diverse_d2,rank_within_omnibus_d2
88826,17112-19,2026-05-12,raw_lop025_2d,-0.142837584018707,1.5105232000351,0.0847902521491051,-0.0905340760946274,0.850129723548889,0.818181818181818,-0.0909255045534961,0.759910785973278,0.992917554084765,Ciencia y tecnología,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime,bill:17112-19,Boletín N°17112-19,,"Establece límites al desarrollo de la inteligencia artificial, en resguardo de los derechos humanos fundamentales",,,,Ciencia y tecnología,,0.97,internal_not_external_validated,0,,rollcall_with_project_context,0,22,59,67,7,0,81,0.271605,no_alineado: 7S/12N (36.8% S) | oficialismo: 2S/46N (4.2% S) | oposicion: 13S/1N (92.9% S),0.886905,3,Independientes: 6S/6N (50.0% S) | Partido Demócrata Cristiano: 4S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 6S/0N (100.0% S) | Partido Republicano: 0S/28N (0.0% S) | Partido de la Gente: 1S/12N (7.7% S) | Unión Demócrata Independiente: 1S/11N (8.3% S),1.0,7,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 5S/0N (100.0% S) | Comité Partido Nacional Libertarios: 6S/0N (100.0% S) | Comité Partido Republicano: 0S/31N (0.0% S) | Comité Partido de la Gente: 0S/12N (0.0% S) | Partido Por la Democracia e Independientes: 4S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 4S/0N (100.0% S) | Unión Demócrata Independiente: 2S/14N (12.5% S)",1.0,7,,,-1.0,1,1,1,
88758,17471-07,2026-05-05,raw_lop025_2d,-0.110000014305115,0.945842087268829,0.40946102142334,-0.069965235888958,0.729888081550598,0.259259259259259,-0.0700222344860892,0.475832217556381,0.989345091526256,Agua y recursos hídricos,Constitución y justicia,institucional_trayectoria,0.94,inherited_rollcall_project,institutional-hybrid-v0.3,General,Unánime,bill:17471-07,Boletín N°17471-07,,Modifica la ley N° 18.119 para tipificar los delitos de robo y receptación de medidores de agua potable,,,,Agua y recursos hídricos,Constitución y justicia,0.94,internal_not_external_validated,0,,rollcall_with_project_context,0,27,105,16,7,0,132,0.204545,no_alineado: 0S/22N (0.0% S) | oficialismo: 9S/53N (14.5% S) | oposicion: 18S/30N (37.5% S),0.375,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 5S/9N (35.7% S) | Independientes: 4S/14N (22.2% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Nacional Libertario: 0S/8N (0.0% S) | Partido Republicano: 0S/27N (0.0% S) | Partido Social Cristiano: 2S/0N (100.0% S) | Partido Socialista: 2S/5N (28.6% S) | Partido de la Gente: 0S/14N (0.0% S) | Renovación Nacional: 1S/8N (11.1% S) | Unión Demócrata Independiente: 3S/10N (23.1% S),1.0,12,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 8S/0N (100.0% S) | Comité Partido Nacional Libertarios: 0S/8N (0.0% S) | Comité Partido Republicano: 0S/30N (0.0% S) | Comité Partido de la Gente: 0S/13N (0.0% S) | Frente Amplio: 5S/11N (31.2% S) | Por definir: 2S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 3S/10N (23.1% S) | Socialista, Liberal, Radical e Independientes: 4S/7N (36.4% S) | Unión Demócrata Independiente: 4S/13N (23.5% S)",1.0,10,,,-1.0,2,2,2,
88929,18216-05,2026-05-20,raw_lop025_2d,-0.290000021457672,1.69979739189148,0.792359113693237,-0.610054969787598,0.953790247440338,0.333333333333333,-0.184604062388161,0.855130442245156,0.977482352951079,Economía y hacienda,Trabajo y seguridad social | Desarrollo social | Infraestructura y obras públicas,revision_semantica,0.91,period_project,institutional-hybrid-v0.3,Particular,Unánime,bill:18216-05,Boletín N°18216-05,,Para la reconstrucción nacional y el desarrollo económico y social,,Cámara de Diputados,,Economía y hacienda,,0.91,project_level_not_sufficient_for_omnibus_rollcall,1,Megareforma / proyecto omnibus del gobierno de Jose Antonio Kast,exact_rollcall_item,1,6,139,0,10,0,145,0.041379,no_alineado: 0S/21N (0.0% S) | oficialismo: 0S/64N (0.0% S) | oposicion: 6S/54N (10.0% S),0.1,3,Evolución Política: 0S/2N (0.0% S) | Frente Amplio: 0S/15N (0.0% S) | Independientes: 1S/23N (4.2% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 4S/3N (57.1% S) | Partido Nacional Libertario: 0S/8N (0.0% S) | Partido Por la Democracia: 0S/4N (0.0% S) | Partido Republicano: 0S/28N (0.0% S) | Partido Social Cristiano: 0S/2N (0.0% S) | Partido Socialista: 0S/8N (0.0% S) | Partido de la Gente: 0S/13N (0.0% S) | Renovación Nacional: 0S/9N (0.0% S) | Unión Demócrata Independiente: 0S/12N (0.0% S),0.571429,13,"Comité Comunista e Independientes: 0S/11N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 6S/4N (60.0% S) | Comité Partido Nacional Libertarios: 0S/8N (0.0% S) | Comité Partido Republicano: 0S/31N (0.0% S) | Comité Partido de la Gente: 0S/12N (0.0% S) | Frente Amplio: 0S/17N (0.0% S) | Partido Por la Democracia e Independientes: 0S/10N (0.0% S) | Por definir: 0S/2N (0.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/14N (0.0% S) | Socialista, Liberal, Radical e Independientes: 0S/12N (0.0% S) | Unión Demócrata Independiente: 0S/17N (0.0% S)",0.6,11,,,-1.0,3,3,,1
89038,18230-13,2026-06-03,raw_lop025_2d,0.300000011920929,-1.4294970035553,0.618052959442139,-0.125640466809273,0.907417774200439,0.5,0.190969713170119,-0.719148300067759,0.966503149418155,Trabajo y seguridad social,Economía y hacienda,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado,bill:18230-13,Boletín N°18230-13,,"Reajusta el monto del ingreso mínimo mensual, así como de la asignación familiar y maternal y del subsidio familiar",,Cámara de Diputados,,Trabajo y seguridad social,,0.97,internal_not_external_validated,0,,rollcall_with_project_context,0,132,6,11,6,0,138,0.043478,no_alineado: 21S/0N (100.0% S) | oficialismo: 67S/0N (100.0% S) | oposicion: 44S/6N (88.0% S),0.12,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 14S/0N (100.0% S) | Independientes: 22S/1N (95.7% S) | Partido Comunista: 8S/0N (100.0% S) | Partido Liberal de Chile: 0S/2N (0.0% S) | Partido Nacional Libertario: 8S/0N (100.0% S) | Partido Por la Democracia: 2S/1N (66.7% S) | Partido Republicano: 27S/0N (100.0% S) | Partido Social Cristiano: 3S/0N (100.0% S) | Partido Socialista: 7S/1N (87.5% S) | Partido de la Gente: 13S/0N (100.0% S) | Renovación Nacional: 11S/0N (100.0% S) | Unión Demócrata Independiente: 13S/0N (100.0% S),1.0,13,"Comité Comunista e Independientes: 12S/0N (100.0% S) | Comité Partido Nacional Libertarios: 8S/0N (100.0% S) | Comité Partido Republicano: 30S/0N (100.0% S) | Comité Partido de la Gente: 12S/0N (100.0% S) | Frente Amplio: 16S/0N (100.0% S) | Partido Por la Democracia e Independientes: 8S/1N (88.9% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 16S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 8S/5N (61.5% S) | Unión Demócrata Independiente: 18S/0N (100.0% S)",0.384615,10,,,-1.0,4,4,3,
89865,18189-14,2026-08-19,raw_lop025_2d,-0.172947108745575,0.716759443283081,-0.516564011573792,0.0322788134217262,0.796099841594696,0.816326530612245,-0.110092194794476,0.360585810192362,0.956415890236817,Vivienda y territorio,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,Particular,Aprobado,bill:18189-14,Boletín N°18189-14,,"Modifica la ley N° 20.898, con el objeto de ampliar el régimen excepcional de regularización de viviendas y actualizar la fecha de su aplicación",,Cámara de Diputados,,Vivienda y territorio,,0.97,internal_not_external_validated,0,,rollcall_with_project_context,0,67,49,8,31,0,116,0.422414,no_alineado: 6S/11N (35.3% S) | oficialismo: 14S/38N (26.9% S) | oposicion: 47S/0N (100.0% S),0.730769,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 7S/0N (100.0% S) | Independientes: 13S/4N (76.5% S) | Partido Comunista: 8S/0N (100.0% S) | Partido Demócrata Cristiano: 6S/0N (100.0% S) | Partido Nacional Libertario: 6S/0N (100.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 0S/25N (0.0% S) | Partido Socialista: 8S/0N (100.0% S) | Partido de la Gente: 0S/11N (0.0% S) | Renovación Nacional: 8S/0N (100.0% S) | Unión Demócrata Independiente: 1S/9N (10.0% S),1.0,12,"Comité Comunista e Independientes: 11S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 8S/0N (100.0% S) | Comité Partido Nacional Libertarios: 6S/0N (100.0% S) | Comité Partido Republicano: 0S/28N (0.0% S) | Comité Partido de la Gente: 0S/10N (0.0% S) | Frente Amplio: 9S/0N (100.0% S) | Partido Por la Democracia e Independientes: 8S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 12S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 11S/0N (100.0% S) | Unión Demócrata Independiente: 2S/10N (16.7% S)",1.0,10,,,-1.0,5,5,4,
88493,18137-05,2026-03-24,raw_lop025_2d,0.267013281583786,0.883914768695831,0.211464002728462,0.0597460493445396,0.917636811733246,1,0.169971492568166,0.444677954365368,0.934088569837701,Minería y energía,Economía y hacienda,revision_semantica,0.98,period_project,institutional-hybrid-v0.3,Particular,Aprobado,bill:18137-05,Boletín N°18137-05,,"Adopta medidas transitorias para contener el precio del kerosene doméstico en el contexto de la emergencia energética internacional, y otras medidas que indica",,Cámara de Diputados,,Minería y energía,,0.98,internal_not_external_validated,0,,rollcall_with_project_context,0,92,51,6,6,0,143,0.356643,no_alineado: 7S/13N (35.0% S) | oficialismo: 66S/0N (100.0% S) | oposicion: 19S/38N (33.3% S),0.666667,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 0S/14N (0.0% S) | Independientes: 19S/6N (76.0% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 5S/0N (100.0% S) | Partido Nacional Libertario: 7S/0N (100.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 28S/0N (100.0% S) | Partido Social Cristiano: 3S/0N (100.0% S) | Partido Socialista: 0S/9N (0.0% S) | Partido de la Gente: 0S/13N (0.0% S) | Renovación Nacional: 10S/0N (100.0% S) | Unión Demócrata Independiente: 12S/0N (100.0% S),1.0,13,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 8S/0N (100.0% S) | Comité Partido Nacional Libertarios: 7S/0N (100.0% S) | Comité Partido Republicano: 31S/0N (100.0% S) | Comité Partido de la Gente: 0S/13N (0.0% S) | Frente Amplio: 0S/16N (0.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 15S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 1S/10N (9.1% S) | Unión Demócrata Independiente: 17S/0N (100.0% S)",1.0,11,,,-1.0,6,6,5,
89390,16836-06,2026-07-13,raw_lop025_2d,0.247541949152946,0.812012672424316,0.238031879067421,0.029231172055006,0.881707012653351,0.979591836734694,0.157576710496165,0.408505601309457,0.932993786964725,Gobierno interior y descentralización,,institucional_destinacion,0.97,inherited_rollcall_project,institutional-hybrid-v0.3,Única,Aprobado,bill:16836-06,Boletín N°16836-06,,Modifica la ley N° 21.325 para perfeccionar el procedimiento de expulsión administrativa,,,,Gobierno interior y descentralización,,0.97,internal_not_external_validated,0,,rollcall_with_project_context,0,90,49,0,16,0,139,0.352518,no_alineado: 7S/12N (36.8% S) | oficialismo: 62S/1N (98.4% S) | oposicion: 21S/36N (36.8% S),0.615706,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 0S/13N (0.0% S) | Independientes: 16S/6N (72.7% S) | Partido Comunista: 0S/6N (0.0% S) | Partido Cristiano de Chile: 2S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 6S/0N (100.0% S) | Partido Por la Democracia: 3S/0N (100.0% S) | Partido Republicano: 28S/0N (100.0% S) | Partido Socialista: 0S/10N (0.0% S) | Partido de la Gente: 1S/12N (7.7% S) | Renovación Nacional: 8S/1N (88.9% S) | Unión Demócrata Independiente: 11S/0N (100.0% S),1.0,14,"Comité Comunista e Independientes: 0S/10N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 9S/0N (100.0% S) | Comité Partido Nacional Libertarios: 6S/0N (100.0% S) | Comité Partido Republicano: 31S/0N (100.0% S) | Comité Partido de la Gente: 0S/12N (0.0% S) | Frente Amplio: 0S/15N (0.0% S) | Partido Por la Democracia e Independientes: 8S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 13S/1N (92.9% S) | Socialista, Liberal, Radical e Independientes: 4S/11N (26.7% S) | Unión Demócrata Independiente: 15S/0N (100.0% S)",1.0,11,,,-1.0,7,7,6,
88680,18156-04,2026-04-21,raw_lop025_2d,0.258011281490326,0.843384027481079,0.371721088886261,0.0869999825954437,0.906660497188568,0.953488372093023,0.164241128209852,0.424287835622494,0.932567598283242,Educación,,institucional_destinacion,0.97,period_project,institutional-hybrid-v0.3,General,Aprobado,bill:18156-04,Boletín N°18156-04,,"Establece medidas de seguridad, orden y respeto para la comunidad educativa",,Cámara de Diputados,,Educación,,0.97,internal_not_external_validated,0,,rollcall_with_project_context,0,103,43,3,6,0,146,0.294521,no_alineado: 10S/12N (45.5% S) | oficialismo: 66S/0N (100.0% S) | oposicion: 27S/31N (46.6% S),0.545455,3,Evolución Política: 2S/0N (100.0% S) | Frente Amplio: 1S/12N (7.7% S) | Independientes: 20S/5N (80.0% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 8S/0N (100.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 27S/0N (100.0% S) | Partido Social Cristiano: 3S/0N (100.0% S) | Partido Socialista: 1S/5N (16.7% S) | Partido de la Gente: 2S/12N (14.3% S) | Renovación Nacional: 10S/0N (100.0% S) | Unión Demócrata Independiente: 13S/0N (100.0% S),1.0,14,"Comité Comunista e Independientes: 0S/12N (0.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 8S/0N (100.0% S) | Comité Partido Republicano: 30S/0N (100.0% S) | Comité Partido de la Gente: 1S/12N (7.7% S) | Frente Amplio: 2S/13N (13.3% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 3S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 15S/0N (100.0% S) | Socialista, Liberal, Radical e Independientes: 5S/6N (45.5% S) | Unión Demócrata Independiente: 18S/0N (100.0% S)",1.0,11,,,-1.0,8,8,7,
89933,17662-07,2026-09-01,raw_lop025_2d,-0.218859538435936,0.601608395576477,0.194730713963509,-0.0442948676645756,0.803257048130035,0.857142857142857,-0.139318472062833,0.302655867000269,0.908380147235525,Seguridad,Constitución y justicia,institucional_trayectoria,0.94,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Unánime,bill:17662-07,Boletín N°17662-07,,Aumenta sanciones aplicables al delito de atentado contra la autoridad cometido contra miembros de las Fuerzas de Orden y Seguridad Pública,,,,Seguridad,Constitución y justicia,0.94,internal_not_external_validated,0,,rollcall_with_project_context,0,49,92,3,11,0,141,0.347518,no_alineado: 0S/21N (0.0% S) | oficialismo: 0S/59N (0.0% S) | oposicion: 49S/12N (80.3% S),0.803279,3,Evolución Política: 0S/2N (0.0% S) | Frente Amplio: 12S/0N (100.0% S) | Independientes: 12S/9N (57.1% S) | Partido Comunista: 0S/8N (0.0% S) | Partido Cristiano de Chile: 0S/2N (0.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 0S/7N (0.0% S) | Partido Por la Democracia: 4S/0N (100.0% S) | Partido Republicano: 0S/27N (0.0% S) | Partido Socialista: 10S/0N (100.0% S) | Partido de la Gente: 0S/14N (0.0% S) | Renovación Nacional: 0S/10N (0.0% S) | Unión Demócrata Independiente: 0S/12N (0.0% S),1.0,14,"Comité Comunista e Independientes: 1S/11N (8.3% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 9S/1N (90.0% S) | Comité Partido Nacional Libertarios: 0S/7N (0.0% S) | Comité Partido Republicano: 0S/29N (0.0% S) | Comité Partido de la Gente: 0S/13N (0.0% S) | Frente Amplio: 14S/0N (100.0% S) | Partido Por la Democracia e Independientes: 10S/0N (100.0% S) | Por definir: 0S/2N (0.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/14N (0.0% S) | Socialista, Liberal, Radical e Independientes: 15S/0N (100.0% S) | Unión Demócrata Independiente: 0S/14N (0.0% S)",1.0,11,,,-1.0,9,9,8,
89157,16857-07,2026-06-16,raw_lop025_2d,-0.199479088187218,0.536229848861694,-0.187817230820656,0.14533457159996,0.818269550800323,0.703703703703704,-0.126981542469373,0.269765367325277,0.904775882519271,Seguridad,Constitución y justicia,institucional_trayectoria,0.94,inherited_rollcall_project,institutional-hybrid-v0.3,Particular,Unánime,bill:16857-07,Boletín N°16857-07,,"Modifica el Código Penal para autorizar el uso de agentes encubiertos en Internet para la persecución de delitos sexuales contra niños, niñas y adolescentes",,,,Seguridad,Constitución y justicia,0.94,internal_not_external_validated,0,,rollcall_with_project_context,0,62,27,58,8,0,89,0.303371,no_alineado: 4S/13N (23.5% S) | oficialismo: 3S/14N (17.6% S) | oposicion: 55S/0N (100.0% S),0.823529,3,Evolución Política: 0S/2N (0.0% S) | Frente Amplio: 14S/0N (100.0% S) | Independientes: 11S/3N (78.6% S) | Partido Comunista: 7S/0N (100.0% S) | Partido Demócrata Cristiano: 7S/0N (100.0% S) | Partido Liberal de Chile: 2S/0N (100.0% S) | Partido Nacional Libertario: 4S/0N (100.0% S) | Partido Por la Democracia: 3S/0N (100.0% S) | Partido Socialista: 10S/0N (100.0% S) | Partido de la Gente: 0S/13N (0.0% S) | Renovación Nacional: 0S/5N (0.0% S) | Unión Demócrata Independiente: 1S/3N (25.0% S),1.0,12,"Comité Comunista e Independientes: 10S/0N (100.0% S) | Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes: 10S/0N (100.0% S) | Comité Partido Nacional Libertarios: 4S/0N (100.0% S) | Comité Partido de la Gente: 0S/12N (0.0% S) | Frente Amplio: 16S/0N (100.0% S) | Partido Por la Democracia e Independientes: 4S/0N (100.0% S) | Renovación Nacional, Evopoli e Independientes: 0S/10N (0.0% S) | Socialista, Liberal, Radical e Independientes: 15S/0N (100.0% S) | Unión Demócrata Independiente: 3S/4N (42.9% S)",1.0,9,,,-1.0,11,10,9,
