"replicate","status","sampled_clusters","unique_clusters","sampled_rollcalls","estimated_members","sign_flipped","correlation_to_baseline","error"
1,"PASS",55,39,277,154,FALSE,0.993315877414019,""
2,"PASS",55,38,275,154,FALSE,0.986620714047234,""
3,"PASS",55,36,222,153,FALSE,0.989545603216158,""
4,"PASS",55,36,416,154,FALSE,0.998518844683918,""
5,"PASS",55,31,273,154,FALSE,0.998604356055937,""
6,"PASS",55,34,217,153,FALSE,0.992206397041109,""
7,"PASS",55,28,314,154,FALSE,0.989681518684915,""
8,"PASS",55,35,139,153,FALSE,0.974333956454604,""
9,"PASS",55,32,139,153,FALSE,0.989265163111442,""
10,"PASS",55,32,156,153,FALSE,0.974053800768988,""
11,"PASS",55,31,251,154,FALSE,0.982664534480086,""
12,"PASS",55,36,233,154,FALSE,0.988969699090381,""
13,"PASS",55,33,274,154,FALSE,0.997124629515785,""
14,"PASS",55,36,222,153,FALSE,0.985611461712591,""
15,"PASS",55,35,281,154,FALSE,0.997553873793156,""
16,"PASS",55,36,249,154,FALSE,0.996103435099777,""
17,"PASS",55,38,220,153,FALSE,0.972835657500029,""
18,"PASS",55,37,273,154,FALSE,0.98127272818686,""
19,"PASS",55,33,160,153,FALSE,0.964439880641941,""
20,"PASS",55,33,248,154,FALSE,0.983733089584919,""
21,"PASS",55,35,163,153,FALSE,0.991837977759176,""
22,"PASS",55,34,151,153,FALSE,0.98850772331674,""
23,"PASS",55,35,195,153,FALSE,0.988055128559918,""
24,"PASS",55,36,272,154,FALSE,0.998578065941462,""
25,"PASS",55,36,153,153,FALSE,0.972961113761145,""
26,"PASS",55,34,313,154,FALSE,0.988057062417697,""
27,"PASS",55,33,292,154,FALSE,0.976345237698778,""
28,"PASS",55,33,283,154,FALSE,0.982368722177618,""
29,"PASS",55,36,403,154,FALSE,0.994947274335588,""
30,"PASS",55,32,123,153,FALSE,0.993354962865096,""
31,"PASS",55,36,269,154,FALSE,0.997646151403678,""
32,"PASS",55,38,287,154,FALSE,0.998915871372033,""
33,"PASS",55,35,250,154,FALSE,0.989977703425255,""
34,"PASS",55,35,405,154,FALSE,0.986841235969151,""
35,"PASS",55,32,295,154,FALSE,0.983739128932831,""
36,"PASS",55,35,222,154,FALSE,0.981028013572159,""
37,"PASS",55,33,413,154,FALSE,0.998765131538545,""
38,"PASS",55,32,201,153,FALSE,0.966213484384515,""
39,"PASS",55,33,544,154,FALSE,0.996466934741035,""
40,"PASS",55,37,478,154,FALSE,0.997680715379891,""
41,"PASS",55,35,232,154,FALSE,0.983185380595904,""
42,"PASS",55,34,128,153,FALSE,0.989147234672764,""
43,"PASS",55,34,380,154,FALSE,0.9984744626961,""
44,"PASS",55,34,437,154,FALSE,0.99625288992789,""
45,"PASS",55,34,112,153,FALSE,0.957298424393734,""
46,"PASS",55,34,263,154,FALSE,0.983849203330699,""
47,"PASS",55,35,173,153,FALSE,0.990333611483175,""
48,"PASS",55,34,143,153,FALSE,0.982767762939916,""
49,"PASS",55,37,230,154,FALSE,0.986476016264747,""
50,"PASS",55,39,264,154,FALSE,0.998592841727323,""
51,"PASS",55,36,152,153,FALSE,0.985264557563351,""
52,"PASS",55,35,513,154,FALSE,0.998153108359372,""
53,"PASS",55,37,235,154,FALSE,0.992251994353044,""
54,"PASS",55,35,369,154,FALSE,0.986980400503626,""
55,"PASS",55,37,392,154,FALSE,0.987904645231492,""
56,"PASS",55,31,587,154,FALSE,0.995536515711968,""
57,"PASS",55,37,246,154,FALSE,0.993998092936252,""
58,"PASS",55,36,154,153,FALSE,0.995225621273527,""
59,"PASS",55,35,236,153,FALSE,0.987813582977227,""
60,"PASS",55,34,191,153,FALSE,0.982239636379763,""
61,"PASS",55,35,277,154,FALSE,0.992815490204554,""
62,"PASS",55,37,247,154,FALSE,0.98087849204085,""
63,"PASS",55,37,495,154,FALSE,0.984244973684928,""
64,"PASS",55,29,352,154,FALSE,0.984227896539401,""
65,"PASS",55,37,293,154,FALSE,0.99860434394825,""
66,"PASS",55,35,251,154,FALSE,0.977301587102255,""
67,"PASS",55,36,488,154,FALSE,0.98482417697736,""
68,"PASS",55,38,273,154,FALSE,0.998220199654448,""
69,"PASS",55,31,247,154,FALSE,0.989864538415735,""
70,"PASS",55,35,163,153,FALSE,0.976274535609427,""
71,"PASS",55,33,265,154,FALSE,0.981734607357257,""
72,"PASS",55,34,125,153,FALSE,0.991856529435225,""
73,"PASS",55,36,250,154,FALSE,0.988617320268168,""
74,"PASS",55,35,313,154,FALSE,0.985964040732558,""
75,"PASS",55,35,273,154,FALSE,0.98691502161751,""
76,"PASS",55,32,266,154,FALSE,0.997577066878522,""
77,"PASS",55,36,378,154,FALSE,0.996623913943465,""
78,"PASS",55,33,199,153,FALSE,0.988359475629661,""
79,"PASS",55,36,242,154,FALSE,0.99521231094724,""
80,"PASS",55,33,378,154,FALSE,0.988429712858542,""
81,"PASS",55,36,252,153,FALSE,0.981233762865073,""
82,"PASS",55,34,166,153,FALSE,0.990819826642566,""
83,"PASS",55,33,623,154,FALSE,0.985365132328792,""
84,"PASS",55,33,272,154,FALSE,0.99670031248408,""
85,"PASS",55,35,277,154,FALSE,0.981334638831554,""
86,"PASS",55,33,365,154,FALSE,0.986212924656059,""
87,"PASS",55,34,413,154,FALSE,0.983887499471275,""
88,"PASS",55,37,249,154,FALSE,0.998647846644467,""
89,"PASS",55,31,152,153,FALSE,0.976349419028226,""
90,"PASS",55,36,195,153,FALSE,0.995151507179317,""
91,"PASS",55,30,191,153,FALSE,0.969821918057417,""
92,"PASS",55,35,280,154,FALSE,0.992800981006993,""
93,"PASS",55,35,249,154,FALSE,0.991571399655267,""
94,"PASS",55,33,130,153,FALSE,0.967955491059033,""
95,"PASS",55,32,475,154,FALSE,0.983560033761923,""
96,"PASS",55,34,120,153,FALSE,0.964925541730586,""
97,"PASS",55,35,237,154,FALSE,0.995152399436225,""
98,"PASS",55,38,280,154,FALSE,0.999421014345147,""
99,"PASS",55,33,297,154,FALSE,0.998883994734181,""
100,"PASS",55,34,286,154,FALSE,0.997392482892302,""
101,"PASS",55,36,493,154,FALSE,0.989021546760554,""
102,"PASS",55,32,601,154,FALSE,0.988961119102812,""
103,"PASS",55,37,140,153,FALSE,0.982605622866519,""
104,"PASS",55,38,329,154,FALSE,0.984316244848681,""
105,"PASS",55,42,437,154,FALSE,0.998572120680583,""
106,"PASS",55,38,302,154,FALSE,0.986035988656955,""
107,"PASS",55,39,150,153,FALSE,0.994411573963345,""
108,"PASS",55,36,162,153,FALSE,0.983772530118822,""
109,"PASS",55,34,182,153,FALSE,0.994829629198198,""
110,"PASS",55,34,196,153,FALSE,0.961875757082919,""
111,"PASS",55,37,169,153,FALSE,0.98355011104142,""
112,"PASS",55,29,167,153,FALSE,0.993221350721521,""
113,"PASS",55,36,300,154,FALSE,0.980954864722077,""
114,"PASS",55,36,360,154,FALSE,0.997086622844871,""
115,"PASS",55,33,425,154,FALSE,0.998646111280884,""
116,"PASS",55,36,432,154,FALSE,0.999234225547024,""
117,"PASS",55,33,586,154,FALSE,0.982702512336851,""
118,"PASS",55,32,261,154,FALSE,0.994814622404072,""
119,"PASS",55,39,290,154,FALSE,0.998753081587381,""
120,"PASS",55,36,446,154,FALSE,0.998761170809903,""
121,"PASS",55,34,169,153,FALSE,0.986690823803649,""
122,"PASS",55,35,235,154,FALSE,0.987515186218348,""
123,"PASS",55,34,265,154,FALSE,0.998580651883378,""
124,"PASS",55,32,120,153,FALSE,0.979680043159119,""
125,"PASS",55,40,352,154,FALSE,0.985396808016384,""
126,"PASS",55,35,380,154,FALSE,0.998961744988256,""
127,"PASS",55,36,280,154,FALSE,0.99533450588558,""
128,"PASS",55,36,309,154,FALSE,0.998283863799413,""
129,"PASS",55,38,128,153,FALSE,0.979656626299666,""
130,"PASS",55,36,158,153,FALSE,0.95250135649043,""
131,"PASS",55,35,283,154,FALSE,0.986684202873224,""
132,"PASS",55,35,346,154,FALSE,0.998938733722547,""
133,"PASS",55,38,277,154,FALSE,0.989275937352672,""
134,"PASS",55,34,229,153,FALSE,0.994521054846496,""
135,"PASS",55,33,268,154,FALSE,0.999514820502777,""
136,"PASS",55,31,96,153,FALSE,0.973302860407106,""
137,"PASS",55,34,705,154,FALSE,0.985695228298153,""
138,"PASS",55,31,407,154,FALSE,0.995573732593207,""
139,"PASS",55,34,207,153,FALSE,0.979768991097063,""
140,"PASS",55,36,247,154,FALSE,0.984785586272642,""
141,"PASS",55,41,393,154,FALSE,0.985775505308199,""
142,"PASS",55,34,227,154,FALSE,0.993465026898757,""
143,"PASS",55,38,218,153,FALSE,0.995599860825279,""
144,"PASS",55,34,193,153,FALSE,0.990820931056337,""
145,"PASS",55,32,398,154,FALSE,0.987317818990251,""
146,"PASS",55,34,308,154,FALSE,0.996915122800162,""
147,"PASS",55,37,294,154,FALSE,0.983731249297174,""
148,"PASS",55,37,396,154,FALSE,0.993143215894114,""
149,"PASS",55,35,160,153,FALSE,0.991350106797831,""
150,"PASS",55,34,259,154,FALSE,0.982958801794608,""
151,"PASS",55,37,297,154,FALSE,0.999492219593313,""
152,"PASS",55,33,203,153,FALSE,0.974038239260942,""
153,"PASS",55,37,154,153,FALSE,0.992126196893824,""
154,"PASS",55,37,212,154,FALSE,0.995221559040839,""
155,"PASS",55,32,246,154,FALSE,0.998678362648755,""
156,"PASS",55,39,247,154,FALSE,0.989818242165495,""
157,"PASS",55,34,212,153,FALSE,0.990201762189992,""
158,"PASS",55,38,238,154,FALSE,0.998981887160647,""
159,"PASS",55,34,279,154,FALSE,0.999074039703671,""
160,"PASS",55,35,175,153,FALSE,0.96972297952331,""
161,"PASS",55,37,114,153,FALSE,0.984118157998616,""
162,"PASS",55,32,386,154,FALSE,0.983414170406639,""
163,"PASS",55,35,358,154,FALSE,0.987019163912761,""
164,"PASS",55,35,178,153,FALSE,0.992314965840826,""
165,"PASS",55,35,125,153,FALSE,0.98500534259513,""
166,"PASS",55,37,148,153,FALSE,0.972277457370651,""
167,"PASS",55,35,358,154,FALSE,0.996609733599843,""
168,"PASS",55,36,212,153,FALSE,0.981541089566725,""
169,"PASS",55,35,267,154,FALSE,0.984383593379401,""
170,"PASS",55,38,503,154,FALSE,0.997842807889439,""
171,"PASS",55,33,104,153,FALSE,0.984062687342632,""
172,"PASS",55,31,206,153,FALSE,0.94676413903094,""
173,"PASS",55,33,396,154,FALSE,0.985304549603321,""
174,"PASS",55,35,161,153,FALSE,0.994619955628108,""
175,"PASS",55,34,97,153,FALSE,0.969938837050619,""
176,"PASS",55,37,183,153,FALSE,0.990719087919813,""
177,"PASS",55,37,326,154,FALSE,0.993788168054898,""
178,"PASS",55,35,283,154,FALSE,0.979912035401874,""
179,"PASS",55,35,175,153,FALSE,0.991710892586399,""
180,"PASS",55,33,376,154,FALSE,0.992735268776249,""
181,"PASS",55,38,327,154,FALSE,0.985480550545044,""
182,"PASS",55,32,149,153,FALSE,0.984552020186353,""
183,"PASS",55,36,162,153,FALSE,0.973622198462172,""
184,"PASS",55,34,256,154,FALSE,0.998828553665948,""
185,"PASS",55,36,363,154,FALSE,0.987384847653856,""
186,"PASS",55,31,183,153,FALSE,0.988887403890168,""
187,"PASS",55,37,251,154,FALSE,0.99892546832016,""
188,"PASS",55,36,273,154,FALSE,0.99261802810874,""
189,"PASS",55,37,149,153,FALSE,0.969134048187247,""
190,"PASS",55,36,185,153,FALSE,0.989045291580978,""
191,"PASS",55,34,167,153,FALSE,0.981747065851639,""
192,"PASS",55,35,363,154,FALSE,0.984074160159908,""
193,"PASS",55,34,327,154,FALSE,0.998081227784252,""
194,"PASS",55,38,300,154,FALSE,0.993629533929282,""
195,"PASS",55,34,187,153,FALSE,0.977283501776566,""
196,"PASS",55,32,156,153,FALSE,0.976398654996206,""
197,"PASS",55,37,384,154,FALSE,0.99906682982014,""
198,"PASS",55,34,410,154,FALSE,0.98348300593226,""
199,"PASS",55,39,284,154,FALSE,0.998244922078785,""
200,"PASS",55,38,411,154,FALSE,0.988388161846849,""
