"spec_a","spec_b","n_common","pearson","spearman"
"raw_lop025","raw_lop050",154,0.999576644959511,0.998316716855377
"raw_lop025","raw_lop100",154,0.997018073333733,0.986810465980637
"raw_lop025","dedup_lop025",154,0.999978465926605,0.999696863149731
"raw_lop025","cap20_balanced_lop025",154,0.994951731514875,0.982693440678195
"raw_lop025","cap10_balanced_lop025",153,0.994172402783315,0.982938957442057
"raw_lop050","raw_lop100",154,0.997572789963867,0.990577903420621
"raw_lop050","dedup_lop025",154,0.999593895955681,0.998582887546375
"raw_lop050","cap20_balanced_lop025",154,0.994366102216372,0.980106355518099
"raw_lop050","cap10_balanced_lop025",153,0.994431618762877,0.980112211488751
"raw_lop100","dedup_lop025",154,0.99719761305374,0.987485756984316
"raw_lop100","cap20_balanced_lop025",154,0.990548164977337,0.966899197249106
"raw_lop100","cap10_balanced_lop025",153,0.991035717290417,0.965482777433104
"dedup_lop025","cap20_balanced_lop025",154,0.994928832541853,0.981957128968996
"dedup_lop025","cap10_balanced_lop025",153,0.994315573815262,0.982344145707717
"cap20_balanced_lop025","cap10_balanced_lop025",153,0.999019730653544,0.999017904374769
