"diputado_id","diputado_nombre","dimension_1_z_early","rank_aligned_early","binary_votes_selected_early","dimension_1_z_late","rank_aligned_late","binary_votes_selected_late","comparison","delta_z_late_minus_early","abs_delta_z","rank_change_late_minus_early","abs_rank_change"
"1234","Mario Olavarría Rodríguez",-1.68455043013152,2,120,-0.571632608259318,58,103,"raw_halves",1.1129178218722,1.1129178218722,56,56
"1082","Cristóbal Urruticoechea Ríos",-1.30002942951639,8,127,-0.700994824052367,40,112,"raw_halves",0.599034605464023,0.599034605464023,32,32
"1212","Erich Grohs Marín",-1.30104617789493,3,138,-0.706929860324515,36,126,"raw_halves",0.594116317570411,0.594116317570411,33,33
"1215","Álvaro Jofré Cáceres",-1.30104617789493,4,138,-0.718754503119921,35,137,"raw_halves",0.582291674775006,0.582291674775006,31,31
"1228","Paulina Muñoz Minte",-1.30104617789493,6,138,-0.731023049882354,34,136,"raw_halves",0.570023128012572,0.570023128012572,28,28
"1223","Hans Marowski Cuevas",-1.30104617789493,5,138,-0.731850675971937,33,118,"raw_halves",0.569195501922989,0.569195501922989,28,28
"1217","Pier Karlezi Hazleby",-1.30023785721081,7,136,-0.752513835669748,32,122,"raw_halves",0.547724021541066,0.547724021541066,25,25
"915","Germán Verdugo Soto",-1.09934019857372,12,134,-0.601213996466906,54,123,"raw_halves",0.498126202106817,0.498126202106817,42,42
"1202","Eduardo Cretton Rebolledo",-1.15914417067113,10,133,-0.66334383001517,45,133,"raw_halves",0.495800340655961,0.495800340655961,35,35
"1021","Andrés Celis Montt",-0.984415790124434,16,128,-0.489906669290481,73,113,"raw_halves",0.494509120833953,0.494509120833953,57,57
"1140","Daniel Lilayu Vivanco",-1.15702555466591,11,132,-0.668314615676161,44,132,"raw_halves",0.488710938989751,0.488710938989751,33,33
"1146","José Carlos Meza Pereira",-0.891484717776077,50,130,-1.37890583506407,2,119,"raw_halves",-0.487421117287989,0.487421117287989,-48,48
"1218","José Antonio Kast Adriasola",-0.914258799254571,48,137,-1.37889594445453,12,133,"raw_halves",-0.464637145199958,0.464637145199958,-36,36
"1214","Constanza Hube Portus",-1.16018787000965,9,131,-0.697317696591358,41,133,"raw_halves",0.462870173418297,0.462870173418297,32,32
"1220","Leandro Kunstmann Collado",-0.919125788831982,46,137,-1.37889594445453,13,133,"raw_halves",-0.459770155622547,0.459770155622547,-33,33
"1245","Alejandro Riquelme Ducci",-0.920575625610012,39,138,-1.37890583506407,8,124,"raw_halves",-0.458330209454053,0.458330209454053,-31,31
"1221","Benjamín Lorca Inzunza",-0.920575625610012,37,138,-1.37890583506407,6,130,"raw_halves",-0.458330209454053,0.458330209454053,-31,31
"1225","Cristian Menchaca Pinochet",-0.920575625610012,38,138,-1.37890583506407,7,122,"raw_halves",-0.458330209454053,0.458330209454053,-31,31
"1190","Enrique Bassaletti Riess",-0.920575625610012,32,138,-1.37890583506407,4,133,"raw_halves",-0.458330209454053,0.458330209454053,-28,28
"1191","Valentina Becerra Peña",-0.920575625610012,33,138,-1.37890583506407,5,126,"raw_halves",-0.458330209454053,0.458330209454053,-28,28
"1100","Cristián Araya Lerdo de Tejada",-0.920575625610012,27,138,-1.37890583506407,1,130,"raw_halves",-0.458330209454053,0.458330209454053,-26,26
"1150","Benjamín Moreno Bascur",-0.920575625610012,28,138,-1.37890583506407,3,133,"raw_halves",-0.458330209454053,0.458330209454053,-25,25
"1165","Agustín Romero Leiva",-0.920575625610012,29,138,-1.37890415868957,10,132,"raw_halves",-0.458328533079555,0.458328533079555,-19,19
