"group_type","group","n_members","mean_dim1","median_dim1","mean_dim2","median_dim2","sd_dim1","sd_dim2"
"party","Evolución Política",2,-0.755571663379669,-0.755571663379669,-0.130228412570432,-0.130228412570432,0.0368993972838941,0.190656688731057
"party","Federación Regionalista Verde Social",1,0.214790597558022,0.214790597558022,-0.955464482307434,-0.955464482307434,NA,NA
"party","Frente Amplio",15,0.742065771420797,0.752974689006805,0.0400576623467108,0.0540733672678471,0.0383628414444482,0.0632079278126443
"party","Independientes",25,-0.0337449890375138,0.289221972227097,-0.0641245317459106,-0.0825787633657455,0.70404846109151,0.302147912968582
"party","Partido Acción Humanista",1,0.902743875980377,0.902743875980377,0.4066241979599,0.4066241979599,NA,NA
"party","Partido Comunista",8,0.930720932781697,0.931100606918335,0.36176323890686,0.361688360571861,0.0208436321369503,0.0535136976387409
"party","Partido de la Gente",14,-0.0650655749653068,-0.0683161206543446,0.769702890621764,0.845634788274765,0.201358074996003,0.279428916623024
"party","Partido Demócrata Cristiano",7,0.258198870079858,0.247471153736115,-0.820833163602012,-0.809753179550171,0.0427638592358845,0.0404220755920392
"party","Partido Demócratas Chile",1,-0.695723831653595,-0.695723831653595,0.111542880535126,0.111542880535126,NA,NA
"party","Partido Liberal de Chile",2,0.30551415681839,0.30551415681839,-0.304894044995308,-0.304894044995308,0.0564772406199316,0.0566265879776303
"party","Partido Nacional Libertario",8,-0.92810196429491,-0.943514496088028,-0.328076241537929,-0.327188581228256,0.0307811850813151,0.0899916290405205
"party","Partido Por la Democracia",4,0.420764096081257,0.403153255581856,-0.161961037665605,-0.157608732581138,0.038553907941781,0.0710654586714611
"party","Partido Radical de Chile",1,0.337684094905853,0.337684094905853,-0.182344928383827,-0.182344928383827,NA,NA
"party","Partido Republicano",28,-0.98453651368618,-0.987426042556763,0.161666807851621,0.158081755042076,0.00898808792709984,0.0232586083592824
"party","Partido Social Cristiano",3,-0.713177422682444,-0.724715232849121,-0.0773100915054481,-0.0616929642856121,0.0230951795522136,0.0357545979052783
"party","Partido Socialista",10,0.626303827762604,0.609756052494049,0.0351231925189496,0.0394425168633461,0.0763752170097741,0.0922875200878064
"party","Renovación Nacional",11,-0.769505099816756,-0.762457489967346,-0.171537193046375,-0.226712360978127,0.03694505900524,0.140881972431916
"party","Unión Demócrata Independiente",13,-0.861336075342619,-0.868340373039246,-0.120467815727282,-0.123934552073479,0.0405453209695938,0.10626021507326
"caucus","Comité Comunista e Independientes",12,0.915873994429906,0.913989424705506,0.38932845244805,0.40573787689209,0.0377384709811465,0.0729134039006145
"caucus","Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",10,0.24802979528904,0.23933295160532,-0.807642483711243,-0.804164409637451,0.0392821968470197,0.0855450001123792
"caucus","Comité Partido de la Gente",13,-0.0338231617441545,-0.0658857822418213,0.832664984923143,0.896893203258514,0.170645314637522,0.156406986406744
"caucus","Comité Partido Nacional Libertarios",8,-0.92810196429491,-0.943514496088028,-0.328076241537929,-0.327188581228256,0.0307811850813151,0.0899916290405205
"caucus","Comité Partido Republicano",31,-0.984766596747983,-0.987426042556763,0.161613814292415,0.158081755042076,0.00856316114865213,0.0221567475838183
"caucus","Frente Amplio",17,0.738231490640079,0.752231001853943,0.045702655279242,0.0540733672678471,0.0375404015134734,0.0627258728263515
"caucus","Fuera del Comité Partido de la Gente",1,-0.471216946840286,-0.471216946840286,-0.048804335296154,-0.048804335296154,NA,NA
"caucus","Partido Por la Democracia e Independientes",10,0.385290241241455,0.384921088814736,-0.136219891160726,-0.127775982022285,0.0479035823477635,0.061180524670057
"caucus","Por definir",3,-0.713177422682444,-0.724715232849121,-0.0773100915054481,-0.0616929642856121,0.0230951795522136,0.0357545979052783
"caucus","Renovación Nacional, Evopoli e Independientes",16,-0.77045875415206,-0.763183683156967,-0.155278234189609,-0.18549183011055,0.0454233933268326,0.148891325988662
"caucus","Socialista, Liberal, Radical e Independientes",15,0.540517737468084,0.589642107486725,-0.0452917466560999,0.0287708416581154,0.157756062480728,0.172064499172918
"caucus","Unión Demócrata Independiente",18,-0.83384648958842,-0.858124792575836,-0.134625404995556,-0.119153406471014,0.0717474882094997,0.122265486946568
"alignment","no_alineado",22,-0.378896989266981,-0.163003958761692,0.370510478927331,0.622270822525025,0.45385068687127,0.585820043704029
"alignment","oficialismo",68,-0.882409906562637,-0.891792327165604,-0.00190604512360605,0.0408835597336293,0.107579171259789,0.178857519521392
"alignment","oposicion",64,0.59345921408385,0.634564995765686,-0.0729548965537106,0.0097180928569287,0.242129822540984,0.375614931288495
