"diputado_id","diputado_nombre","modal_party","modal_caucus","modal_alignment","specs_estimated","baseline_d1","baseline_d2","max_euclidean_shift","mean_euclidean_shift"
"1021","Andrés Celis Montt","Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.762457489967346,-0.291605323553085,0.799168010561485,0.272974416290925
"1075","Diego Schalper Sepúlveda","Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.809112787246704,-0.347766518592834,0.768997136746648,0.263690476276594
"1227","Claudia Mora Vega","Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.751391232013702,-0.300608843564987,0.768442820515197,0.261351960875932
"1152","Gloria Naveillan Arriagada","Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado",3,-0.869329452514648,-0.494233191013336,0.742443525691054,0.253060512249952
"1059","Ximena Ossandón Irarrázabal","Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.772171497344971,-0.255569875240326,0.708434970090708,0.246853306350122
"1242","Rodrigo Ramírez Parra","Independientes","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.787416160106659,-0.304357379674911,0.683800235106328,0.235497070181229
"1132","Jorge Guzmán Zepeda","Evolución Política","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.729479849338531,-0.265043050050735,0.665537189704728,0.228890633062826
"1202","Eduardo Cretton Rebolledo","Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo",3,-0.902981460094452,-0.273242264986038,0.557711727981934,0.203689334221599
"1140","Daniel Lilayu Vivanco","Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo",3,-0.905197262763977,-0.233091965317726,0.539031685750063,0.195034133294838
"1214","Constanza Hube Portus","Unión Demócrata Independiente","Unión Demócrata Independiente","oficialismo",3,-0.918249249458313,-0.246751040220261,0.517945170980695,0.184374475116931
"1212","Erich Grohs Marín","Partido Nacional Libertario","Comité Partido Nacional Libertarios","no_alineado",3,-0.94525533914566,-0.326331555843353,0.444339325062258,0.162489929148158
"1025","Catalina Del Real Mihovilovic","Partido Republicano","Comité Partido Republicano","oficialismo",3,-0.979868829250336,0.190834492444992,0.443144308012603,0.15429136412198
"1060","Luis Pardo Sáinz","Renovación Nacional","Renovación Nacional, Evopoli e Independientes","oficialismo",3,-0.763909876346588,-0.141075596213341,0.430655705931574,0.156110514603523
"1172","Stephan Schubert Rubio","Partido Republicano","Comité Partido Republicano","oficialismo",3,-0.973643600940704,0.218965113162994,0.425091489311448,0.149448819784674
