"diputado_id","spec_id","diputado_nombre","binary_votes_selected","dimension_1_raw","dimension_2_raw","se_1d","se_2d","gmp","correctly_classified","dimension_1_aligned","dimension_2_aligned","modal_party","modal_party_share","modal_caucus","modal_caucus_share","modal_alignment","modal_alignment_share"
"803","raw_lop025_2d","René Alinco Bustos",220,0.242598906159401,-0.642006874084473,0,0,0.628494262695312,0.809090909090909,0.242598906159401,-0.642006874084473,"Independientes",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"803","cap20_balanced_lop025_2d","René Alinco Bustos",121,0.283089011907578,-0.959093511104584,0,0,0.653160154819489,0.776859504132231,0.153748209402506,-0.876307059837909,"Independientes",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"803","raw_lop050_2d","René Alinco Bustos",215,0.2054044008255,-0.541171431541443,0,0,0.627111196517944,0.804651162790698,0.227042100602248,-0.541011165583111,"Independientes",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"815","raw_lop025_2d","Sergio Bobadilla Muñoz",267,-0.867146909236908,-0.0211293026804924,0,0,0.941782295703888,0.9812734082397,-0.867146909236908,-0.0211293026804924,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"815","cap20_balanced_lop025_2d","Sergio Bobadilla Muñoz",160,-0.710846722126007,-0.0852801278233528,0,0,0.909536361694336,0.95625,-0.793582361882397,-0.0770401890758935,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"815","raw_lop050_2d","Sergio Bobadilla Muñoz",260,-0.890220582485199,-0.0693150535225868,0,0,0.93981546163559,0.980769230769231,-0.875468399558114,-0.0659425841404247,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"843","raw_lop050_2d","René Manuel García García",220,-0.835867822170258,-0.133074387907982,0,0,0.91810667514801,0.972727272727273,-0.820781723450915,-0.130118162956771,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"843","raw_lop025_2d","René Manuel García García",227,-0.81772392988205,-0.126240506768227,0,0,0.92052173614502,0.973568281938326,-0.81772392988205,-0.126240506768227,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"843","cap20_balanced_lop025_2d","René Manuel García García",131,-0.716337442398071,-0.194661930203438,0,0,0.900406360626221,0.954198473282443,-0.79663962176903,-0.179565579443317,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"872","cap20_balanced_lop025_2d","Jaime Mulet Martínez",147,0.350783705711365,-0.926208317279816,0,0,0.787928521633148,0.870748299319728,0.216508276878208,-0.844224894791301,"Federación Regionalista Verde Social",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"872","raw_lop050_2d","Jaime Mulet Martínez",242,0.177117481827736,-0.980646908283234,0,0,0.756323933601379,0.867768595041322,0.198491590411985,-0.983279139478618,"Federación Regionalista Verde Social",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"872","raw_lop025_2d","Jaime Mulet Martínez",248,0.214790597558022,-0.955464482307434,0,0,0.753462672233582,0.854838709677419,0.214790597558022,-0.955464482307434,"Federación Regionalista Verde Social",1,"Comité Democracia Cristiana, Federación Regionalista Verde Social e Independientes",1,"oposicion",1
"915","cap20_balanced_lop025_2d","Germán Verdugo Soto",150,-0.779568910598755,-0.0973297581076622,0,0,0.888150870800018,0.96,-0.857701510956526,-0.0896323364004119,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"915","raw_lop025_2d","Germán Verdugo Soto",257,-0.888938307762146,-0.158647194504738,0,0,0.924264311790466,0.972762645914397,-0.888938307762146,-0.158647194504738,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"915","raw_lop050_2d","Germán Verdugo Soto",250,-0.917188405990601,-0.227647885680199,0,0,0.925524234771729,0.972,-0.902637995880388,-0.225278300547637,"Partido Nacional Libertario",1,"Comité Partido Nacional Libertarios",1,"no_alineado",1
"986","raw_lop025_2d","Marcela Hernando Pérez",212,0.337684094905853,-0.182344928383827,0,0,0.840088903903961,0.929245283018868,0.337684094905853,-0.182344928383827,"Partido Radical de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"986","cap20_balanced_lop025_2d","Marcela Hernando Pérez",142,0.466744750738144,-0.213944762945175,0,0,0.884344816207886,0.950704225352113,0.311518960779431,-0.175080197987872,"Partido Radical de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"986","raw_lop050_2d","Marcela Hernando Pérez",207,0.298546075820923,-0.0966167375445366,0,0,0.843979001045227,0.927536231884058,0.320861222532993,-0.093643961345081,"Partido Radical de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1009","raw_lop050_2d","Jorge Alessandri Vergara",244,-0.9028000831604,0.0264397747814655,0,0,0.965163469314575,0.991803278688525,-0.888109791658307,0.0304242469432737,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1009","raw_lop025_2d","Jorge Alessandri Vergara",251,-0.880603194236755,0.0699620991945267,0,0,0.967950582504272,0.99203187250996,-0.880603194236755,0.0699620991945267,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1009","cap20_balanced_lop025_2d","Jorge Alessandri Vergara",145,-0.739850282669067,-0.0460800305008888,0,0,0.955536007881165,0.986206896551724,-0.821487017030475,-0.0408873742484617,"Unión Demócrata Independiente",1,"Unión Demócrata Independiente",1,"oficialismo",1
"1012","raw_lop025_2d","Boris Barrera Moreno",267,0.94821172952652,0.317638963460922,0,0,0.971037566661835,0.98501872659176,0.94821172952652,0.317638963460922,"Partido Comunista",1,"Comité Comunista e Independientes",1,"oposicion",1
"1012","cap20_balanced_lop025_2d","Boris Barrera Moreno",160,0.969210267066956,0.246234551072121,0,0,0.962178349494934,0.99375,0.773240002450146,0.265386828302963,"Partido Comunista",1,"Comité Comunista e Independientes",1,"oposicion",1
"1012","raw_lop050_2d","Boris Barrera Moreno",263,0.943687796592712,0.330837547779083,0,0,0.972099661827087,0.988593155893536,0.970191388187844,0.336409079679771,"Partido Comunista",1,"Comité Comunista e Independientes",1,"oposicion",1
"1013","raw_lop025_2d","Alejandro Bernales Maldonado",242,0.265578716993332,-0.344935089349747,0,0,0.782537341117859,0.892561983471074,0.265578716993332,-0.344935089349747,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1013","raw_lop050_2d","Alejandro Bernales Maldonado",238,0.227789044380188,-0.270590096712112,0,0,0.780535042285919,0.890756302521008,0.249620667237653,-0.26871145796869,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1013","cap20_balanced_lop025_2d","Alejandro Bernales Maldonado",148,0.435097277164459,-0.321383595466614,0,0,0.875819623470306,0.966216216216216,0.283932536615209,-0.276284628623753,"Partido Liberal de Chile",1,"Socialista, Liberal, Radical e Independientes",1,"oposicion",1
"1015","raw_lop050_2d","Jorge Brito Hasbún",232,0.747379183769226,-0.0675258114933968,0,0,0.938240349292755,0.987068965517241,0.772557304442968,-0.0644531148457934,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1015","raw_lop025_2d","Jorge Brito Hasbún",237,0.764837205410004,-0.00829486642032862,0,0,0.935809075832367,0.987341772151899,0.764837205410004,-0.00829486642032862,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1015","cap20_balanced_lop025_2d","Jorge Brito Hasbún",134,0.978117644786835,-0.0872887447476387,0,0,0.964998245239258,0.992537313432836,0.7879350789357,-0.0467414322659624,"Frente Amplio",1,"Frente Amplio",1,"oposicion",1
"1017","cap20_balanced_lop025_2d","Álvaro Carter Fernández",148,-0.779291391372681,-0.211598500609398,0,0,0.975180089473724,1,-0.855264510386557,-0.196623762186982,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1017","raw_lop050_2d","Álvaro Carter Fernández",249,-0.982547461986542,0.170445665717125,0,0,0.980021357536316,0.991967871485944,-0.968337510490911,0.175362088420115,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1017","raw_lop025_2d","Álvaro Carter Fernández",255,-0.981794893741608,0.189905539155006,0,0,0.984250485897064,0.996078431372549,-0.981794893741608,0.189905539155006,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1021","raw_lop025_2d","Andrés Celis Montt",241,-0.762457489967346,-0.291605323553085,0,0,0.897113740444183,0.954356846473029,-0.762457489967346,-0.291605323553085,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1021","cap20_balanced_lop025_2d","Andrés Celis Montt",140,-0.744300842285156,0.536040544509888,0,0,0.895601809024811,0.964285714285714,-0.836745386967192,0.504102422710669,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1021","raw_lop050_2d","Andrés Celis Montt",235,-0.783490180969238,-0.274716824293137,0,0,0.891144275665283,0.953191489361702,-0.768097539565598,-0.272672302630232,"Renovación Nacional",1,"Renovación Nacional, Evopoli e Independientes",1,"oficialismo",1
"1025","raw_lop025_2d","Catalina Del Real Mihovilovic",227,-0.979868829250336,0.190834492444992,0,0,0.982703864574432,0.995594713656388,-0.979868829250336,0.190834492444992,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
"1025","raw_lop050_2d","Catalina Del Real Mihovilovic",222,-0.979887306690216,0.172218754887581,0,0,0.978181183338165,0.990990990990991,-0.965660082701773,0.17714596030499,"Partido Republicano",1,"Comité Partido Republicano",1,"oficialismo",1
