"topic_primary","n_rollcalls","mean_relative_dim2_loading","median_relative_dim2_loading","q75_relative_dim2_loading","share_rollcalls_dim2_loading_gt_0_50","mean_topic_confidence"
"Ciencia y tecnología",1,0.992917554084765,0.992917554084765,0.992917554084765,1,0.97
"Deportes",6,0.765638968329355,0.873698412076883,0.881020012716165,0.833333333333333,0.97
"Agua y recursos hídricos",4,0.499431073963737,0.392545466533134,0.6238869373908,0.5,0.9625
"Cultura y comunicaciones",3,0.494276607430613,0.497837713971969,0.637861515658705,0.333333333333333,0.97
"Vivienda y territorio",7,0.485516384306228,0.40583549354998,0.843925468336275,0.428571428571429,0.97
"Familia, infancia y adolescencia",1,0.459536063957407,0.459536063957407,0.459536063957407,0,0.97
"Economía, comercio y consumidores",6,0.441819028363734,0.451597150404001,0.598458972376923,0.5,0.97
"Minería y energía",15,0.431269235358486,0.378689509108314,0.439985855264466,0.2,0.971333333333333
"Constitución y justicia",2,0.4258324960433,0.4258324960433,0.462466380422283,0,0.893
"Educación",48,0.366594489396958,0.323233240785969,0.550674271206873,0.333333333333333,0.97
"Seguridad",32,0.365846578879842,0.277551753732435,0.599207121568648,0.34375,0.93215625
"Economía y hacienda",119,0.241811559602713,0.226451036452343,0.355254695431378,0.092436974789916,0.910252100840336
"Trabajo y seguridad social",9,0.219852058175457,0.130789265189216,0.1708489431002,0.111111111111111,0.97
"Gobierno interior y descentralización",12,0.204073625532627,0.10890520512454,0.242182127706046,0.166666666666667,0.97
"Cultura, patrimonio y deporte",1,0.202987964797694,0.202987964797694,0.202987964797694,0,0.97
"Medio ambiente",8,0.199548561121723,0.131708277214333,0.341195869031202,0,0.97
"Desarrollo social",2,0.0905946013914363,0.0905946013914363,0.131546815759688,0,0.97
