boletin,project_id,fecha_ingreso,origen_iniciativa,titulo,document_type,event_label,source_url,resolved_url,http_status,mime_type,extraction_method,pages_total,pages_examined,extracted_chars,text_quality,preview,error
18131-06,18794,2026-03-17,parlamentario,"Modifica la ley Nº 18.575, orgánica constitucional de Bases Generales de la Administración del Estado, para incorporar una nueva infracción al principio de probidad administrativa, relacionada con la contratación o nombramiento de personas inhabilitadas para trabajar con niños, niñas o adolescentes",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18360&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18360&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,7,7,1378,utilizable,"MOCIÓN LEGISLATURAPERIODO LEGISLATIVO BOLETÍN N° DESTINACIÓN 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- , ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERICANA 11.- SALUD 12.- MEDIO AMBIENTE Y RECURSOS NATURALES 13.- TRABAJO Y SEGURIDAD SOCIAL 14.- VIVIENDA, DESARROLLO URBANO 15.- TRANSPORTES Y TELECOMUNICACIONES 16.- RÉGIMEN INTERNO Y ADMINISTRA",
18175-02,18840,2026-04-10,parlamentario,Modifica cuerpos legales que indica en materia de protección del espacio aéreo,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18406&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18406&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,10,8,21734,rica,"PROYECTO QUE MODIFICA DISTINTOS CUERPOS LEGALES CON LA FINALIDAD DE MODERNIZAR LA INSTITUCIONALIDAD Y LA PROTECCIÓN DEL ESPACIO AÉREO CHILENO, OTORGAR HERRAMIENTAS PARA ENFRENTAR NUEVAS AMENAZAS Y ESTABLECER SANCIONES MÁS SEVERAS PARA QUIENES INFRINJAN LAS NORMAS DE SEGURIDAD. Fundamentos: 1.- El crimen organizado se encuentra, desde hace algunos años en nuestra sociedad como un lamentable fenómeno creciente, que afecta principalmente a la población más vulnerable, así como también a nuestras Instituciones. Sobre estas nuevas formas delictivas organizadas, en la Región de Magallanes y la Antártica Chilena, la Fiscalía Regional investiga actualmente el denominado caso “Confederación”. 2.- El ",
18217-07,18879,2026-04-22,parlamentario,"Modifica diversos cuerpos legales, con el objeto de perfeccionar las disposiciones relativas a la persecución penal de la criminalidad organizada y el terrorismo",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18445&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18445&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,12,8,15000,rica,"Boletín N° 18.217-07 Proyecto de ley, iniciado en Moción de los Honorables Senadores señora Núñez y señores Bianchi, Flores y Moreira, que modifica diversos cuerpos legales, con el objeto de perfeccionar las disposiciones relativas a la persecución penal de la criminalidad organizada y el terrorismo. FUNDAMENTOS La evolución de la criminalidad organizada y del terrorismo ha evidenciado, en la práctica, límites operativos del actual diseño del proceso penal. No se trata únicamente de fenómenos más graves, sino de formas de delincuencia que se estructuran sobre lógicas distintas: organización, permanencia, división de funciones, uso de intermediarios, manejo de recursos patrimoniales y capacid",
18270-25,18947,2026-05-13,parlamentario,"Regula la fabricación, acondicionamiento, importación, comercialización y uso de vehículos blindados de uso particular",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18499&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18499&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,10,8,16153,rica,"18270-25 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Regula la fabricación, acondicionamiento, importación, comercialización y uso de vehículos blindados de uso particular SESIÓN N° 27 PRIMER TRÁMITE CONST. FECHA 20-05-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERICAN",
18299-35,18973,2026-06-03,parlamentario,"Modifica diversos cuerpos legales, con el objeto de promover la responsabilidad familiar respecto de adultos mayores internados en establecimientos de salud",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18525&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18525&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,4,4,8918,rica,"Boletín N° 18.299-35 Proyecto de ley, iniciado en Moción de los Honorables Senadores señor Becker, señora Kaiser, y señores Castro, Keitel y Kuschel, que modifica diversos cuerpos legales, con el objeto de promover la responsabilidad familiar respecto de adultos mayores internados en establecimientos de salud. I. IDEA MATRIZ O FUNDAMENTAL El presente proyecto de ley tiene por objeto prevenir y enfrentar el abandono sociosanitarío de personas mayores, fortaleciendo la responsabilidad familiar respecto de adultos mayores hospitalizados, estableciendo mecanismos de identificación y notificación de responsables, otorgando herramientas a los Tribunales de Familia para intervenir oportun amente y ",
18360-07,19049,2026-06-10,parlamentario,Modifica el Código Penal en materia de sanciones aplicables por delitos cometidos en contra de funcionarios y autoridades,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18600&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18600&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,6,6,7501,rica,"18360-07 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Modifica el Código Penal en materia de sanciones aplicables por delitos cometidos en contra de funcionarios y autoridades SESIÓN N° 35 PRIMER TRÁMITE CONST. FECHA 17-06-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERI",
18405-25,19076,2026-06-17,parlamentario,Autoriza administrativamente controles policiales preventivos en situaciones que indica,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18623&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18623&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,10,8,13491,rica,"18405-25 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Autoriza administrativamente controles policiales preventivos en situaciones que indica SESIÓN N° 38 PRIMER TRÁMITE CONST. FECHA 24-06-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERICANA 11.- SALUD 12.- MEDIO AMBIENT",
18455-07,19138,2026-07-06,parlamentario,Restringe la sustitución y remisión de sanciones respecto de adolescentes condenados por delitos de especial gravedad,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18685&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18685&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,8,8,13787,rica,"18455-07 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Restringe la sustitución y remisión de sanciones respecto de adolescentes condenados por delitos de especial gravedad SESIÓN N° 43 PRIMER TRÁMITE CONST. FECHA 14-07-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERICANA",
18494-06,19178,2026-07-17,parlamentario,"Elimina en la ley N°18.834, sobre Estatuto Administrativo, la compatibilidad de ser titular de cargos de planta y ejercer cargos de exclusiva confianza en casos que indica",ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18725&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18725&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,6,6,7041,rica,"18494-06 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Elimina en la ley N°18.834, sobre Estatuto Administrativo, la compatibilidad de ser titular de cargos de planta y ejercer cargos de exclusiva confianza en casos que indica SESIÓN N° 48 PRIMER TRÁMITE CONST. FECHA 22-07-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASU",
18536-07,19224,2026-07-31,parlamentario,Modifica el Código Penal para tipificar el delito de ofensa racial y agravar su pena en las circunstancias que indica,ingreso_proyecto,Ingreso de proyecto,https://www.camara.cl/verDoc.aspx?prmID=18771&prmTIPO=INICIATIVA,https://www.camara.cl/verDoc.aspx?prmID=18771&prmTIPO=INICIATIVA,200,application/pdf,pdf_text,6,6,7338,rica,"18536-07 PERIODO LEGISLATIVO 2026-2030 LEGISLATURA 374 Modifica el Código Penal para tipificar el delito de ofensa racial y agravar su pena en las circunstancias que indica SESIÓN N° 52 PRIMER TRÁMITE CONST. FECHA 05-08-2026 SEGUNDO TRÁMITE CONST. (S) 01.- AGRICULTURA, SILVICULTURA Y DESARROLLO RURAL 02.- DEFENSA NACIONAL 03.- ECONOMÍA, FOMENTO; MICRO, PEQUEÑA Y MEDIANA EMPRESA PROTECCIÓN DE LOS CONSUMIDORES Y TURISMO 04.- EDUCACIÓN 05.- HACIENDA 06.- GOBIERNO INTERIOR, NACIONALIDAD, CIUDADANÍA Y REGIONALIZACIÓN 07.- CONSTITUCIÓN, LEGISLACIÓN, JUSTICIA Y REGLAMENTO 08.- MINERÍA Y ENERGÍA 09.- OBRAS PÚBLICAS 10.- RELACIONES EXTERIORES, ASUNTOS INTERPARLAMENTARIOS E INTEGRACIÓN LATINOAMERICANA",
